ID,Text,Comment
Cordial.CutterTool.DisplayName,マークは伐採エリアを設定しました。,-
Cordial.CutterTool.Description,このツールを使用して、構成されたエリアや伐採する樹木の種類にマークを付けます。,-
Cordial.CutterTool.CutterToolPanel.Title,カッターツールの設定,-
Cordial.CutterTool.CutterToolPanel.Description,伐採する樹木の種類を設定し、または伐採選択エリアを設定します。,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern01,すべて,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern02,市松模様の,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern03,ラインX,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern04,ラインY,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.TreeAll,すべての木の種類,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.TreeMark,木だけをマークする,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.IgnoreStump,切り株を無視する,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.ClearCut,不一致な切断エリアをクリアする,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.IgnoreDeadSapling,枯れた苗木を無視してください,-
