ID,Text,Comment
Tobbert.HorizontalPlatformEnd1x1.DisplayName,サイドプラットフォーム 1x1,-
Tobbert.HorizontalPlatformEnd1x1.Description,崖、堤防、強化プラットフォームまたはプラットフォームミドルピースの側に配置できるプラットフォーム。,-
Tobbert.HorizontalPlatformEnd1x1.FlavorDescription,もしこれを自分自身に積み重ねることができたら、想像してみてください。,-
Tobbert.HorizontalPlatformEnd2x1.DisplayName,サイドプラットフォーム 2x1,-
Tobbert.HorizontalPlatformEnd2x1.Description,崖の側に置くことができるプラットフォーム、強化プラットフォームまたはプラットフォームの中央部分。,-
Tobbert.HorizontalPlatformEnd2x1.FlavorDescription,プラットフォームを倍増させて、楽しさも倍増！,-
Tobbert.HorizontalPlatformEnd3x1.DisplayName,サイドプラットフォーム 3x1,-
Tobbert.HorizontalPlatformEnd3x1.Description,崖の側に置くことができるプラットフォーム、強化されたプラットフォーム、またはプラットフォームの中央部分。,-
Tobbert.HorizontalPlatformEnd3x1.FlavorDescription,これは長いボーイズのためのものです。,-
Tobbert.HorizontalPlatformEnd4x1.DisplayName,サイドプラットフォーム 4x1,-
Tobbert.HorizontalPlatformEnd4x1.Description,崖の側に置くことができるプラットフォーム、強化されたプラットフォーム、中間部品のプラットフォーム。,-
Tobbert.HorizontalPlatformEnd4x1.FlavorDescription,これは物理学の働きではありません。,-
Tobbert.HorizontalPlatformMiddle1x1.DisplayName,側面プラットフォーム中間部品1高,-
Tobbert.HorizontalPlatformMiddle1x1.Description,どこにでも置けるプラットフォーム。あなたの創造性を解き放とう！,-
Tobbert.HorizontalPlatformMiddle1x1.FlavorDescription,浮遊する都市を作りましょう！,-
Tobbert.HorizontalPlatformMiddle1x2.DisplayName,サイドプラットフォームミドルピース 1.5 高,-
Tobbert.HorizontalPlatformMiddle1x2.Description,どこにでも置けるプラットフォーム。あなたの創造力を解き放ちましょう！,-
Tobbert.HorizontalPlatformMiddle1x2.FlavorDescription,一度のハイでは物足りない時のために。,-
Tobbert.ReinforcedLadder.DisplayName,強化された梯子,-
Tobbert.ReinforcedLadder.Description,これは、サイドプラットフォームと組み合わせて使用できるはしごです。堤防よりも見た目が良いオプションとして機能します。,-
Tobbert.ReinforcedLadder.FlavorDescription,普通のはしごでは足りないとき。,-
Tobbert.ReinforcedPlatform.DisplayName,強化プラットフォーム,-
Tobbert.ReinforcedPlatform.Description,サイドプラットフォームと組み合わせて使用できるプラットフォームです。堤防よりも見栄えの良い選択肢として機能します。,-
Tobbert.ReinforcedPlatform.FlavorDescription,トップまで積んで！,-
Tobbert.DoubleReinforcedPlatform.DisplayName,ダブル強化プラットフォーム,-
Tobbert.DoubleReinforcedPlatform.Description,サイドプラットフォームと組み合わせて使用できるプラットフォーム。堤防よりも見栄えの良い選択肢として機能します。,-
Tobbert.DoubleReinforcedPlatform.FlavorDescription,スタック、最上部までスタックして！,-
Tobbert.TripleReinforcedPlatform.DisplayName,三重強化プラットフォーム,-
Tobbert.TripleReinforcedPlatform.Description,サイドプラットフォームと組み合わせて使用できるプラットフォーム。堤防よりも見た目が優れたオプションとして機能します。,-
Tobbert.TripleReinforcedPlatform.FlavorDescription,スタック、スタック、トップまでスタック！,-
Tobbert.CategoryReinforcedPlatforms.DisplayName,強化プラットフォーム,-
Tobbert.CategorySidePlatforms.DisplayName,側面プラットフォーム,-
