ID,Text,Comment
Cordial.Building.Forester.Description,Wymuszenie sadzenia:,-
Cordial.ForesterUpdate.Fragment.NoUpdateOption,Żaden,-
Cordial.PlantingOverrideTool.Crop.DisplayName,Narzędzie do nadpisywania sadzenia roślin wymaganych,-
Cordial.PlantingOverrideTool.Crop.Description,Zastąpienie sadzenia istniejących upraw,-
Cordial.PlantingOverrideTool.Tree.DisplayName,Narzędzie do nadpisywania sadzenia leśnego,-
Cordial.PlantingOverrideTool.Tree.Description,Zastąpienie sadzenia istniejących drzew lub krzewów,-
Cordial.PlantingOverrideTool.PlantingOverrideToolPanel.Title,Konfiguracja nadpisania sadzenia,-
Cordial.PlantingOverrideTool.PlantingOverrideToolPanel.Description,Zastąp istniejącą roślinę:,-
Cordial.PlantingOverrideTool.PlantingOverrideToolPanel.CuttingAreaRemove,Wyłącz obszar cięcia po sadzeniu,-
Cordial.PlantBeehiveTool.DisplayName,Nadzór ulowy,-
Cordial.PlantBeehiveTool.Description,Zastąp roślinę uli.,-
Cordial.PlantingOverrideTool.FactionLock,To narzędzie nie jest dostępne dla:,-
Cordial.PlantingOverrideTool.BuildingLock,Ten budynek jest zamknięty:,-
Cordial.PlantingOverrideTool.SpecLock,Ta specyfikacja jest niekompletna:,-
