ID,Text,Comment
LV.TI.EnableFreeCamera,Włącz darmową kamerę,-
LV.TI.EnableFreeCameraDesc,Usuń ograniczenia kamery w grze.,-
LV.TI.DisableFog,Wyłącz mgłę,-
LV.TI.DisableFogDesc,Usuń mgłę w grze.,-
LV.TI.PauseBadWeather,Przerwa w złej pogodzie,-
LV.TI.PauseBadWeatherDesc,"Wstrzymaj grę, gdy zacznie się zła pogoda (susza, niekorzystny przypływ).",-
LV.TI.ShowCoords,Pokaż współrzędne,-
LV.TI.ShowCoordsDesc,Pokaż współrzędne bloku w prawym górnym rogu. Z to wysokość. NIE JEST DOSTĘPNE DO AKTUALIZACJI 7 JESZCZE.,-
LV.TI.CoordsLabel,"(X, Y, Z): ({0}, {1}, {2})",-
LV.TI.HeightLabel,Wysokość: {0},-
LV.TI.OnlyShowHeight,Pokaż tylko wysokość,-
LV.TI.OnlyShowHeightDesc,Pokaż tylko wysokość zamiast pełnych współrzędnych.,-
LV.TI.PrioritizeRubbles,Priorytetuj gruz.,-
LV.TI.PrioritizeRubblesDesc,Automatycznie ustaw priorytet gruzów na wysoki.,-
LV.TI.AllDayLight,Brak zmiany czasu letniego,-
LV.TI.AllDayLightDesc,Wyłącznie wizualny/interfejs użytkownika. Wybrany tryb dzienny będzie trwał cały czas zamiast zmieniać się w ciągu dnia.,-
LV.TI.ShowGameTime,Pokaż czas gry,-
LV.TI.ShowGameTimeDesc,Wyświetl bieżący czas gry w prawym górnym rogu.,-
LV.TI.EnableSpeedS25,"Włącz prędkość 0,25x [Shift+1]",-
LV.TI.EnableSpeedS25Desc,"Odblokuj opcję prędkości 0,25x w grze, klikając Shift+1. Zwykle jest to dostępne tylko w trybie dewelopera.",-
LV.TI.EnableSpeed4,Włącz prędkość 30x [4],-
LV.TI.EnableSpeed4Desc,"Odblokuj 4. prędkość 30x w grze, naciskając 4. Normalnie jest to dostępne tylko w trybie dewelopera.",-
LV.TI.EnableSpeed5,Włącz prędkość 99x [5] (!).,-
LV.TI.EnableSpeed5Desc,"Odblokuj opcję 5. prędkości 99x w grze, naciskając 5. Zwykle jest ona dostępna tylko w trybie dewelopera. Uważaj, że ta prędkość jest niestabilna i może powodować problemy w grze. Ktoś powiedział, że bobry mogą pozostać głodne i spragnione.",-
LV.TI.StaticLight,Statyczne światło dzienne,-
LV.TI.StaticLightDesc,Wyłącznie wizualne/UI. To światło dzienne pozostanie takie samo przez cały czas.,-
LV.TI.LightSunrise,Wschód słońca,-
LV.TI.LightDay,Dzień,-
LV.TI.LightSunset,Zachód słońca,-
LV.TI.LightNight,Noc,-
LV.TI.QuickQuit,Szybkie/Wymuszone Zamykanie [Ctrl + Shift + Q] (!),-
LV.TI.QuickQuitDesc,"Naciśnij Ctrl + Shift + Q, aby natychmiast wymusić zakończenie gry, zabijając proces gry. BEZ ZAPISU ani czyszczenia stanu gry. Uważaj!",-
LV.TI.BiggerBuildDragArea,Większa powierzchnia oporu powietrza (!),-
LV.TI.BiggerBuildDragAreaDesc,"Zwiększ obszar przeciągania budowli, takich jak tamy (domyślnie 10x10) lub drogi (25). Znacząco zwiększa to czas ładowania i zużycie pamięci, dlatego należy używać tego ostrożnie. Na przykład ustawienie tego na 5 sprawi, że obszar przeciągania wyniesie 15x15 tam lub 30 dróg. Może być zmieniane tylko w menu głównym.",-
LV.TI.AutoClearDeadTrees,Natychmiast usuń martwe drzewa.,-
LV.TI.AutoClearDeadTreesDesc,"Kiedy używasz narzędzia 'Oznacz zasoby do wyburzenia', automatycznie usuń martwe drzewa natychmiast, bez bobrów (jakbyś budował na tym).",-
LV.TI.AddRealTimeClock,Dodaj zegar czasu rzeczywistego,-
LV.TI.AddRealTimeClockDesc,"Dodaj zegar czasu rzeczywistego w prawym górnym rogu. Jest to przydatne dla graczy, którzy chcą śledzić czas podczas gry.",-
