ID,Text,Comment
Knatte.WE_IrrigationExtractFuel.DisplayName,Nawadnianie z Tree boost,-
Knatte.WE_IrrigationFuel.DisplayName,Nawadnianie,-
Knatte.IrrigationTower.DisplayName,Wieża nawadniająca,-
Knatte.IrrigationTower.Description,"Nawadnia ziemię wokół siebie. Nie używa wody do płytek, które nie mogą być nawadniane.",-
Knatte.IrrigationTower.Header,Tryb nawadniania:,-
Knatte.IrrigationTower.FlavorDescription,"Z mniej niż jedną trzecią powierzchni Ziemi pokrytą wodą, nawadnianie stało się koniecznością.",-
Knatte.IrrigationTowerV2_FT.DisplayName,Efektywny Wieżowy System Nawadniania,-
Knatte.IrrigationTowerV2_FT.Description,"Nawadnia więcej terenów wokół siebie i może przyspieszyć wzrost drzew dzięki ekstraktowi. Nie używa wody do płytek, które nie mogą być nawadniane.",-
Knatte.IrrigationTowerV2_IT.DisplayName,Zasilana wieża nawadniająca,-
Knatte.IrrigationTowerV2_IT.Description,"Nawadnia wokół siebie bez potrzeby zatrudniania pracowników. Aby zwiększyć wykorzystanie wody, blokuje również kontaminację. Nie używa wody do płytek, które nie mogą być nawodnione.",-
Knatte.IrrigationTowerV2.FlavorDescription,"Z mniej niż jedną trzecią Ziemi pokrytą wodą, nawadnianie stało się koniecznością.",-
Knatte.BigIrrigationTower.DisplayName,Wielka Wieża Nawadniająca,-
Knatte.BigIrrigationTowerIT.Description,"Nawadnia jeszcze większy obszar wokół siebie przy mniejszym zużyciu wody. 
Niebieska rura wskazuje punkt początkowy nawadniania. 
Nie zużywa wody na płytki, które nie mogą być nawadniane.",-
Knatte.BigIrrigationTowerFT.Description,"Nawadnia jeszcze więcej terenów wokół siebie za mniej wody. 
Żółta rura wskazuje punkt początkowy nawadniania. 
Nie wykorzystuje wody do płytek, których nie może nawodnić.",-
Knatte.BigIrrigationTower.FlavorDescription,Kropla kropla spada.,-
Knatte.IndWaterTank.DisplayName,Zbiornik wody przemysłowej,-
Knatte.IndWaterTank.Description,"Trzyma więcej wody i jest stosowalny w stosach, ale wymaga metalu.",-
Knatte.Pipe5X.DisplayName,Rura 5 Długa,-
Knatte.Pipe10X.DisplayName,Rura 10 Długa,-
Knatte.Pipe15X.DisplayName,Rura 15 Długa,-
Knatte.Pipe.Description,"Tamy na obu stronach rury oraz rura wejściowa i wyjściowa. Tamy muszą być zasilane, ale także pełnić funkcję transferu. Nie umieszczaj tam w heksie nad rurą wyjściową! To spowoduje awarię!",-
Knatte.PipeU5X.DisplayName,Rura podziemna 5 długa,-
Knatte.PipeU10X.DisplayName,Rura podziemna 10 długi,-
Knatte.PipeU15X.DisplayName,Rura podziemna 15 długa,-
Knatte.PipeU.Description,"Wały po obu stronach rury oraz rura wejściowa i wyjściowa.  
Rura idąca pod ziemią między wałami.  
Wały muszą być zasilane, ale również działać jako transfer.  
Nie umieszczaj wałów w heksie nad rurą wyjściową! to spowoduje awarię!",-
Knatte.CategoryPipe.DisplayName,Proste rury,-
Knatte.CategoryPipe.Description,"Rury, które idą nad ziemią",-
Knatte.CategoryPipeU.DisplayName,Rury podziemne,-
Knatte.CategoryPipeU.Description,"Rury, które muszą przechodzić pod ziemią w zakręcie.",-
Knatte.CategoryHideWE.DisplayName,Nieużywana Woda Rozszerzenie,-
Knatte.Pipe1X.DisplayName,Wylot rury,-
Knatte.Pipe1X.Description,"Dwie dźwigary i rura do wejścia oraz wyjścia. Dźwigary muszą być zasilane, ale też działać jako transfer. Nie umieszczaj dźwigarów w heksie nad rurą wyjściową! To spowoduje awarię!",-
Knatte.PowerLevee.DisplayName,Zasilany rękaw,-
Knatte.PowerLevee.Description,"Tam, gdzie jest wał, aby zasilać pompy. Zarówno poziome, jak i pionowe.",-
Knatte.DeepSeaPump.DisplayName,Pompa wodna DeepSea,-
Knatte.DeepSeaPump.Description,Pompa na dno morza,-
Knatte.DeepSeaPump.FlavorDescription,"Łyk świeżej wody wystarczy, aby dodać ci energii.",-
Knatte.UPowerLevee.DisplayName,Uniwersalne zasilane rękawy,-
Knatte.UPowerLevee.Description,"Wał, który ma w sobie wałek do zasilania pomp. Połączony ze wszystkich stron.",-
Knatte.PipeH1X.DisplayName,Wylot rury (H),-
Knatte.PipeH1X.Description,"Wysokowydajna pompa, dwa grodziki oraz rura wejściowa i wyjściowa. Grodziki muszą być zasilane, ale również działać jako transfer.",-
Knatte.LargeWaterWheelLevee.DisplayName,Duże Koło Wodnego z Wałem,-
