ID,Text,Comment
LV.TIMod.SwapBuildFinishedModifier,Zakończony modyfikator wymiany budowy,-
LV.TIMod.SwapBuildFinishedModifierDesc,"Gdy tryb dewelopera jest włączony, automatyczne zakończenie budowy podczas umieszczania budynku z wciśniętym klawiszem Ctrl spowoduje normalne umieszczenie budynku do konstrukcji.",-
LV.TIMod.NoClearDevFilter,Nie usuwaj filtru trybu dewelopera.,-
LV.TIMod.NoClearDevFilterDesc,Nie usuwaj filtra trybu dewelopera podczas wywoływania go lub dodawania/usuwania go z ulubionych.,-
Modding.ThumbnailInfo,"Kliknij Odśwież, aby wybrać miniaturę moda, jeśli opcja 'Wybierz miniaturę przesłania' jest zaznaczona.",-
LV.TIMod.PickThumbnail,Wybierz miniaturkę do przesłania,-
LV.TIMod.PickThumbnailDesc,Wybierz miniaturkę do swojego przesyłu zamiast używać thumbnail.png.,-
LV.TIMod.OpenExternalBrowser,Zawsze otwieraj zewnętrzną przeglądarkę.,-
LV.TIMod.OpenExternalBrowserDesc,Zawsze otwieraj w zewnętrznej przeglądarce zamiast przeglądarki nakładki Steam.,-
LV.TIMod.DevModeOnDefault,Włącz tryb dewelopera podczas ładowania,-
LV.TIMod.DevModeOnDefaultDesc,Włącz tryb dewelopera domyślnie przy ładowaniu gry.,-
LV.TIMod.BetterResetLoadOrder,Lepsza organizacja modów,-
LV.TIMod.BetterResetLoadOrderDesc,"Przenieś na górę przenieś mod na górę, ale poniżej jego zależności. Resetuj kolejność ładowania sortuje mod po włączeniu, nazwie, a następnie przynosi ich zależności na samą górę. Włączone mody wyświetlają się jako pierwsze podczas przesyłania.",-
LV.TIMod.NoExitSave,Brak Wyjścia Zapisz,-
LV.TIMod.NoExitSaveDesc,Nie zapisuj gry podczas wychodzenia.,-
LV.TIMod.QuickQuit,Włącz szybkie/wymuszone zakończenie [Ctrl Shift Q][!],-
LV.TIMod.QuickQuitDesc,"Włącz szybkie wyjście po naciśnięciu [Ctrl Shift Q]. Ta opcja używa Process.Kill(), więc żadne dane nie będą zapisane.",-
LV.TIMod.QuickRestart,Włącz szybkie ponowne uruchomienie [Ctrl Shift R][!],-
LV.TIMod.QuickRestartDesc,"Włącz szybkie ponowne uruchomienie po naciśnięciu [Ctrl Shift R]. Ta opcja używa Process.Kill(), więc żadne dane nie będą zapisywane.",-
