ID,Text,Comment
LV.ARSP.AlternativeRecipesGroup,Alternatywne przepisy,-
LV.ARSP.AlternativeRecipesGroupDesc,Odblokuj alternatywne przepisy dla swoich fabryk.,-
LV.ARSP.LockReason,Musisz najpierw odblokować ten przepis w Projektach Naukowych.,-
LV.ARSP.PlankBulkProcessing,Przetwarzanie hurtowe desek,-
LV.ARSP.PlankBulkProcessingRecipe,Deski (Hurtowe),-
LV.ARSP.PlankBulkProcessingLore,"'Układaj je wysoko, tnij powoli—więcej desek na zapas!' — Broadaxe Bulkchew",-
LV.ARSP.PlankBulkProcessingEff,Odblokuj [Przepis]: {0} Kłód ⇒ {1} Desek w {2} godzin w Tartaku,-
LV.ARSP.DirectLogForging,Bezpośrednie fałszowanie dzienników,-
LV.ARSP.DirectLogForgingRecipe,Przekładnie (bezpośrednie),-
LV.ARSP.DirectLogForgingLore,"Bobry odkryły, że mogą gryźć kłody w surowe kształty i wbić je w zębatki, całkowicie pomijając etap desek. To prymitywne, ale działa.",-
LV.ARSP.DirectLogForgingEff,Odblokuj [Przepis]: {0} drzewa ⇒ {1} zębatek w {2} godzin w Warsztacie Zębatek,-
LV.ARSP.RapidGearPress,Szybka Prasa Gears,-
LV.ARSP.RapidGearPressRecipe,Przekładnie (Szybkie),-
LV.ARSP.RapidGearPressLore,"Przez przyspieszenie druku i dodanie dodatkowego drewna, bobry produkują koła zębate szybciej — chociaż stos odpadów rośnie równie szybko.",-
LV.ARSP.RapidGearPressEff,Odblokuj [Przepis]: {0} desek ⇒ {1} kół zębatych w {2} godzin w Warsztacie Kół Zębatych,-
LV.ARSP.HighYieldLogPress,Wysokowydajny wyciskanie logów,-
LV.ARSP.HighYieldLogPressRecipe,Zębatki (wysokowydajne),-
LV.ARSP.HighYieldLogPressLore,"Po sezonach prób bobry udoskonaliły prasę napędzaną wodą, która przekształca surowe kłody w zębatki z zawrotną prędkością — cud późno-sezonowego wynalazczości.",-
LV.ARSP.HighYieldLogPressEff,Odblokuj [Przepis]: {0} Drewna ⇒ {1} Kół zębatych w {2} godzin w Warsztacie Kół Zębatych,-
LV.ARSP.ResinFiredSmelter,Pieca hutnicza do topienia żywicy,-
LV.ARSP.ResinFiredSmelterRecipe,Bloki metalowe (Wypalane w żywicy),-
LV.ARSP.ResinFiredSmelterLore,"Folktails wykorzystał lepki urok żywicy sosnowej, tworząc piec, który pali się powoli i równomiernie, idealny do szybkiej obróbki metalu.",-
LV.ARSP.ResinFiredSmelterEff,Odblokuj [Przepis]: {0} złomu + {1} żywicy sosnowej ⇒ {2} bloków metalu w ciągu {3} godzin w piecu (tylko Folktails),-
LV.ARSP.WoodReinforcedAlloy,Alloy wzmacniany drewnem,-
LV.ARSP.WoodReinforcedAlloyRecipe,Bloki metalowe (wzmocnione drewnem),-
LV.ARSP.WoodReinforcedAlloyLore,"'Z każdym dodanym deska, metal staje się silniejszy — natura i żelazo jako jedno!' — Leafclaw Metalweaver",-
LV.ARSP.WoodReinforcedAlloyEff,Odblokuj [Przepis]: {0} Złom + {1} Obrabiane deski ⇒ {2} Bloki metalu w {3} godzin w piecu (tylko Folktails),-
LV.ARSP.SteelBoundPlanks,Planki związane ze stalą,-
LV.ARSP.SteelBoundPlanksRecipe,Deski zabezpieczone (ze stalowym okuciem),-
LV.ARSP.SteelBoundPlanksLore,"Pomysłowość Żelaznych Zębów odwróciła sytuację — przetapianie metalowych odpadów w wiążącą siatkę, która utwardza deski bez kropli żywicy.",-
LV.ARSP.SteelBoundPlanksEff,Odblokuj [Przepis]: {0} desek + {1} bloczków metalu ⇒ {2} obrabianych desek w {3} godzin w Warsztacie Drewnianym (tylko Żelazne Zęby),-
LV.ARSP.TimberbotFramework,Framework Timberbot,-
LV.ARSP.TimberbotFrameworkLore,"'Nasze boty teraz tańczą z siłą lasu—deski nad stalą, triumf Folktails!' — Gearwhisker Timbercog",-
LV.ARSP.TimberbotFrameworkEff,Odblokuj Ramę Timberbota: Folktails mogą używać Obrabianych Desek zamiast Bloków Metalowych do swoich części Bota. Biopaliwo nie jest już potrzebne do podwozia.,-
LV.ARSP.TimberbotChassis,Podwozie Bota (Timberbot),-
LV.ARSP.TimberbotHeads,Boty Głów (Timberbot),-
LV.ARSP.SunflowerBiofuel,Helianthowy Napar Żarowy,-
LV.ARSP.SunflowerBiofuelRecipe,Biopaliwo (Słonecznik),-
LV.ARSP.SunflowerBiofuelLore,"'Słoneczniki wydają nektar bogatszy niż rzeki — połącz go z pokornym bulwiastym warzywem, a rafineria zaśpiewa hymn pełen paliwa!' — Helian Nectarine",-
LV.ARSP.SunflowerBiofuelEff,Odblokuj [Przepis]: {0} Ziemniaki + {1} Nasiona słonecznika ⇒ {2} Biopaliwo w {3} godzin w Rafinerii (tylko w Folktails),-
LV.ARSP.CrudeLogPressExtract,Surowy ekstrakt z log pressu,-
LV.ARSP.CrudeLogPressExtractRecipe,Ekstrakt (Surowa prasa),-
LV.ARSP.CrudeLogPressExtractLore,"'Rozbijamy kłody i skrobimy metal, aż ekstrakt zaczyna kapać - powoli, brudno, ale lepsze to niż dotykanie tej wstrętnej wody!' — Pressjaw Scrapchew",-
LV.ARSP.CrudeLogPressExtractEff,Odblokuj [Przepis]: {0} Kłody + {1} Zębatki + {2} Złom ⇒ {3} Ekstrakt w {4} godzin w Przemysłowej Tartaku (tylko Żelazne Zęby),-
LV.ARSP.DilutedExtract,Rozcieńczony ekstrakt,-
LV.ARSP.DilutedExtractRecipe,Ekstrakt (Rozcieńczony),-
LV.ARSP.DilutedExtractLore,"Mieszańce czystej wody ze złą wodą, bobry wydobywają więcej ekstraktu z bagna—sprytne spłukanie zrodzone z konieczności.",-
