ID,Text,Comment
BigSigns.Groups.Capitals,LETRAS MAIÚSCULAS,-
BigSigns.Groups.Numbers,Números,-
BigSigns.Groups.Accents,Acentos,-
BigSigns.Buildings.0.DisplayName,Número 0,-
BigSigns.Buildings.1.DisplayName,Número 1,-
BigSigns.Buildings.2.DisplayName,Número 2,-
BigSigns.Buildings.3.DisplayName,Número 3,-
BigSigns.Buildings.4.DisplayName,Número 4,-
BigSigns.Buildings.5.DisplayName,Número 5,-
BigSigns.Buildings.6.DisplayName,Número 6,-
BigSigns.Buildings.7.DisplayName,Número 7,-
BigSigns.Buildings.8.DisplayName,Número 8,-
BigSigns.Buildings.9.DisplayName,Capital 9,-
BigSigns.Buildings.A.DisplayName,Letra A maiúscula,-
BigSigns.Buildings.B.DisplayName,B maiúsculo,-
BigSigns.Buildings.C.DisplayName,Capital C,-
BigSigns.Buildings.D.DisplayName,D maiúsculo,-
BigSigns.Buildings.E.DisplayName,Capital E,-
BigSigns.Buildings.F.DisplayName,Letra maiúscula F,-
BigSigns.Buildings.G.DisplayName,Letra G maiúscula,-
BigSigns.Buildings.H.DisplayName,Letra maiúscula H,-
BigSigns.Buildings.I.DisplayName,Capital I,-
BigSigns.Buildings.J.DisplayName,Letra J maiúscula,-
BigSigns.Buildings.K.DisplayName,K maiúsculo,-
BigSigns.Buildings.L.DisplayName,Letra maiúscula L,-
BigSigns.Buildings.M.DisplayName,Letra maiúscula M,-
BigSigns.Buildings.N.DisplayName,Letra maiúscula N,-
BigSigns.Buildings.O.DisplayName,O capital O,-
BigSigns.Buildings.P.DisplayName,Letra maiúscula P,-
BigSigns.Buildings.Q.DisplayName,Q maiúsculo,-
BigSigns.Buildings.R.DisplayName,Letra maiúscula R,-
BigSigns.Buildings.S.DisplayName,S maiúsculo,-
BigSigns.Buildings.T.DisplayName,T maiúsculo,-
BigSigns.Buildings.U.DisplayName,Letra maiúscula U,-
BigSigns.Buildings.V.DisplayName,Letra V maiúscula,-
BigSigns.Buildings.W.DisplayName,Letra maiúscula W,-
BigSigns.Buildings.X.DisplayName,Capital X,-
BigSigns.Buildings.Y.DisplayName,Letra Y maiúscula,-
BigSigns.Buildings.Z.DisplayName,Letra Z maiúscula,-
BigSigns.Buildings.Ampersand.DisplayName,E comercial,-
BigSigns.Buildings.Acute.DisplayName,Agudo,-
BigSigns.Buildings.AELigature.DisplayName,Liga AE,-
BigSigns.Buildings.Bolle.DisplayName,Bolle,-
BigSigns.Buildings.Cedilla.DisplayName,Cedilha,-
BigSigns.Buildings.Grave.DisplayName,Grave,-
BigSigns.Buildings.Macron.DisplayName,Macron,-
BigSigns.Buildings.OELigature.DisplayName,Ligadura OE,-
BigSigns.Buildings.OStreg.DisplayName,O Streg,-
BigSigns.Buildings.Szlig.DisplayName,Szlig,-
BigSigns.Buildings.Tilde.DisplayName,Til!,-
BigSigns.Buildings.Umlaut.DisplayName,Trema,-
BigSigns.Buildings.Sign.Description,,-
BigSigns.Buildings.Sign.FlavorDescription,"Grite sua mensagem, alta e clara!",-
BigSigns.Groups.Specials,Especiais,-
