ID,Text,Comment
LV.SC.Nothing,Terra sem castores,-
LV.SC.Stockpile,Estoque,-
LV.SC.Coord,"Altura: {0} - (X, Y): ({1}, {2})",-
LV.SC.Water,Água,-
LV.SC.WaterDepth,Profundidade: {0}cm,-
LV.SC.WaterDepthFrom,Profundidade: {0}cm ({1}cm a partir daqui),-
LV.SC.WaterCurrent,Atual: {0}cm³/s,-
LV.SC.WaterContamination,Contaminação: {0}%,-
LV.SC.Dwellers,"Adulto: {0}, Crianças: {1}",-
LV.SC.WaterSpecifiedStrength,Força: {0} (geralmente {1}),-
LV.SC.WaterStrength,Força: {0},-
LV.SC.BeaverChildGrow,Crescendo: {0}/{1} ({2}%),-
LV.SC.BlockStat,"Umidade: {0} blocos, Contaminação: {1}%",-
LV.SC.KeyBinding,Super Cursor,-
