ID,Text,Comment
Knatte.ToolGroup.DecorationBlocks,Декоративные блоки,-
Knatte.DE_RMCorner.DisplayName,Металлический уголок для декорации,-
Knatte.DE_RMCorner.Description,Пусть ребристая металлическая плотина будет угловой.,-
Knatte.DE_RMCorner.FlavorDescription,Не блокирует воду,-
//,Error,-
Knatte.DE_RMSQCorner.DisplayName,Металлический квадратный уголок для декорации,-
Knatte.DE_RMSQCorner.Description,Пусть ребристая металлическая дамба будет угловой.,-
Knatte.DE_RMSQCorner.FlavorDescription,Не блокирует воду,-
Knatte.DE_RMDiagonal.DisplayName,Металлическая диагональная отделка,-
Knatte.DE_RMDiagonal.Description,Позвольте ребристой металлической дамбе переместиться в сторону.,-
Knatte.DE_RMDiagonal.FlavorDescription,Не блокирует воду,-
Knatte.DE_RMDiagonalW.DisplayName,Лив Диагональ,-
Knatte.DE_RMDiagonalW.Description,Пусть рифленая металлическая загорода отодвинется в сторону.,-
Knatte.DE_RMDiagonalW.FlavorDescription,Вода не пройдет,-
Knatte.DE_RMInvCorner.DisplayName,Металлический уголок для внутренней отделки,-
Knatte.DE_RMInvCorner.Description,Пусть ребристая металлическая дамба будет угловатой.,-
Knatte.DE_RMInvCorner.FlavorDescription,Не блокирует воду,-
Knatte.DE_RMInvCornerW.DisplayName,Внутренний угол Leeve,-
Knatte.DE_RMInvCornerW.Description,Пусть ребристая металлическая плотина будет углом.,-
Knatte.DE_RMInvCornerW.FlavorDescription,Вода не пройдет,-
Knatte.DE_RMSlope.DisplayName,Декорация металлического наклона,-
Knatte.DE_RMSlope.Description,Пусть ребристая металлическая плотина будет наклонной.,-
Knatte.DE_RMSlope.FlavorDescription,Не блокирует воду,-
Knatte.DE_RMCornerSlope.DisplayName,Украшение металлический наклонный уголок,-
Knatte.DE_RMCornerSlope.Description,Пусть ребристая металлическая плотина будет угловой.,-
Knatte.DE_RMCornerSlope.FlavorDescription,Не блокирует воду,-
Knatte.DE_RMSquare.DisplayName,Металлический куб для декорации,-
Knatte.DE_RMSquare.Description,Проклятый ребристый металлический квадрат,-
Knatte.DE_RMSquare.FlavorDescription,Не блокирует воду,-
Knatte.DE_RMSquare2W.DisplayName,Металлический дамб 2x2,-
Knatte.DE_RMSquare3W.DisplayName,Металлический Леви 3x3,-
Knatte.DE_RMSquareW.Description,Пусть будет большим из ребристого металла.,-
Knatte.DE_RMSquareW.FlavorDescription,Вода не пройдет,-
Knatte.DE_RMSquareW1x1.DisplayName,Металлический дамба 1x1,-
Knatte.DE_RMSquareW1x2.DisplayName,Металлический отвод 1x2,-
Knatte.DE_RMSquareW1x3.DisplayName,Металлическая Левиа 1x3,-
Knatte.DE_RMSquareW2x1.DisplayName,Металлический ливневый канал 2x1,-
Knatte.DE_RMSquareW2x3.DisplayName,Металлический ливневый лоток 2x3,-
Knatte.DE_RMSquareW3x1.DisplayName,Металлический левый 3x1,-
Knatte.DE_RMSquareW3x2.DisplayName,Металлический ливневый 3x2,-
Knatte.DE_RMCorner2X.DisplayName,"Декоративный металлический уголок  
Двойная высота",-
Knatte.DE_RMCorner2X.Description,Пусть ребристая металлическая плотина будет зажатой в угол.,-
Knatte.DE_RMCorner2X.FlavorDescription,Не блокирует воду,-
Knatte.DE_RMSQCorner2X.DisplayName,"Декорация металлический квадратный угол 
Двойная высота",-
Knatte.DE_RMSQCorner2X.Description,Пусть рифленая металлическая плотина будет угловой.,-
Knatte.DE_RMSQCorner2X.FlavorDescription,Не блокирует воду,-
Knatte.DE_RMDiagonal2X.DisplayName,"Декорация Металлическая Диагональная 
Двойная Высота",-
