ID,Text,Comment
LV.CE.MaxDepth,Максимальная глубина {0},-
LV.CE.NoCostIncrease,Нет повышения цен (мошенник :P),-
LV.CE.NoCostIncreaseDesc,"Не увеличивайте стоимость науки и строительства, когда вы увеличиваете максимальную глубину.",-
LV.CE.Delay,Задержка детонации,-
LV.CE.DelayDisplay,{0}s,-
LV.CE.Depth,Глубина детонации,-
LV.CE.DepthDisplay,{0} блоков,-
LV.CE.TriggerRadius,Радиус срабатывания,-
LV.CE.TriggerRadiusDisplay,{0} блоков,-
LV.CE.DetonateIn,Детонировать через {0}/{1}с,-
LV.CE.Copy,Скопировать для других,-
