ID,Text,Comment
jeferson90.progressivedifficulty.settings.header.temperate,温和天气,-
jeferson90.progressivedifficulty.settings.header.hazardous,恶劣天气,-
jeferson90.progressivedifficulty.settings.header.brutal,残酷天气,-
jeferson90.progressivedifficulty.settings.hazardous_minimal_coeficient,持续时间下限系数,-
jeferson90.progressivedifficulty.settings.hazardous_maximum_coeficient,持续时间上限系数,-
jeferson90.progressivedifficulty.settings.brutal_cycle_enable,启用残酷天气,-
jeferson90.progressivedifficulty.settings.brutal_cycle_enable_tooltip,勾选后，启用残酷天气，会按照规则随机取代恶劣天气。<br>残酷天气是持续时间更长的恶劣天气，受恶劣天气上限系数和自身附加系数影响。<br>- 残酷天气持续时间：恶劣天气时间上限 ≤ 残酷天气时间 ≤ (1+附加系数)×恶劣天气时间上限<br>- 恶劣天气持续时间：恶劣天气下限系数×周期数 ≤ 恶劣天气时间 ≤ 恶劣天气上限系数×周期数,-
jeferson90.progressivedifficulty.settings.brutal_cycle_range,发生范围,-
jeferson90.progressivedifficulty.settings.brutal_cycle_range_tooltip,从第N个周期开始，每N个周期内必定发生一次残酷天气。,-
jeferson90.progressivedifficulty.settings.brutal_coeficient,持续时间附加系数,-
jeferson90.progressivedifficulty.settings.temperate_handicap,温和天气延迟周期数,-
jeferson90.progressivedifficulty.settings.temperate_minimal_coeficient,持续时间下限系数,-
jeferson90.progressivedifficulty.settings.temperate_maximum_coeficient,持续时间上限系数,-
jeferson90.progressivedifficulty.settings.temperate_min_max_coeficient_tooltip,温和天气的持续时间受恶劣天气的持续时间和自身系数影响。<br>- 温和天气持续时间：温和天气下限系数×恶劣天气时间 ≤ 温和天气 ≤ 温和天气上限系数×恶劣天气时间<br>- 恶劣天气持续时间：恶劣天气下限系数×周期数 ≤ 恶劣天气时间 ≤ 恶劣天气上限系数×周期数,-
jeferson90.progressivedifficulty.settings.temperate_min_days,最小持续时间,-
jeferson90.progressivedifficulty.settings.temperate_min_days_tooltip,温和天气的最小持续时间。,-
jeferson90.progressivedifficulty.settings.badtidechance,恶水潮概率,-
jeferson90.progressivedifficulty.settings.jfloodchance,洪水期概率,-
jeferson90.progressivedifficulty.settings.badtidehandicap,恶水潮延迟周期数,-
jeferson90.progressivedifficulty.settings.jfloodhandicap,洪水期延迟周期数,-
jeferson90.progressivedifficulty.settings.header.main,设置,-
Weather.Flood,洪水期,-
Weather.Notification.FloodApproaching,洪水期即将到来,-
Weather.Notification.FloodInProgress,洪水期正在发生,-
Weather.FloodStartedNotification,洪水期已开始,-
Weather.FloodEndedNotification,洪水期已结束,-
jeferson90.progressivedifficulty.settings.other,其他,-
jeferson90.progressivedifficulty.settings.evaporation_framework_enable_setting,启用自定义蒸发速度,-
jeferson90.progressivedifficulty.settings.badtidechance_tooltip,恶劣天气的发生概率，小数对应百分比。<br>恶水潮和洪水期概率之和不足1时，剩余为干旱期概率。,-
jeferson90.progressivedifficulty.settings.header.jevaporation,渗漏和蒸发,-
jeferson90.progressivedifficulty.settings.jevaporation.enable,启用渗漏和蒸发,-
jeferson90.progressivedifficulty.settings.jevaporation.enable_tooltip,勾选后，启用液体渗漏和蒸发，会使液面下降速度按照规则随机变化。<br>液体渗漏：受渗漏系数影响，通过模组预设的达西定律计算获得。<br>- 渗漏系数为0时，相当于禁用液体渗漏。<br>液体蒸发：受蒸发系数影响，基于模组预设的太阳辐射、相对湿度和游戏原本的风力，通过模组预设的彭曼公式计算获得。<br>- 太阳辐射、相对湿度与当前天气有关，并且会随机变化。大致上，干旱期蒸发强度大，恶水潮、洪水期反之。,-
jeferson90.progressivedifficulty.settings.jevaporation.airevaporation,蒸发系数,-
jeferson90.progressivedifficulty.settings.jevaporation.seepage,渗漏系数,-
jeferson90.progressivedifficulty.settings.header.general,通用设置,-
jeferson90.progressivedifficulty.settings.header.randomizer,天气随机设置,-
