ID,Text,Comment
LV.CH.MaxBeaverMul,居民倍数,-
LV.CH.MaxBeaverMulDesc,可以将住房可容纳的居民数更改为原来的N倍，向下取整（游戏默认：1）。,-
LV.CH.SleepMult,睡眠康乐度倍数,-
LV.CH.SleepMultDesc,可以将住房提供的睡眠康乐度更改为原来的N倍（游戏默认：1，即每小时+0.2；海狸的睡眠康乐度范围为-0.2~0.8，每天-0.6）。,-
LV.CH.ShelterMult,住所康乐度倍数,-
LV.CH.ShelterMultDesc,可以将住房提供的住所康乐度更改为原来的N倍（游戏默认：1，即每小时+0.3；海狸的住所康乐度范围为-0.2~0.8，每天-0.3）。,-
LV.CH.MoveEntranceFloor,住房入口移至一层,-
LV.CH.MoveEntranceFloorDesc,勾选后，将所有住房的入口移至一层（如双重木屋），但外表没有变化，也适用于模组添加的住房（游戏默认：否）。,-
LV.CH.AddOtherFaction,启用其他种族住房,-
LV.CH.AddOtherFactionDesc,勾选后，神尾种族可以建造铁牙种族的住房，反之亦然，但不适用于模组添加的住房（游戏默认：否）。,-
LV.CH.AddProcreation,  启用住房繁殖功能,-
LV.CH.AddProcreationDesc,勾选后，在所有住房中启用繁殖功能，以允许神尾在铁牙住房中自然繁殖。,-
LV.CH.RemoveProcreation,  禁止住房繁殖功能,-
LV.CH.RemoveProcreationDesc,勾选后，在所有住房中禁用繁殖功能，以防止铁牙在神尾住房中自然繁殖。,-
LV.CH.MaxBeaverAdd,居民参数,-
LV.CH.MaxBeaverAddDesc,可以在应用“居民倍数”后额外增加或减少居民数，最终值不小于1。,-
