ID,Text,Comment
cutdeadtreesfirst.settings.mode,枯树优先级,-
cutdeadtreesfirst.settings.mode.tooltip,设置已死亡树木的砍伐优先级。,-
cutdeadtreesfirst.settings.mode.off,游戏默认,-
cutdeadtreesfirst.settings.mode.designatedonly,优先（需标记）,-
cutdeadtreesfirst.settings.mode.expanded,优先（无需标记）,-
cutdeadtreesfirst.settings.species,树种优先级,-
cutdeadtreesfirst.settings.species.tooltip,设置树种的砍伐优先级，已死亡树木除外。,-
cutdeadtreesfirst.settings.species.none,游戏默认,-
cutdeadtreesfirst.settings.species.oak,橡树优先,-
cutdeadtreesfirst.settings.species.birch,桦树优先,-
cutdeadtreesfirst.settings.species.oakandbirch,橡树和桦树,-
