ID,Text,Comment
LV.CBk.Save0,保存书签 0,-
LV.CBk.Jump0,跳转到书签 0,-
LV.CBk.Save1,保存书签 1,-
LV.CBk.Jump1,跳转到书签 1,-
LV.CBk.Save2,保存书签 2,-
LV.CBk.Jump2,跳转到书签 2,-
LV.CBk.Save3,保存书签 3,-
LV.CBk.Jump3,跳转到书签 3,-
LV.CBk.Save4,保存书签 4,-
LV.CBk.Jump4,跳转到书签 4,-
LV.CBk.Save5,保存书签 5,-
LV.CBk.Jump5,跳转到书签 5,-
LV.CBk.Save6,保存书签 6,-
LV.CBk.Jump6,跳转到书签 6,-
LV.CBk.Save7,保存书签 7,-
LV.CBk.Jump7,跳转到书签 7,-
LV.CBk.Save8,保存书签 8,-
LV.CBk.Jump8,跳转到书签 8,-
LV.CBk.Save9,保存书签 9,-
LV.CBk.Jump9,跳转到书签 9,-
LV.CBk.CameraSaved,摄像机位置已保存至栏位 {0}。,-
LV.CBk.NoBookmark,栏位 {0} 未设置书签。<br>请使用保存快捷键设置书签。,-
