ID,Text,Comment
Cordial.Good.Fertilizer.DisplayName,樹木肥料,-
Cordial.Good.Fertilizer.PluralDisplayName,樹木肥料,-
Cordial.Fertilizer.Mild,樹木肥料,-
Cordial.Fertilizer.Strong,樹木肥料,-
Cordial.Building.Chemist.Description,烹飪化學混合物,-
Cordial.Building.Chemist.DisplayName,化學家,-
Cordial.Building.Chemist.FlavorDescription,裡面的奇幻裝置僅用於科學目的。,-
Cordial.Building.FertilizerDump.Description,將肥料分配給種植的樹木,-
Cordial.Building.FertilizerDump.DisplayName,肥料垃圾場,-
Cordial.Building.FertilizerDump.FlavorDescription,樹木的肥料能改善生長和產量。,-
Cordial.Building.FertilizerDump.Consumption,肥料消耗,-
Cordial.Building.FertilizerDump.TreeCount,受影響的樹木,-
Cordial.Building.FertilizerDump.FertilizeYield,對樹木收集物施肥,-
Cordial.TreeFragment.Title,成長受到肥料的影響。,-
Cordial.TreeFragment.GrowthDaily,每日增長增加了,-
Cordial.TreeFragment.GrowthAverage,平均增長減少了,-
Cordial.TreeFragment.YieldAverage,平均產量增長下降了,-
Cordial.Unit.Days,天數,-
Cordial.Unit.PerHour,Error,-
