ID,Text,Comment
Tobbert.TrackStraight.DisplayName,直線火車軌道,-
Tobbert.TrackStraight.Description,一段直行的軌道片。點擊時可以通過開關變更為單行信號。創建一個單行之間的軌道區段，允許一列列車在上面行駛（以顏色表示）。,-
Tobbert.TrackStraight.FlavorDescription,啾！啾！,-
Tobbert.TrackOneWay.DisplayName,單向信號軌道,-
Tobbert.TrackOneWay.Description,將告訴火車只能通過綠色的路段。點擊開關可以將其改回直線軌道。在單行道之間創建一段軌道，使得只有一列火車可以在上面行駛（由顏色顯示）。,-
Tobbert.TrackOneWay.FlavorDescription,你…將…通過…,-
Tobbert.TrackCrossing.DisplayName,火車軌道交叉口,-
Tobbert.TrackCrossing.Description,水獺可以在這裡穿越軌道。由於性能會受到太大影響，因此不會實現碰撞。,-
Tobbert.TrackCrossing.FlavorDescription,那列火車正快速接近-,-
Tobbert.TrackHillStart.DisplayName,斜坡道,-
Tobbert.TrackHillStart.Description,一條讓火車上下行駛的軌道。,-
Tobbert.TrackHillStart.FlavorDescription,火車不會太重嗎？,-
Tobbert.TrackCorner1x1.DisplayName,角落 1x1 鐵道,-
Tobbert.TrackCorner1x1.Description,一個轉角的軌道片。,-
Tobbert.TrackCorner1x1.FlavorDescription,可能會有點緊。,-
Tobbert.TrackCorner2x2.DisplayName,轉角 2x2 鐵路軌道,-
Tobbert.TrackCorner2x2.Description,一段圍繞較大轉彎的軌道。,-
Tobbert.TrackCorner2x2.FlavorDescription,多麼好看的曲線。,-
Tobbert.TrackTIntersection1x1.DisplayName,T字形交岔口火車軌道 1x1,-
Tobbert.TrackTIntersection1x1.Description,一個呈T形的火車交叉口。,-
Tobbert.TrackTIntersection1x1.FlavorDescription,我應該走哪條路？,-
Tobbert.TrackTIntersection2x3.DisplayName,T 形交叉火車軌道 2x3,-
Tobbert.TrackTIntersection2x3.Description,一個以T字形交叉的火車路口。,-
Tobbert.TrackTIntersection2x3.FlavorDescription,那些道路將通向哪裡？,-
Tobbert.TrackXIntersection1x1.DisplayName,X 交叉火車軌道 1x1,-
Tobbert.TrackXIntersection1x1.Description,一個形狀像X的火車交叉口。,-
Tobbert.TrackXIntersection1x1.FlavorDescription,這麼多選擇！,-
Tobbert.TrackXIntersection3x3.DisplayName,X 交叉火車軌道 3x3,-
Tobbert.TrackXIntersection3x3.Description,一個以 X 形交叉的鐵路交接口。,-
Tobbert.TrackXIntersection3x3.FlavorDescription,我就是無法決定要去哪裡...,-
Tobbert.TrackRIntersection2x3.DisplayName,切換火車軌道 2x3,-
Tobbert.TrackRIntersection2x3.Description,一個以R形狀的開關，適用於火車。,-
Tobbert.TrackRIntersection2x3.FlavorDescription,我們要去哪裡？,-
Tobbert.GoodsStation.DisplayName,貨物站,-
