ID,Text,Comment
CG.TreeGrowthRate,樹木生長速度,-
CG.TreeGrowthRateDesc,樹木生長時間的倍數，例如松樹或橡樹（遊戲預設為1）。可以設置為低於1以增加遊戲難度。,-
CG.CropGrowthRate,作物生長率,-
CG.CropGrowthRateDesc,作物生長時間的倍數，例如胡蘿蔔或土豆（遊戲默認為1）。可以設置為低於1，以增加遊戲難度。,-
CG.GatherableGrowthRate,產品成長率,-
CG.GatherableGrowthRateDesc,產品增長時間的倍數，例如松脂或漿果（遊戲默認為1）。可以設置為低於1以增加遊戲難度。,-
CG.ReproducibleChanceMultiplier,可重複的機會乘數,-
CG.ReproducibleChanceMultiplierDesc,讓樹的繁殖機率增減。每棵樹每小時有1%-3%的機率繁殖，具體取決於樹的種類。將此設置為1以保持遊戲的設定，設置為0則表示不會繁殖。,-
CG.SpreadDistance,擴散距離,-
CG.SpreadDistanceDesc,樹木可以擴散到新區塊的距離（以區塊計算）。0表示不擴散。遊戲預設值：1,-
CG.SpreadVertically,可以垂直擴散,-
CG.SpreadVerticallyDesc,如果啟用，樹木可以擴展到它們上下的方塊（使用擴展距離）。遊戲默認：關閉,-
