ID,Text,Comment
LV.SPE.AllFixedDepth,使用固定深度,-
LV.SPE.AllFixedDepthDesc,所有泵將有一個固定的最大深度。,-
LV.SPE.FixedDepth,固定深度,-
LV.SPE.FixedDepthDesc,所有泵的最大深度固定深度,-
LV.SPE.AllMultiplier,使用乘數,-
LV.SPE.AllMultiplierDesc,所有泵浦將使用乘數來計算最大深度。,-
LV.SPE.Multiplier,乘數,-
LV.SPE.MultiplierDesc,所有泵最大深度的乘數,-
LV.SPE.WaterConversation,水產品轉換率,-
LV.SPE.WaterConversationDesc,水產品與體積的轉換率（遊戲預設：0.2，意味著水泵需要 0.2cm³ 來生產 1 個水產品，而水排放器每個水產品產生 0.2cm³）,-
LV.SPE.MechPumpWater,機械泵數量 (⚡!),-
LV.SPE.MechPumpWaterDesc,"每秒機械泵抽水的量（遊戲預設：0.25cm³/s）。  
⚡ 注意：更改此數值也會相應地增加或減少耗電量，詳情見下文。",-
LV.SPE.MechPumpPowerMultiplier,機械泵功率倍增器,-
LV.SPE.MechPumpPowerDesc,默認情況下，此模組將功率使用保持在每0.25立方厘米700馬力。使用此修飾符來增加或減少（作弊 :P）該比例。遊戲默認值：1倍,-
LV.SPE.WaterProdTimeMultiplier,水生產時間乘數,-
LV.SPE.WaterProdTimeMultiplierDesc,水產量生產時間的倍數。例如：遊戲默認為水泵生產1水需要0.33小時，將其設置為0.5將使1水的生產時間變為0.16.5小時。,-
