ID,Text,Comment
LV.SPE.AllFixedDepth,Используйте фиксированную глубину.,-
LV.SPE.AllFixedDepthDesc,Все насосы будут иметь фиксированную максимальную глубину.,-
LV.SPE.FixedDepth,Фиксированная глубина,-
LV.SPE.FixedDepthDesc,Фиксированная глубина для всех максимальных глубин насосов,-
LV.SPE.AllMultiplier,Используйте мультипликатор,-
LV.SPE.AllMultiplierDesc,Все насосы будут использовать множитель для максимальной глубины.,-
LV.SPE.Multiplier,Мультiplier,-
LV.SPE.MultiplierDesc,Коэффициент для всех максимальных глубин насосов,-
LV.SPE.WaterConversation,Коэффициент конверсии водных продуктов,-
LV.SPE.WaterConversationDesc,"Коэффициент конверсии для водного продукта по сравнению с объемом (По умолчанию в игре: 0,2, что означает, что водяные насосы потребляют 0,2 см³ для производства 1 водного продукта, а водяные свалки производят 0,2 см³ на водный продукт)",-
LV.SPE.MechPumpWater,Количество механических насосов (⚡!),-
LV.SPE.MechPumpWaterDesc,"Количество воды в секунду, которую перекачивает механический насос (по умолчанию игры: 0,25 см³/с). ⚡ Примечание: изменение этой величины также увеличивает или уменьшает потребление энергии соответственно, см. ниже.",-
LV.SPE.MechPumpPowerMultiplier,Механический насосный усилитель мощности,-
LV.SPE.MechPumpPowerDesc,"По умолчанию этот мод сохраняет потребление энергии на уровне 700HP на 0,25 см³. Используйте этот модификатор, чтобы увеличить или уменьшить (читер :P) это соотношение. По умолчанию в игре: 1x",-
LV.SPE.WaterProdTimeMultiplier,Множитель времени производства воды,-
LV.SPE.WaterProdTimeMultiplierDesc,"Множитель времени производства воды. Например: В игре по умолчанию 0,33 часа за 1 воду для водяных насосов, установка этого значения на 0,5 сделает его 0,16,5 часа за 1 воду.",-
