ID,Text,Comment
LV.TIMod.SwapBuildFinishedModifier,Завершенный модификатор обмена сборки,-
LV.TIMod.SwapBuildFinishedModifierDesc,"Когда режим разработчика включен, автоматическое завершение строительства при размещении здания с зажатой клавишей Ctrl будет размещать здание как обычно для строительства.",-
LV.TIMod.NoClearDevFilter,Не очищайте фильтр режима разработки.,-
LV.TIMod.NoClearDevFilterDesc,Не очищайте фильтр режима разработчика при вызове одного или добавлении/удалении их из избранного.,-
Modding.ThumbnailInfo,"Нажмите Обновить, чтобы выбрать миниатюру мода, если опция 'Выбрать миниатюру загрузки' отмечена.",-
LV.TIMod.PickThumbnail,Выберите миниатюру для загрузки,-
LV.TIMod.PickThumbnailDesc,Выберите эскиз для вашей загрузки вместо использования thumbnail.png.,-
LV.TIMod.OpenExternalBrowser,Всегда открывать внешний браузер,-
LV.TIMod.OpenExternalBrowserDesc,Всегда открывать с внешним браузером вместо браузера в оверлее Steam.,-
LV.TIMod.DevModeOnDefault,Включите режим разработки при загрузке,-
LV.TIMod.DevModeOnDefaultDesc,Включите режим разработчика по умолчанию при загрузке игры.,-
LV.TIMod.BetterResetLoadOrder,Лучшая организация модов,-
LV.TIMod.BetterResetLoadOrderDesc,"Переместите мод в верхнюю часть, но ниже его зависимостей. Сброс порядка загрузки сортирует моды по включению, названию, а затем перемещает их зависимости прямо на верх. Включенные моды показываются первыми при загрузке.",-
LV.TIMod.NoExitSave,Нет выхода Сохранить,-
LV.TIMod.NoExitSaveDesc,Не сохраняйте игру при выходе.,-
LV.TIMod.QuickQuit,Включить быстрое/принудительное завершение [Ctrl Shift Q][!],-
LV.TIMod.QuickQuitDesc,"Включите быстрое завершение при нажатии [Ctrl Shift Q]. Эта опция использует Process.Kill(), поэтому сохранение не будет выполнено.",-
LV.TIMod.QuickRestart,Включить Быструю Перезагрузку [Ctrl Shift R][!],-
LV.TIMod.QuickRestartDesc,"Включите быстрый перезапуск при нажатии [Ctrl Shift R]. Эта опция использует Process.Kill(), поэтому сохранение не будет выполнено.",-
