ID,Text,Comment
MapMakerPlants.GiantSequoia.DisplayName,3x3 Riesenmammutbaum,-
MapMakerPlants.2X2treePlaceholder1.DisplayName,2x2 ??? Baum,-
MapMakerPlants.Brambles.DisplayName,Dornsträucher,-
MapMakerPlants.NewVineV.DisplayName,Reben (vertikal),-
MapMakerPlants.NewVineH.DisplayName,Reben (Horizontal),-
MapMakerPlants.Waterbamboo.DisplayName,2x2 W.Bambus,-
MapMakerPlants.Baobab.DisplayName,5x5 Baobab,-
MapMakerPlants.LemonTree.DisplayName,Zitronenbaum,-
MapMakerPlants.PinkBirch.DisplayName,Immerblüte,-
MapMakerPlants.RuinedPath.DisplayName,Zerstörter Weg,-
MapMakerPlants.BrokenHouse.DisplayName,Zerfallenes Haus (Äste),-
MapMakerPlants.PlankRuin.DisplayName,Kaputteres Haus (Bretter),-
NaturalResource.PinkBirch.DisplayName,Immerblüte,-
Good.Pumpkin.DisplayName,Kürbis,-
NaturalResource.Waterbamboo.DisplayName,Unglaublich hoher Bambus,-
Lapantouflemagic.NewVineH.DisplayName,Weintraube,-
MapMakerPlants.CrystalSupport.Description,"Unterstützung notwendig, um schwebende Kristalle über Z-Ebene 1 zu platzieren.  
Selbststapelbar  
Wird unsichtbar sein und beim Spielen keine Hitbox haben",-
MapMakerPlants.CrystalSupport.DisplayName,Kristallunterstützung,-
MPME.FloatingRock.DisplayName,Schwebender Kristall,-
MPME.FloatingRock.Description,"Schwebt am Himmel, um eine Himmelinsel zu stützen, muss aus unverständlichen Gründen auf etwas ruhen, benutze die Unterstützung.",-
MPME.FloatingRock.FlavorDescription,"„Wie funktioniert das?“ Oh? Oh, jetzt? Nach all diesen Jahren? Nach all diesen Spielen? Jetzt fragst du MICH, wie das funktioniert?",-
MapMakerPlants.GearsRuin.DisplayName,Zerfallendes Gebäude (Zahnräder),-
Building.SkyBadwaterSource.DisplayName,Himmel Badwater Quelle,-
Building.SkyWaterSource.DisplayName,Himmelwasserquelle,-
Building.VoidSinkHole.DisplayName,Sinkhole-Himmelblock,-
Building.VoidSinkHole.Description,"Löscht visuell den Boden darunter.  
Fungiert als negative Wasserquelle, um Wasser zu löschen, das von den Inseln fällt.  
Die Flagge wird im Spiel nicht sichtbar sein.",-
MapMakerPlants.VoidTile.DisplayName,Himmelblock,-
MapMakerPlants.VoidTile.Description,"Sichtbar entfernt es den Boden darunter. Für Orte, an denen man niemals erwarten würde, Wasser zu sehen.",-
MapMakerPlants.VoidTileLarge.DisplayName,Himmel Block 9x9,-
