ID,Text,Comment
IgorZ.Automation.DebugPickTool.Title,Debugging-Tool,-
IgorZ.Automation.DebugPickTool.Description,Druckt Komponenten auf dem ausgewählten Objekt.,-
IgorZ.Automation.DebugPickTool.DescriptionHint1,"Halten Sie <i>SHIFT</i> gedrückt, um ""Zugänglich"" auszudrucken.",-
IgorZ.Automation.DebugPickTool.DescriptionHint2,"Halten Sie <i>CTRL</i>, um die NavMesh-Kanten zu drucken.",-
IgorZ.Automation.DebugFinishNowTool.Title,Debug-Tool jetzt beenden,-
IgorZ.Automation.DebugFinishNowTool.Description,Beendet sofort die ausgewählten Bauobjekte.,-
IgorZ.Automation.ToolGroup.Main.DisplayName,Automatisierung einrichten,-
IgorZ.Automation.ToolGroup.Terrain.DisplayName,Geländeveränderung,-
IgorZ.Automation.ToolGroup.Water.DisplayName,Wasserbedingungen,-
IgorZ.Automation.ToolGroup.Power.DisplayName,Strombedingungen,-
IgorZ.Automation.ToolGroup.Storage.DisplayName,Lagerbedingungen,-
IgorZ.Automation.ToolGroup.Population.DisplayName,Bevölkerungsbedingungen,-
IgorZ.Automation.Tool.tmpl.2LevelsDynamite.DisplayName,Dynamit 2 Mal sprengen,-
IgorZ.Automation.Tool.tmpl.3LevelsDynamite.DisplayName,Dynamit dreimal sprengen,-
IgorZ.Automation.Tool.tmpl.4LevelsDynamite.DisplayName,Dynamit 4 Mal sprengen,-
IgorZ.Automation.Tool.tmpl.5LevelsDynamite.DisplayName,Dynamit 5 Mal sprengen,-
IgorZ.Automation.Tool.tmpl.6LevelsDynamite.DisplayName,Dynamit 6 Mal explodieren,-
IgorZ.Automation.Tool.tmpl.XLevelsDynamite.Description,"Diese Vorlage kann auf Dynamiten angewendet werden, egal ob sie fertiggestellt oder noch im Bau sind. Nach der Fertigstellung wird das Dynamit automatisch zünden, und ein neuer Dynamit-Plan wird platziert, um tiefer zu graben.",-
IgorZ.Automation.Tool.tmpl.EmptyAt50pct.DisplayName,"Leeren Sie den Speicher, wenn die Kapazität über 50 % liegt.",-
IgorZ.Automation.Tool.tmpl.EmptyAt60pct.DisplayName,"Leeren Sie den Speicher, wenn die Kapazität über 60 % liegt.",-
IgorZ.Automation.Tool.tmpl.EmptyAt70pct.DisplayName,"Entleere den Speicher, wenn die Kapazität über 70 % liegt.",-
IgorZ.Automation.Tool.tmpl.EmptyAt80pct.DisplayName,"Leeren Sie den Speicher, wenn die Kapazität über 80 % liegt.",-
IgorZ.Automation.Tool.tmpl.EmptyAt90pct.DisplayName,"Leeren Sie den Speicher, wenn die Kapazität über 90% liegt.",-
IgorZ.Automation.Tool.tmpl.EmptyAtXpct.Description,"Diese Vorlage kann auf Gebäude angewendet werden, die eine Art von Gut produzieren und keinen Inputvorrat haben. Wenn der <i>Ausgangs-</i>Vorratsbestand den festgelegten Schwellenwert überschreitet, wechselt das Gebäude in einen 'leeren' Modus, um eine schnelle Entfernung von Waren zu ermöglichen.",-
IgorZ.Automation.EmptyOutputStore.CustomStatus,Das Gebäude wird vorrangig geleert.,-
IgorZ.Automation.Tool.tmpl.DroughtPause.DisplayName,Pause während der Dürre,-
IgorZ.Automation.Tool.tmpl.DroughtPause.Description,"Wenden Sie diese Vorlage auf Gebäude an, die während Dürreperioden pausiert bleiben sollten.",-
IgorZ.Automation.Tool.tmpl.BadtidePause.DisplayName,Pause während Niedrigwasser,-
IgorZ.Automation.Tool.tmpl.BadtidePause.Description,"Wenden Sie diese Vorlage auf Gebäude an, die während der schlechten Gezeiten pausiert bleiben sollten.",-
IgorZ.Automation.Tool.tmpl.TemperatePause.DisplayName,Pause bei gemäßigtem Wetter,-
IgorZ.Automation.Tool.tmpl.TemperatePause.Description,"Wenden Sie diese Vorlage auf Gebäude an, die während gemäßigten Wetters pausieren sollen.",-
IgorZ.Automation.Tool.tmpl.DroughtCloseFloodgate.DisplayName,Schließe das SturmTor während der Dürre.,-
IgorZ.Automation.Tool.tmpl.DroughtCloseFloodgate.Description,"Wenden Sie diese Vorlage auf Schleusen an, die sich schließen sollten, wenn die Dürre beginnt.",-
IgorZ.Automation.Tool.tmpl.DroughtOpenFloodgate.DisplayName,Flutlicht während Dürre öffnen,-
IgorZ.Automation.Tool.tmpl.DroughtOpenFloodgate.Description,"Wenden Sie diese Vorlage auf Schleusen an, die sich öffnen sollten, wenn die Dürre beginnt.",-
IgorZ.Automation.Tool.tmpl.DroughtOpenWaterRegulator.DisplayName,Offene Wasserregelung während der Dürre,-
IgorZ.Automation.Tool.tmpl.DroughtOpenWaterRegulator.Description,"Wenden Sie diese Vorlage auf Wasserregulatoren an, die während Dürrezeiten geöffnet sein müssen.",-
IgorZ.Automation.Tool.tmpl.BadtideCloseFloodgate.DisplayName,Schließe das Sperrtor bei schlechter Tide.,-
IgorZ.Automation.Tool.tmpl.BadtideCloseFloodgate.Description,"Wenden Sie diese Vorlage auf die Schleusen an, die sich schließen müssen, wenn die Flut beginnt.",-
IgorZ.Automation.Tool.tmpl.BadtideOpenFloodgate.DisplayName,Öffne das Schleusentor während der schlechten Gezeiten.,-
IgorZ.Automation.Tool.tmpl.BadtideOpenFloodgate.Description,"Wenden Sie diese Vorlage auf die Schleusentore an, die sich öffnen müssen, wenn die schlechte Tide beginnt.",-
IgorZ.Automation.Tool.tmpl.TemperateCloseFloodgate.DisplayName,Schließe das Sperrtor während temperierter Wetterbedingungen.,-
IgorZ.Automation.Tool.tmpl.TemperateCloseFloodgate.Description,"Wenden Sie diese Vorlage auf Schleusen an, die sich schließen müssen, wenn die temperierte Saison beginnt.",-
IgorZ.Automation.Tool.tmpl.TemperateOpenFloodgate.DisplayName,Öffne das Schleusentor bei gemäßigtem Wetter.,-
IgorZ.Automation.Tool.tmpl.TemperateOpenFloodgate.Description,"Wenden Sie diese Vorlage bei Fluttoren an, die geöffnet werden müssen, wenn die gemäßigte Saison beginnt.",-
IgorZ.Automation.Tool.tmpl.TemperateSemiOpenFloodgate.DisplayName,Leicht geöffnete Schleuse bei gemäßigtem Wetter,-
IgorZ.Automation.Tool.tmpl.TemperateSemiOpenFloodgate.Description,"Wenden Sie diese Vorlage bei Schleusen an, die sich um 0,5 m ihrer maximalen Höhe öffnen sollten, wenn die Temperatursaison beginnt.",-
IgorZ.Automation.Tool.tmpl.BotsAtPlus10.DisplayName,Bot-Bevölkerung +10,-
IgorZ.Automation.Tool.tmpl.BotsAtPlus10.Description,"Wenden Sie diese Vorlage auf Gebäude an, die weiterhin betrieben werden sollen, bis die Bot-Population das aktuelle Niveau um 10 Bots übersteigt.",-
IgorZ.Automation.Tool.tmpl.BotsAtPlus20.DisplayName,Bot-Population +20,-
IgorZ.Automation.Tool.tmpl.BotsAtPlus20.Description,"Wenden Sie diese Vorlage auf Gebäude an, die betrieben werden sollten, bis die Bot-Population die aktuelle Stufe um 20 Bots übersteigt.",-
IgorZ.Automation.Tool.tmpl.BotsAtMinus10.DisplayName,Bot-Population -10,-
IgorZ.Automation.Tool.tmpl.BotsAtMinus10.Description,"Wenden Sie diese Vorlage auf Gebäude an, die pausiert bleiben müssen, bis die Bot-Bevölkerung um 10 Biber unter das aktuelle Niveau fällt.",-
IgorZ.Automation.Tool.tmpl.BotsAtMinus20.DisplayName,Bot-Population -20,-
IgorZ.Automation.Tool.tmpl.BotsAtMinus20.Description,"Wenden Sie diese Vorlage auf Gebäude an, die pausiert bleiben müssen, bis die Bot-Bevölkerung um 20 Biber unter das aktuelle Niveau gesenkt wird.",-
IgorZ.Automation.Tool.tmpl.BeaversAtMax.DisplayName,"Laufen, bis die Biberpopulation maximal ist.",-
IgorZ.Automation.Tool.tmpl.BeaversAtMax.Description,"Wenden Sie diese Vorlage auf Gebäude an, die in Betrieb sein sollten, solange es unbesetzte Betten gibt.",-
IgorZ.Automation.Tool.tmpl.BeaversAtPlus10.DisplayName,Biberpopulation +10,-
IgorZ.Automation.Tool.tmpl.BeaversAtPlus10.Description,"Wenden Sie diese Vorlage auf Gebäude an, die betrieben werden sollen, bis die Biberpopulation das aktuelle Niveau um 10 Biber überschreitet.",-
IgorZ.Automation.Tool.tmpl.BeaversAtPlus20.DisplayName,Biberpopulation +20,-
IgorZ.Automation.Tool.tmpl.BeaversAtPlus20.Description,"Wenden Sie diese Vorlage auf Gebäude an, die bis zur Überschreitung des aktuellen Niveaus um 20 Biber in Betrieb sein sollten.",-
IgorZ.Automation.Tool.tmpl.BeaversAtMinus10.DisplayName,Biberpopulation -10,-
IgorZ.Automation.Tool.tmpl.BeaversAtMinus10.Description,"Wenden Sie diese Vorlage auf Gebäude an, die pausiert bleiben sollten, bis die Biberpopulation um 10 Biber unter das aktuelle Niveau sinkt.",-
IgorZ.Automation.Tool.tmpl.BeaversAtMinus20.DisplayName,Biberpopulation -20,-
IgorZ.Automation.Tool.tmpl.BeaversAtMinus20.Description,"Wenden Sie diese Vorlage auf Gebäude an, die pausiert bleiben sollten, bis die Biberpopulation um 20 Biber unter das aktuelle Niveau sinkt.",-
IgorZ.Automation.Tool.tmpl.ChainedBuildings.DisplayName,Blockiere keine Bauarbeiter.,-
