ID,Text,Comment
Cordial.CutterTool.DisplayName,Mark hat den Bereich für Baumfällarbeiten festgelegt.,-
Cordial.CutterTool.Description,"Verwenden Sie dieses Tool, um konfigurierte Bereiche und/oder Baumarten zu markieren, die gefällt werden sollen.",-
Cordial.CutterTool.CutterToolPanel.Title,Werkzeugkonfiguration für Cutter,-
Cordial.CutterTool.CutterToolPanel.Description,Konfigurieren Sie Baumarten zum Fällen und/oder das Bereich zur Auswahl des Schnitts.,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern01,Alle,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern02,Kariert,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern03,Linien X,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern04,Linien Y,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.TreeAll,Alle Baumarten,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.TreeMark,Markieren Sie nur Bäume.,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.IgnoreStump,Stümpfe ignorieren,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.ClearCut,Unpassenden Schneidebereich räumen.,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.IgnoreDeadSapling,Ignoriere tote Setzlinge,-
