ID,Text,Comment
Tobbert.TrackStraight.DisplayName,Gerade Bahngleise,-
Tobbert.TrackStraight.Description,"Ein gerades Gleisstück. Kann durch Klicken darauf mit dem Umschalter in ein Einbahn-Signal geändert werden. Erstellt einen Gleisabschnitt zwischen Einbahnstrecken, der es einem einzelnen Zug ermöglicht, darauf zu fahren (angezeigt durch die Farben).",-
Tobbert.TrackStraight.FlavorDescription,Tschu! Tschu!,-
Tobbert.TrackOneWay.DisplayName,Einweg-Signaltrack,-
Tobbert.TrackOneWay.Description,"Wird Züge anweisen, dass sie nur durch die grüne Seite fahren können. Kann durch die Verwendung des Schalters, wenn darauf geklickt wird, wieder in ein gerades Gleis geändert werden. Erstellt einen Gleisabschnitt zwischen Einbahnstraßen, der es einem einzelnen Zug ermöglicht, sich darauf zu befinden (angezeigt durch die Farben).",-
Tobbert.TrackOneWay.FlavorDescription,Du... wirst... bestehen...,-
Tobbert.TrackCrossing.DisplayName,Bahnübergang,-
Tobbert.TrackCrossing.Description,"Biber können hier die Gleise überqueren. Kollisionen werden nicht implementiert, da die Leistung zu sehr beeinträchtigt wird.",-
Tobbert.TrackCrossing.FlavorDescription,Der Zug kommt sehr schnell näher.,-
Tobbert.TrackHillStart.DisplayName,Hangbahn,-
Tobbert.TrackHillStart.Description,"Ein Gleis, das es Zügen ermöglicht, auf- und abzufahren.",-
Tobbert.TrackHillStart.FlavorDescription,Ist der Zug nicht zu schwer?,-
Tobbert.TrackCorner1x1.DisplayName,Ecke 1x1 Eisenbahnstrecke,-
Tobbert.TrackCorner1x1.Description,"Ein Gleisstück, das um eine Ecke führt.",-
Tobbert.TrackCorner1x1.FlavorDescription,Könnte ein wenig eng werden.,-
Tobbert.TrackCorner2x2.DisplayName,Eckige 2x2 Eisenbahnschiene,-
Tobbert.TrackCorner2x2.Description,"Ein Schienenstück, das um eine größere Kurve verläuft.",-
Tobbert.TrackCorner2x2.FlavorDescription,Was für eine schön aussehende Kurve.,-
Tobbert.TrackTIntersection1x1.DisplayName,T-Kreuzung Eisenbahnschiene 1x1,-
Tobbert.TrackTIntersection1x1.Description,Eine T-förmige Kreuzung für Züge.,-
Tobbert.TrackTIntersection1x1.FlavorDescription,Welchen Weg soll ich gehen?,-
Tobbert.TrackTIntersection2x3.DisplayName,T-Kreuzung Eisenbahngleis 2x3,-
Tobbert.TrackTIntersection2x3.Description,Eine Kreuzung in Form eines T für Züge.,-
