ID,Text,Comment
Faction.Emberpelts.DisplayName,Glutfelle,-
Faction.Charcoal.DisplayName,Holzkohle,-
Faction.Emberpelts.Description,"Die Emberpelts haben eine Vorliebe für die Farbe Rot und bleiben gerne warm. Manchmal beobachten sie einfach gerne, wie Dinge brennen.  
Sie mögen es nicht, ihr Fell nass zu bekommen.  
Ihr Motto: <i>Herzen aus Feuer.</i>",-
Bot.DisplayName.Emberpelts,Emberbot {0},-
Good.Brick.DisplayName,Ziegelstein,-
Good.Brick.PluralDisplayName,Ziegel,-
Good.Clay.DisplayName,Ton,-
Good.Clay.PluralDisplayName,Ton,-
Good.Coal.DisplayName,Holzkohle,-
Good.Coal.PluralDisplayName,Holzkohle,-
Good.Apple.DisplayName,Apfel,-
Good.Apple.PluralDisplayName,Äpfel,-
Good.AppleJuice.DisplayName,Apfelsaft,-
Good.AppleJuice.PluralDisplayName,Apfelsaft,-
Good.Radish.DisplayName,Radieschen,-
Good.Radish.PluralDisplayName,Radieschen,-
Good.Tomato.DisplayName,Tomate,-
Good.Tomato.PluralDisplayName,Tomaten,-
Good.TomatoJuice.DisplayName,Tomatensaft,-
Good.TomatoJuice.PluralDisplayName,Tomatensaft,-
Good.Beetroot.DisplayName,Rübe,-
Good.Beetroot.PluralDisplayName,Rüben,-
Good.RedJuice.DisplayName,Rote-Beete- und Radieschensaft,-
Good.RedJuice.PluralDisplayName,Rote-Bete- und Radieschensaft,-
Good.CornJuice.DisplayName,Mais-Saft,-
Good.CornJuice.PluralDisplayName,Maissaft,-
Good.Pepper.DisplayName,Paprika,-
Good.Pepper.PluralDisplayName,Paprika,-
Good.Cornmeal.DisplayName,Maismehl,-
Good.Cornmeal.PluralDisplayName,Maismehl,-
Good.GrilledCorn.DisplayName,Gegrillter Mais,-
Good.GrilledCorn.PluralDisplayName,Gegrillter Mais,-
Good.GrilledPepper.DisplayName,Gegrillte Paprika,-
Good.GrilledPepper.PluralDisplayName,Gegrillte Paprika,-
Good.ApplePie.DisplayName,Apfelkuchen,-
Good.ApplePie.PluralDisplayName,Apfelkuchen,-
Good.Cornbread.DisplayName,Maisbrot,-
