ID,Text,Comment
kulesz.FPPCamera.KeyBinding.Jump,Springen,-
kulesz.FPPCamera.KeyBinding.MoveBackward,Rückwärts bewegen,-
kulesz.FPPCamera.KeyBinding.MoveForward,Vorwärts gehen,-
kulesz.FPPCamera.KeyBinding.MoveLeft,Nach links bewegen,-
kulesz.FPPCamera.KeyBinding.MoveRight,Bewege dich nach rechts.,-
kulesz.FPPCamera.KeyBinding.Run,Laufen,-
kulesz.FPPCamera.KeyBindingGroup,FPP-Kamera,-
kulesz.FPPCamera.Settings.CameraSway,Kameraschwenk,-
kulesz.FPPCamera.Settings.FOV,Sichtfeld,-
kulesz.FPPCamera.Settings.HorizontalSensitivity,Horizontale Empfindlichkeit,-
kulesz.FPPCamera.Settings.VerticalSensitivity,Vertikale Empfindlichkeit,-
