ID,Text,Comment
DAM.EnableAll,Alle aktivieren,-
DAM.EnableAllDesc,"Überprüfen, um alle Mods beim Verlassen zu aktivieren. Ein Neustart ist erforderlich und dies wird automatisch deaktiviert.",-
DAM.DisableAll,Alles deaktivieren,-
DAM.DisableAllDesc,"Überprüfen, um alle Mods beim Beenden zu deaktivieren. Ein Neustart ist erforderlich und dies ist standardmäßig deaktiviert.",-
DAM.KeepEnabled,Aktivieren Sie die Funktion,-
DAM.KeepEnabledDesc,"Semikolon ';' getrennte Liste von Mod-IDs, die aktiviert bleiben sollen, wenn ""Alle deaktivieren"" ausgewählt ist.",-
DAM.LoadProfile,Profil laden,-
DAM.LoadProfileDesc,Aktivieren Sie Mods mit IDs aus der Datei 'mods.txt'. Sie sollte im Mod-Ordner sein.,-
DAM.SaveProfile,Profil speichern,-
DAM.SaveProfileDesc,Speichere aktivierte Mods in der Datei 'mods.txt'. Sie befindet sich im Ordner der Mods.,-
DAM.ViewProfileFolder,Profilordner anzeigen,-
DAM.ViewProfileFolderDesc,"Öffne den Ordner, in dem sich die 'mods.txt'-Datei befindet.",-
DAM.RestartGame,OK und das Spiel neu starten,-
