ID,Text,Comment
LV.CTZ.TubewaySpeed,Tubeway-Bonusgeschwindigkeit,-
LV.CTZ.TubewaySpeedDesc,Die Bonusgeschwindigkeit der Röhre (Spielstandard: 300%),-
LV.CTZ.ZiplineSpeed,Zipline-Bonusgeschwindigkeit,-
LV.CTZ.ZiplineSpeedDesc,Die Geschwindigkeit der Seilrutsche (Spielstandard: 150%),-
LV.CTZ.ZiplineSpeedMaxCon,Zipline maximale Verbindung,-
LV.CTZ.ZiplineSpeedMaxConDesc,"Die maximale Anzahl von Verbindungen, die eine Zipline haben kann (Spielstandard: 2)",-
LV.CTZ.ZiplineSpeedMaxDistance,Zipline maximale Entfernung,-
LV.CTZ.ZiplineSpeedMaxDistanceDesc,"Die maximale Entfernung, die eine Zipline haben kann (Standardspiel: 30)",-
LV.CTZ.ZiplineSpeedMaxInclination,Maximalneigung des Zipline-Kabels,-
LV.CTZ.ZiplineSpeedMaxInclinationDesc,Die maximale Neigung des Zipline-Kabels (Spielstandard: 50),-
LV.CTZ.ZiplineThroughObstacles,Seilrutsche durch Hindernisse,-
LV.CTZ.ZiplineThroughObstaclesDesc,"Erlaube Seilrutschen, durch Hindernisse zu gehen (Spielstandard: falsch)",-
LV.CTZ.ZiplineForIronTeeth,Zipline für Eisen Zähne,-
LV.CTZ.ZiplineForIronTeethDesc,Lass die Iron Teeth Seilrutschen bauen (Spielstandard: nein),-
LV.CTZ.TubewayForFolktails,Röhrenweg für Volkserzählungen,-
LV.CTZ.TubewayForFolktailsDesc,Lass die Folktails Tubeways bauen (Spielstandard: falsch),-
LV.CTZ.NoWaterPenalty,Keine Geschwindigkeitsstrafe im Wasser,-
LV.CTZ.NoWaterPenaltyDesc,Keine Geschwindigkeitseinbuße beim Zutritt ins Wasser (Spielstandard: falsch),-
