ID,Text,Comment
Knatte.WE_IrrigationExtractFuel.DisplayName,Bewässerung mit Tree Boost,-
Knatte.WE_IrrigationFuel.DisplayName,Bewässerung,-
Knatte.IrrigationTower.DisplayName,Bewässerungsturm,-
Knatte.IrrigationTower.Description,"Bewässert das Land um sich herum. Verwendet kein Wasser für Fliesen, die es nicht bewässern kann.",-
Knatte.IrrigationTower.Header,Bewässerungsmodus:,-
Knatte.IrrigationTower.FlavorDescription,"Mit weniger als einem Drittel der Erde, das von Wasser bedeckt ist, wurde Bewässerung notwendig.",-
Knatte.IrrigationTowerV2_FT.DisplayName,Effizienter Bewässerungsturm,-
Knatte.IrrigationTowerV2_FT.Description,"Bewässert mehr Land um sich herum und kann das Baumwachstum mit Extrakt fördern. Verwendet kein Wasser für Flächen, die es nicht bewässern kann.",-
Knatte.IrrigationTowerV2_IT.DisplayName,Angetriebenen Bewässerungsturm,-
Knatte.IrrigationTowerV2_IT.Description,"Bewässert die Umgebung ohne dass Arbeiter benötigt werden. Für eine höhere Wassernutzung blockiert es auch Kontamination. Verbraucht kein Wasser für Fliesen, die es nicht bewässern kann.",-
Knatte.IrrigationTowerV2.FlavorDescription,"Da weniger als ein Drittel der Erde mit Wasser bedeckt ist, wurde Bewässerung unumgänglich.",-
Knatte.BigIrrigationTower.DisplayName,Großer Bewässerungsturm,-
Knatte.BigIrrigationTowerIT.Description,"Bewässert sogar mehr Land um sich herum mit weniger Wasser. 
Die blaue Rohrleitung zeigt den Ausgangspunkt der Bewässerung an. 
Verwendet kein Wasser für Fliesen, die es nicht bewässern kann.",-
Knatte.BigIrrigationTowerFT.Description,"Bewässert sogar mehr Land um sich herum mit weniger Wasser.  
Das gelbe Rohr zeigt den Ausgangspunkt der Bewässerung an.  
Verwendet kein Wasser für Fliesen, die es nicht bewässern kann.",-
Knatte.BigIrrigationTower.FlavorDescription,Tropf Tropf Fall.,-
Knatte.IndWaterTank.DisplayName,Industrietank,-
Knatte.IndWaterTank.Description,"Hält mehr Wasser und ist stapelbar, benötigt jedoch Metall.",-
Knatte.Pipe5X.DisplayName,Rohr 5 Lang,-
Knatte.Pipe10X.DisplayName,Röhre 10 Lang,-
Knatte.Pipe15X.DisplayName,Rohr 15 lang,-
Knatte.Pipe.Description,"Dämme auf beiden Seiten des Rohres sowie ein Eingangs- und ein Ausgangsrohr. Die Dämme müssen mit Energie versorgt werden, aber auch als Transfer fungieren. 
Platziere keine Dämme in Hex über dem Ausgangsrohr! Es wird abstürzen!",-
Knatte.PipeU5X.DisplayName,Rohr Unterirdisch 5 Lang,-
Knatte.PipeU10X.DisplayName,Unterirdische Rohrleitung 10 Lang,-
Knatte.PipeU15X.DisplayName,Rohre unterirdisch 15 lang,-
Knatte.PipeU.Description,"Dämme auf beiden Seiten des Rohres und ein Eingangs- und Ausgangsrohr. Rohr, das zwischen den Dämmen unterirdisch verläuft. Dämme müssen mit Energie versorgt werden, fungieren aber auch als Übertragungsstellen. Platziere die Dämme nicht in dem Hex über dem Ausgangsrohr! Es wird abstürzen!",-
Knatte.CategoryPipe.DisplayName,Gerade Rohre,-
Knatte.CategoryPipe.Description,"Rohre, die überirdisch verlaufen",-
Knatte.CategoryPipeU.DisplayName,Unterirdische Rohre,-
Knatte.CategoryPipeU.Description,"Rohre, die an der Biegung unterirdisch verlegt werden müssen.",-
Knatte.CategoryHideWE.DisplayName,Unbenutzte Wassererweiterung,-
Knatte.Pipe1X.DisplayName,Rohrauslass,-
Knatte.Pipe1X.Description,"Zwei Schleusen und ein Eingangs- und Ausgangsrohr. Die Schleusen müssen mit Energie versorgt werden, sollen aber auch als Transfer fungieren. Platzieren Sie keine Schleusen im Hex über dem Ausgangsrohr! Es wird abstürzen!",-
Knatte.PowerLevee.DisplayName,Angetriebene Ärmel,-
Knatte.PowerLevee.Description,Damm mit Schacht zur Energieversorgung von Pumpen. Sowohl horizontal als auch vertikal.,-
Knatte.DeepSeaPump.DisplayName,Tiefsee-Wasserpumpe,-
Knatte.DeepSeaPump.Description,Pumpe für den Meeresboden,-
Knatte.DeepSeaPump.FlavorDescription,"Ein Schluck frisches Wasser genügt, um dich aufzupumpen.",-
Knatte.UPowerLevee.DisplayName,Universelle angetriebene Manschette,-
Knatte.UPowerLevee.Description,"Damm, der eine Welle enthält, um Pumpen anzutreiben. An allen Seiten verbunden.",-
Knatte.PipeH1X.DisplayName,Rohrauslass (H),-
Knatte.PipeH1X.Description,"Hochvolumenpumpe mit zwei Dämmen und einem Ein- und Auslassrohr. Die Dämme müssen mit Strom versorgt werden, sollen aber auch als Fördermittel fungieren.",-
Knatte.LargeWaterWheelLevee.DisplayName,Große Wassermühle mit Damm,-
Knatte.LargeWaterWheelLevee.Description,"Wasserturbine, die auch einen geneigten Deich hat, um zu helfen, das Wasser innerhalb der Kanäle zu halten und ein Überlaufen zu verhindern.",-
Knatte.PipeHU5X.DisplayName,Rohr Untergrund 5 Lang (H),-
Knatte.PipeHU10X.DisplayName,Rohre Unterirdisch 10 Lang (H),-
Knatte.PipeHU15X.DisplayName,Rohre unterirdisch 15 lang (H),-
Knatte.PipeHU.Description,"Hochleistungs-Version mit Dämmen auf beiden Seiten des Rohres sowie einem Einlass- und Auslassrohr. Rohr geht unterirdisch zwischen den Dämmen. Dämme müssen mit Strom versorgt werden, fungieren aber auch als Transfer. Platziere keine Dämme im Hex über dem Auslassrohr! Es wird abstürzen!",-
Knatte.Valve1X.DisplayName,Rückschlagventil,-
Knatte.Valve1X.Description,"Einwegventil mit Wehre in der Mitte
Kein Strom erforderlich und überträgt nicht
Maximaler Durchfluss 1,5 cm",-
Knatte.ValveH1X.DisplayName,Rückschlagventil (H),-
Knatte.ValveH1X.Description,"Hochvolumen-Einwegventil mit Damm in der Mitte  
Kein Strom erforderlich und überträgt nicht",-
Knatte.Aqueduct_S_1X.DisplayName,Aquädukt,-
Knatte.Aqueduct_S_5X.DisplayName,Aquadukt 5 Lang,-
Knatte.Aqueduct_S.Description,Aquädukt mit einer Wand auf einer Seite. Stoppt auch das Wasser am Boden.,-
Knatte.Aqueduct_S.FlavorDescription,Auszufüllen,-
Knatte.Aqueduct_P_1X.DisplayName,Aquädukt 1x1,-
Knatte.Aqueduct_P_5X.DisplayName,Aquädukt 1x5 Lang,-
Knatte.Aqueduct_P.Description,Aquädukt mit einer Wand auf beiden Seiten. Hält auch das Wasser am Boden zurück.,-
Knatte.Aqueduct_P.FlavorDescription,Zu füllen,-
Knatte.Aqueduct_Corner.DisplayName,Aquädukt-Ecke,-
Knatte.Aqueduct_Corner.Description,"Aquadukt mit Wand auf zwei Seiten, um eine Ecke zu schaffen. Hält auch das Wasser am Boden auf.",-
Knatte.Aqueduct_Corner.FlavorDescription,Wasser GEHEN links,-
Knatte.Aqueduct_Lid_1X.DisplayName,Aquäduktdeckel,-
Knatte.Aqueduct_Lid_5X.DisplayName,Aquäduktdeckel 5 lang,-
Knatte.Aqueduct_Lid.Description,"Fügt einen Deckel hinzu, der verhindert, dass Wasser entweicht.",-
Knatte.Aqueduct_Lid.FlavorDescription,Ist es schon ein Rohr?,-
Knatte.Aqueduct_Wall.DisplayName,Aquädukt-Wand-Dummy,-
