ID,Text,Comment
LV.TIMod.SwapBuildFinishedModifier,Tausche Bau Abschließen Modifikator,-
LV.TIMod.SwapBuildFinishedModifierDesc,"Wenn der Entwicklermodus aktiviert ist, wird das automatische Beenden des Bauens beim Platzieren eines Gebäudes mit gedrückter Strg-Taste das Gebäude normal zur Konstruktion platzieren.",-
LV.TIMod.NoClearDevFilter,Den Dev-Mode-Filter nicht löschen.,-
LV.TIMod.NoClearDevFilterDesc,"Das Dev-Modus-Filter nicht löschen, wenn man eines davon aufruft oder sie zu den Favoriten hinzufügt/entfernt.",-
Modding.ThumbnailInfo,"Klicken Sie auf Aktualisieren, um ein Mod-Thumbnail auszuwählen, wenn die Option ""Thumbnail für Upload auswählen"" aktiviert ist.",-
LV.TIMod.PickThumbnail,Thumbnail hochladen auswählen,-
LV.TIMod.PickThumbnailDesc,Wählen Sie ein Miniaturbild für Ihren Upload anstelle von thumbnail.png.,-
LV.TIMod.OpenExternalBrowser,Immer externen Browser öffnen,-
LV.TIMod.OpenExternalBrowserDesc,Immer mit dem externen Browser anstelle des Steam-Overlay-Browsers öffnen.,-
LV.TIMod.DevModeOnDefault,Entwicklermodus beim Laden aktivieren,-
LV.TIMod.DevModeOnDefaultDesc,Aktivieren Sie den Entwicklermodus standardmäßig beim Laden des Spiels.,-
LV.TIMod.BetterResetLoadOrder,Bessere Mod-Organisation,-
LV.TIMod.BetterResetLoadOrderDesc,"Verschieben nach oben verschiebt das Mod nach oben, aber unterhalb seiner Abhängigkeiten. Die Ladeordnung zurücksetzen sortiert Mods nach Aktivierung, Name und bringt ihre Abhängigkeiten direkt nach oben. Aktivierte Mods werden zuerst beim Hochladen angezeigt.",-
LV.TIMod.NoExitSave,Kein Ausgang speichern,-
LV.TIMod.NoExitSaveDesc,Das Spiel beim Verlassen nicht speichern.,-
LV.TIMod.QuickQuit,Aktivieren Sie Schnell-/Zwangsbeenden [Strg Umschalt Q][!],-
LV.TIMod.QuickQuitDesc,"Aktivieren Sie das schnelle Beenden beim Drücken von [Strg Shift Q]. Diese Option verwendet Process.Kill(), sodass keine Speicherung vorgenommen wird.",-
LV.TIMod.QuickRestart,Schnellneustart aktivieren [Strg Umschalt R][!],-
LV.TIMod.QuickRestartDesc,"Aktivieren Sie den Schnellneustart beim Drücken von [Strg Umschalt R]. Diese Option verwendet Process.Kill(), sodass keine Speicherung vorgenommen wird.",-
