ID,Text,Comment
LV.SP.Title,Wissenschaftliche Projekte,-
LV.SP.Welcome,"Vielen Dank, dass Sie das Scientific Projects-Modul verwenden. Dieser Bildschirm ist der Ort, an dem Sie die Projekte freischalten und verwalten können. Sie können ihn öffnen, indem Sie auf die Wissenschafts-Schaltfläche oben links auf dem Bildschirm klicken oder eine Tastenkombination drücken (Standard: Y, Sie können es in den Tasteneinstellungen neu belegen).",-
KeyBinding.ScientificProjectDialog,Wissenschaftliche Projekte Bildschirm,-
LV.SP.Unlocked,Freigeschaltet!,-
LV.SP.PreqLocked,"Erfordert {0}, um freizuschalten.",-
LV.SP.NotEnoughScienceNextDay,"Sie haben nicht genügend Wissenschaft, um für den nächsten Tag zu bezahlen. Passen Sie Ihre Projekte an oder überspringen Sie den heutigen Tag. Warnung: Wenn Sie die Esc-Taste drücken, werden die Projekte für heute übersprungen.",-
LV.SP.CurrentScience,Aktuelle Wissenschaft: {0},-
LV.SP.CurrentSciencePlus,Aktuelle Wissenschaft: {0} ({1} von gestern),-
LV.SP.UnlockErrUnlocked,Dieses Projekt ist bereits entsperrt.,-
LV.SP.UnlockErrRequirementLocked,"Dieses Projekt erfordert {0}, um entsperrt zu werden.",-
LV.SP.UnlockErrCostLocked,"Du hast nur {0} Wissenschaft, aber du benötigst {1} Wissenschaft, um dieses Projekt freizuschalten.",-
LV.SP.UnlockConfirm,"Sind Sie sicher, dass Sie {0} mit {1} Wissenschaft freischalten möchten?",-
LV.SP.CustomCost,Kosten pro Tag:,-
LV.SP.ScienceStepCost,{0} pro Level,-
LV.SP.CurrentCost,Kosten für den nächsten Tag: {0}/d,-
LV.SP.Level,Stufe,-
LV.SP.ActiveLevel,Aktives Level: {0},-
LV.SP.DayCostNotice,"Die täglichen Wissenschaftskosten werden zu Beginn jedes Tages abgezogen, und die Auswirkungen bleiben den gesamten Tag über gleich.",-
LV.SP.NextDayCost,Kosten für den nächsten Tag: {0},-
LV.SP.PayDayCost,Zahlung für den Tag,-
