ID,Text,Comment
LV.T4UI.ScrollableEntityPanel,Scrollbares Entitätspanel,-
LV.T4UI.ScrollableEntityPanelDesc,"Fügen Sie eine Bildlaufleiste zum Entitätenbereich (dem Bereich auf der rechten Seite) hinzu. Nützlich, wenn Sie viele Mods haben, die dort Inhalte hinzufügen.",-
LV.T4UI.RemovePathHighlight,Pfadmarkierung entfernen,-
LV.T4UI.RemovePathHighlightDesc,"Wege werden nicht mehr hervorgehoben, wenn Sie ein Gebäude auswählen. Sie können sie jedoch weiterhin sehen, wenn Sie einen Weg auswählen.",-
LV.T4UI.ToolDescPos,Werkzeugbeschreibungsstandort,-
LV.T4UI.ToolDescPosDesc,"Wählen Sie einen Standort für das Tool-Beschreibungsfeld (das in der Mitte, wenn Sie bauen). Spielstandard: Mitte.",-
LV.T4UI.ToolDescPosLeft,Links,-
LV.T4UI.ToolDescPosCenter,Zentrum,-
LV.T4UI.ToolDescPosRight,Rechts,-
LV.T4UI.AutoExpandCounter,Automatisch erweiterbare Materialzähler,-
LV.T4UI.AutoExpandCounterDesc,"Schließe alle Materialzähler (oben links) beim Start.  
Erweitere automatisch jeden geschlossenen Zähler, wenn du darüber fährst.",-
LV.T4UI.NeverHideCounter,Nie entsperrte Zähler verbergen,-
LV.T4UI.NeverHideCounterDesc,"Verstecke niemals die Zähler für freigeschaltete Materialien, selbst wenn du 0 von diesem Material hast.",-
LV.T4UI.HighlightSimilar,Heben Sie ähnliche Objekte hervor.,-
LV.T4UI.HighlightSimilarDesc,"Wenn Sie ein Objekt auswählen, werden alle Objekte desselben Typs hervorgehoben.",-
LV.T4UI.HighlightSimilarColor,Ähnliche Objekte farblich hervorheben,-
LV.T4UI.HighlightSimilarColorDesc,Farbe der Hervorhebung für ähnliche Objekte.,-
LV.T4UI.HighlightTubeway,Heben Sie den U-Bahn-Weg hervor.,-
LV.T4UI.HighlightTubewayDesc,"Heben Sie alle verbundenen Röhrenwege hervor, wenn Sie einen Röhrenweg auswählen. Dies ist nützlich, um den gesamten Verlauf eines Röhrenwegs zu sehen, wenn Sie ihn auswählen.",-
LV.T4UI.HighlightStorage,Hervorheben & Auswählen von Materialgebäuden,-
LV.T4UI.HighlightStorageDesc,"Fahre mit der Maus über einen Materialzähler, um alle Gebäude hervorzuheben, die dieses Material enthalten. Ein Klick darauf wechselt zwischen diesen Gebäuden. Halte die Alt-Taste (Standard: Shift) gedrückt, um nur in dem ausgewählten Bezirk durch sie zu wechseln.",-
LV.T4UI.DisableShadows,Schatten deaktivieren,-
LV.T4UI.DisableShadowsDesc,Deaktiviere Schatten von der Sonne.,-
