ID,Text,Comment
LV.HNT.Title,Hue & Turn,-
LV.HNT.Reset,Reset,-
LV.HNT.KeybindingCopy,Copy Hue & Turn,-
LV.HNT.KeybindingPaste,Paste Hue & Turn,-
LV.HNT.Color,Color,-
LV.HNT.FluidColor,Fluid Color,-
LV.HNT.Rotation,Rotation,-
LV.HNT.RotationPivot,Rotation Pivot,-
LV.HNT.Advanced,Toggle Advanced options,-
LV.HNT.Translate,Please provide the text you would like me to translate.,-
LV.HNT.ToAll,To all {0}:,-
LV.HNT.AllConfirm,Are you sure?,-
LV.HNT.ColorAll,Use this color.,-
LV.HNT.ApplyAll,Use these settings.,-
LV.HNT.RotateRandomAll,Randomize rotation,-
LV.HNT.ResetAll,Reset,-
LV.HNT.Scale,Scale,-
LV.HNT.RotationX,Rotation X,-
LV.HNT.RotationZ,Rotation Z,-
LV.HNT.Positioning,Positioning,-
LV.HNT.Transparency,Transparency,-
