ID,Text,Comment
Tobbert.TrackStraight.DisplayName,Straight Train Track,-
Tobbert.TrackStraight.Description,A track piece that goes straight. It can be changed to a one-way signal using the toggle when clicked on. It creates a track section between one-way tracks that allows a single train to be on it (indicated by the colors).,-
Tobbert.TrackStraight.FlavorDescription,Choo! Choo!,-
Tobbert.TrackOneWay.DisplayName,One way signal track,-
Tobbert.TrackOneWay.Description,Will inform trains that they can only pass through the green side. It can be switched back to a straight track by using the toggle when clicking on it. Creates a track section between one-ways that allows a single train to be on it (indicated by the colors).,-
Tobbert.TrackOneWay.FlavorDescription,You... Shall... Pass...,-
Tobbert.TrackCrossing.DisplayName,Train Track Crossing,-
Tobbert.TrackCrossing.Description,Beavers can cross the tracks here. Collision will not be implemented as performance will suffer too much.,-
Tobbert.TrackCrossing.FlavorDescription,That train is approaching very fast.,-
Tobbert.TrackHillStart.DisplayName,Slope Track,-
Tobbert.TrackHillStart.Description,A track that allows trains to ascend and descend.,-
Tobbert.TrackHillStart.FlavorDescription,Is the train not too heavy?,-
Tobbert.TrackCorner1x1.DisplayName,Corner 1x1 Train Track,-
Tobbert.TrackCorner1x1.Description,A track piece that goes around a corner.,-
Tobbert.TrackCorner1x1.FlavorDescription,It might be a little tight.,-
Tobbert.TrackCorner2x2.DisplayName,Corner 2x2 Train Track,-
Tobbert.TrackCorner2x2.Description,A track piece that goes around a larger corner.,-
Tobbert.TrackCorner2x2.FlavorDescription,What a nice looking curve.,-
Tobbert.TrackTIntersection1x1.DisplayName,T intersection Train Track 1x1,-
Tobbert.TrackTIntersection1x1.Description,A T-shaped intersection for trains.,-
Tobbert.TrackTIntersection1x1.FlavorDescription,Which way should I go?,-
Tobbert.TrackTIntersection2x3.DisplayName,T intersection Train Track 2x3,-
Tobbert.TrackTIntersection2x3.Description,A T-shaped intersection for trains.,-
Tobbert.TrackTIntersection2x3.FlavorDescription,Where will those paths lead to?,-
Tobbert.TrackXIntersection1x1.DisplayName,X intersection Train Track 1x1,-
Tobbert.TrackXIntersection1x1.Description,A railroad crossing in the shape of an X for trains.,-
Tobbert.TrackXIntersection1x1.FlavorDescription,So many options!,-
Tobbert.TrackXIntersection3x3.DisplayName,X intersection Train Track 3x3,-
Tobbert.TrackXIntersection3x3.Description,A railroad crossing in the shape of an X.,-
Tobbert.TrackXIntersection3x3.FlavorDescription,I just cannot choose where to go...,-
Tobbert.TrackRIntersection2x3.DisplayName,Switch Train Track 2x3,-
Tobbert.TrackRIntersection2x3.Description,A switch in the form of an R for trains.,-
Tobbert.TrackRIntersection2x3.FlavorDescription,Where are we going?,-
Tobbert.GoodsStation.DisplayName,Goods station,-
Tobbert.GoodsStation.Description,Allows for the transportation of goods by trains. A good can either be sent or received at a station. Goods received will only be moved to storages that are set to obtain.,-
Tobbert.GoodsStation.FlavorDescription,Look at all the goods it can hold.,-
Tobbert.PassengerStation.DisplayName,Passenger station,-
Tobbert.PassengerStation.Description,This station allows beavers to get on the train and travel to another station that is connected to it.,-
Tobbert.PassengerStation.FlavorDescription,Beaver train!,-
Tobbert.PassengerStation.DistrictObjectToggle,Goes across districts:,-
Tobbert.PassengerStation.DistrictObject,"When enabled, it will ONLY allow beavers to access passenger stations that have this setting enabled and are located in other districts.",-
Tobbert.PassengerStation.EmptyStation,There are currently no passengers waiting.,-
Tobbert.WaitingStation.DisplayName,Waiting Station,-
Tobbert.WaitingStation.Description,"Trains can wait here when they have nothing to do. This prevents trains from occupying the tracks. Trains cannot pathfind over this, so make sure it's not in any crucial paths.",-
Tobbert.WaitingStation.FlavorDescription,When can I go again?,-
Tobbert.TrainYard.DisplayName,Train Yard,-
Tobbert.TrainYard.Description,A building that creates trains.,-
Tobbert.TrainYard.FlavorDescription,This is where trains are born.,-
Tobbert.TrainYard.CostOfTrain,Cost of 1 train:,-
Tobbert.TrainYard.CreateTrain,Build train,-
Tobbert.Train.PrefabName,Train,-
Tobbert.Wagon.PrefabName,Wagon,-
Tobbert.TrainModel.TrainModel,Train Model:,-
Tobbert.TrainModel.SmallLog,Small Log,-
Tobbert.TrainModel.BigWooden,Big Wooden,-
Tobbert.WagonModel.WagonModel,Wagon Model:,-
Tobbert.WagonModel.BoxWagon,Box Wagon,-
Tobbert.WagonModel.TankWagon,Tank Wagon,-
Tobbert.WagonModel.FlatWagon,Flat Wagon,-
Tobbert.WagonModel.FlipperWagon,Gondola Wagon,-
Tobbert.WagonModel.MetalCart,Metal Cart,-
Tobbert.WagonModel.PassengerWagon,Passenger Car,-
Tobbert.BatchControl.Trains,Trains,-
Tobbert.Train.Length,Train Length:,-
Tobbert.Train.Destroy,Are you sure you want to destroy this train?,-
Tobbert.GoodsStation.Distribution.Header,Distributed goods,-
Tobbert.GoodsStation.Distribution.Disabled.Info,Distribution disabled by distribution settings.,-
Tobbert.GoodsStation.Distribution.Sending.Info,Distribution configured for sending according to distribution settings.,-
Tobbert.GoodsStation.Distribution.Receiving.Info,Distribution set to receiving by distribution settings.,-
Tobbert.BatchControl.GoodsStation,Goods stations,-
Tobbert.BatchControl.DistributionDisabledAll,Disable all distribution,-
Tobbert.BatchControl.DistributionDisabled,Distribution disabled,-
Tobbert.BatchControl.DistributionDisabled.Description,Completely disable the distribution of this product at this station.,-
Tobbert.BatchControl.DistributionSendingAll,Allow sending of all goods,-
Tobbert.BatchControl.DistributionSending,Allow sending,-
Tobbert.BatchControl.DistributionSending.Description,The station can send this good to another station. The maximum amount that can be inside the station is determined by the amount on the right.,-
Tobbert.BatchControl.DistributionReceivingAll,Allow receiving of all goods,-
Tobbert.BatchControl.DistributionReceiving,Allow receiving,-
Tobbert.BatchControl.DistributionReceiving.Description,The station can receive goods that are sent from other stations. The maximum amount that can be inside the station is determined by the amount to the right.,-
Tobbert.BatchControl.DecreaseMaximum,Decrease maximum quantity of goods,-
Tobbert.BatchControl.DecreaseMaximum.Description,Decrease the maximum amount that can be inside the station. A click is -1 and holding shift is -10. The maximum capacity is 200.,-
Tobbert.BatchControl.IncreaseMaximum,Increase the maximum amount of goods.,-
Tobbert.BatchControl.IncreaseMaximum.Description,Increase the maximum amount that can be inside the station. Click is +1 and holding shift is +10. Max capacity is 200.,-
Tobbert.TrackSystem.ToggleSectionDivider,Divides sections:,-
Tobbert.TrackSystem.ButtonChangeDirection,Change direction,-
Tobbert.TrackSystem.CollidingSectionDividers,Cannot connect 2 section dividers.,-
Tobbert.ToolGroup.Trains,Trains,-
Tobbert.TrainYard.PreviewErrorMessage,Only 1 Train Yard can be built.,-
Tobbert.Trains.UnlockPrompt,You need to unlock {0} to build {1}.,-
Tobbert.DistributionTrain.MinimumOfItemsToMove,Minimum of items to move:,-
Tobbert.TrainNavigation.Unstuck,Turn Around,-
Tobbert.TrainNavigation.NoWaitingStation,No available Waiting Station found.,-
Tobbert.TrainNavigation.NoWaitingStationShort,No Waiting Station,-
Tobbert.TrainDestination.UnconnectedWarning,The station is not connected to any other station.,-
Tobbert.TrainDestination.UnconnectedWarningShort,Unconnected station,-
Tobbert.ChooChooSettings.Header,Choo! Choo!,-
Tobbert.ChooChooSettings.DefaultTrainModel,Default Train model:,-
Tobbert.ChooChooSettings.DefaultWagonModel,Default Wagon model:,-
Tobbert.ChooChoo.KeyBindingGroup.ChooChoo,Choo! Choo!,-
Tobbert.ChooChoo.KeyBinding.GoodsStationDistributionControlTab,Open Goods Stations tab,-
