ID,Text,Comment
KnatteTobbert.MetalStaircase.DisplayName,Escaliers en métal,-
KnatteTobbert.MetalStaircase.Description,Une meilleure escalier en métal.,-
KnatteTobbert.MetalStaircase.FlavorDiscription,J'espère que ça ne rouillera pas.,-
KnatteTobbert.MetalStaircaseNeed.DisplaynameLocKey,Escalier en métal,-
KnatteTobbert.MetalSpiralStaircase.DisplayName,Escalier en métal en spirale,-
KnatteTobbert.MetalSpiralStaircase.Description,Un meilleur escalier en colimaçon en métal.,-
KnatteTobbert.MetalSpiralStaircase.FlavorDiscription,"""Escalier vers le ciel"" - Stone Cold Jane Austen",-
KnatteTobbert.Staircases.DisplayName,Escaliers,-
KnatteTobbert.Platforms.DisplayName,Plateformes,-
KnatteTobbert.SpiralStaircase.DisplayName,Escalier en spirale,-
KnatteTobbert.SpiralStaircase.FlavorDiscription,"""Escalier vers le paradis"" - Stone Cold Jane Austen",-
KnatteTobbert.StaircaseLog.DisplayName,Escalier,-
KnatteTobbert.StaircaseLog.FlavorDiscription,C'est un gros tronc au milieu.,-
Knatte.Pillar.DisplayName,Pilier,-
Knatte.Pillar.Description,Laissez-le s'élever,-
Knatte.Pillar.FlavorDescription,"""Réservons un endroit !"" - Castor industriel",-
Knatte.Pillars.DisplayName,Piliers avec support,-
Knatte.Pillars.Description,Laisse-le s'élever,-
Knatte.Pillars.FlavorDescription,"""Réservons un endroit !"" - Castor travailleur",-
Knatte.Pillar_1.DisplayName,Poteau de jambe ,-
Knatte.Pillar_2.DisplayName,Piliers à 2 jambes,-
Knatte.Pillar_3.DisplayName,Piliers à 3 pieds,-
Knatte.Pillar_4.DisplayName,Poteau à 4 pieds,-
Knatte.Pillar_X.Description,Piliers permettant d'obtenir des looks personnalisés. Peut être combiné avec l'escalier pour les cacher tout en étant empilable.,-
Knatte.Pillar_X.FlavorDescription,"""Réservons un endroit !"" - Castor travailleur",-
Knatte.StaircasePillar.DisplayName,Pilier d'escalier,-
Knatte.StaircasePillar.Description,Piliers à utiliser avec l'escalier pour obtenir un joli pilier.,-
Knatte.StaircasePillar.FlavorDescription,"""Réservons un endroit !"" - Castor diligent",-
Knatte.PillarTop.DisplayName,Sommet de pilier,-
Knatte.PillarTop.Description,Partie supérieure pour piliers personnalisés ou pièces de décoration. Peuvent être combinés avec des escaliers pour les cacher tout en étant empilables.,-
Knatte.StaircasePlatform.DisplayName,Plateforme 2x2,-
Knatte.StaircasePlatform.Description,Plateforme avec une grosse bûche au milieu.,-
Knatte.StaircasePlatform.FlavorDescription,"""Réservons un endroit !"" - Castor diligent",-
Knatte.CategoryPaths2.DisplayName,Sentiers 2,-
