ID,Text,Comment
Cordial.Good.Fertilizer.DisplayName,Engrais pour arbres,-
Cordial.Good.Fertilizer.PluralDisplayName,Engrais pour arbres,-
Cordial.Fertilizer.Mild,Engrais pour arbres,-
Cordial.Fertilizer.Strong,Fertilisant pour arbres,-
Cordial.Building.Chemist.Description,Prépare des concoctions chimiques.,-
Cordial.Building.Chemist.DisplayName,Chimiste,-
Cordial.Building.Chemist.FlavorDescription,L'appareil fantastique à l'intérieur est utilisé strictement à des fins scientifiques.,-
Cordial.Building.FertilizerDump.Description,Distribue des engrais aux arbres plantés.,-
Cordial.Building.FertilizerDump.DisplayName,Décharge d'engrais,-
Cordial.Building.FertilizerDump.FlavorDescription,Les engrais pour arbres améliorent la croissance et le rendement.,-
Cordial.Building.FertilizerDump.Consumption,Consommation d'engrais,-
Cordial.Building.FertilizerDump.TreeCount,Arbres affectés,-
Cordial.Building.FertilizerDump.FertilizeYield,Appliquez de l'engrais aux récoltes d'arbres.,-
Cordial.TreeFragment.Title,La croissance est influencée par les engrais.,-
Cordial.TreeFragment.GrowthDaily,La croissance quotidienne a augmenté de,-
Cordial.TreeFragment.GrowthAverage,La croissance moyenne a diminué de,-
Cordial.TreeFragment.YieldAverage,La croissance du rendement moyen a diminué de,-
Cordial.Unit.Days,jours,-
Cordial.Unit.PerHour,/h,-
