ID,Text,Comment
Knatte.ToolGroup.DecorationBlocks,Blocs de décoration,-
Knatte.DE_RMCorner.DisplayName,Coin en métal décoratif,-
Knatte.DE_RMCorner.Description,Que le barrage en métal nervuré soit angulaire.,-
Knatte.DE_RMCorner.FlavorDescription,Ne bloque pas l'eau.,-
//,Error,-
Knatte.DE_RMSQCorner.DisplayName,Coin d'angle en métal décoratif,-
Knatte.DE_RMSQCorner.Description,Laissez le Barrage en Métal Ondulé être Coincé.,-
Knatte.DE_RMSQCorner.FlavorDescription,Ne bloque pas l'eau.,-
Knatte.DE_RMDiagonal.DisplayName,Décoration métallique diagonale,-
Knatte.DE_RMDiagonal.Description,Laissez le barrage en métal nervuré aller sur le côté.,-
Knatte.DE_RMDiagonal.FlavorDescription,Ne bloque pas l'eau.,-
Knatte.DE_RMDiagonalW.DisplayName,Laissez Diagonal,-
Knatte.DE_RMDiagonalW.Description,Laissez le barrage en métal nervuré aller sur le côté.,-
Knatte.DE_RMDiagonalW.FlavorDescription,L'eau ne passera pas.,-
Knatte.DE_RMInvCorner.DisplayName,Coin de métal décoratif intérieur,-
Knatte.DE_RMInvCorner.Description,Laissez le barrage en métal nervuré être angulaire.,-
Knatte.DE_RMInvCorner.FlavorDescription,Ne bloque pas l'eau.,-
Knatte.DE_RMInvCornerW.DisplayName,Coin Interne Leeve,-
Knatte.DE_RMInvCornerW.Description,Laissez le barrage en métal nervuré être d'angle.,-
Knatte.DE_RMInvCornerW.FlavorDescription,L'eau ne passera pas,-
Knatte.DE_RMSlope.DisplayName,Pente Métallique de Décoration,-
Knatte.DE_RMSlope.Description,Laissez le barrage en métal ondulé être incliné.,-
Knatte.DE_RMSlope.FlavorDescription,Ne bloque pas l'eau.,-
Knatte.DE_RMCornerSlope.DisplayName,Coin de pente en métal décoratif,-
Knatte.DE_RMCornerSlope.Description,Laissez le barrage en métal nervuré être angulé.,-
Knatte.DE_RMCornerSlope.FlavorDescription,Ne bloque pas l'eau,-
Knatte.DE_RMSquare.DisplayName,Cube décoratif en métal,-
Knatte.DE_RMSquare.Description,Dam la boîte en métal nervuré,-
Knatte.DE_RMSquare.FlavorDescription,Ne bloque pas l'eau.,-
