ID,Text,Comment
LV.MRe.ResizeMap,Redimensionner la carte,-
LV.MRe.Size0,Largeur (X),-
LV.MRe.Size1,Largeur (Y),-
LV.MRe.Size2,Hauteur maximale du terrain (Z1),-
LV.MRe.Size3,Altitude maximale au-dessus du sol (Z1+),-
LV.MRe.Resize,Redimensionner,-
LV.MRe.ExandStrat,Stratégie d'expansion,-
LV.MRe.ExandStratCopy,Bord copié,-
LV.MRe.ExandStratMirror,Miroir,-
LV.MRe.OfferToLoad,Carte redimensionnée enregistrée. Voulez-vous charger cette sauvegarde ? Remarque : continuer cette session entraînera probablement un crash du jeu de toute façon.,-
LV.MRe.ResizeInvalidObj,Il y a des objets en dehors de la carte après l'avoir réduite. Supprimez tous ces objets avant de réduire pour éviter un plantage ?,-
LV.MRe.AutoRemove,Enlevez-les tous.,-
LV.MRe.SaveWarning,<RedHighlight>Souvenez-vous de sauvegarder votre partie avant de redimensionner la carte ! Cette session de jeu risque de ne plus fonctionner après le redimensionnement. Vous devriez également mettre le jeu en pause avant d'utiliser cela.</RedHighlight>,-
