ID,Text,Comment
argargablar.TimberLapse.ModName,TimberLapse,-
argargablar.TimberLapse.Settings.Menu,Paramètres de TimberLapse,-
argargablar.TimberLapse.OutputDir,Répertoire de sortie,-
argargablar.TimberLapse.OutputFormat,Format de sortie,-
argargablar.TimberLapse.Resolution,Résolution de sortie,-
argargablar.TimberLapse.UseCustomResolution,Utiliser une résolution personnalisée,-
argargablar.TimberLapse.CustomResWidth,Largeur personnalisée,-
argargablar.TimberLapse.CustomResHeight,Hauteur personnalisée,-
argargablar.TimberLapse.Verbose,Journalisation verbeuse,-
argargablar.TimberLapse.Frequency,Fréquence du time-lapse,-
argargablar.TimberLapse.Frequency.1h,1 Heure,-
argargablar.TimberLapse.Frequency.2h,2 heures,-
argargablar.TimberLapse.Frequency.4h,4 heures,-
argargablar.TimberLapse.Frequency.6h,6 heures,-
argargablar.TimberLapse.Frequency.8h,8 heures,-
argargablar.TimberLapse.Frequency.hd,12 Heures,-
argargablar.TimberLapse.Frequency.1d,1 jour,-
argargablar.TimberLapse.Frequency.2d,2 Jours,-
argargablar.TimberLapse.Frequency.es,Chaque saison,-
argargablar.TimberLapse.Frequency.ec,Chaque cycle,-
argargablar.TimberLapse.DefaultCamera,Ma caméra,-
argargablar.TimberLapse.Enable,Activer TimberLapse,-
argargablar.TimberLapse.SetCameras,Installer des caméras,-
argargablar.TimberLapse.ManualScreenshot,Capture d'écran,-
argargablar.TimberLapse.ManualScreenshotTip,Prenez une capture d'écran manuelle avec la caméra sélectionnée.,-
argargablar.TimberLapse.OpenSettings,Paramètres,-
argargablar.TimberLapse.QuickNotif.Success,Capture d'écran effectuée,-
argargablar.TimberLapse.QuickNotif.Failure,Échec de la capture d'écran,-
argargablar.TimberLapse.ModSettingBox,Plus de paramètres,-
argargablar.TimberLapse.CameraConfig.Header,Caméras TimberLapse,-
argargablar.TimberLapse.CameraConfig.Rename,Renommer,-
argargablar.TimberLapse.CameraConfig.RenameTip,Renommez la caméra sélectionnée.,-
argargablar.TimberLapse.CameraConfig.SetView,Configurer la caméra,-
argargablar.TimberLapse.CameraConfig.SetViewTip,Définissez la caméra sélectionnée sur la vue du joueur.,-
argargablar.TimberLapse.CameraConfig.CheckView,Vue caméra,-
argargablar.TimberLapse.CameraConfig.CheckViewTip,Déplacez la caméra du jeu vers la vue enregistrée de la caméra sélectionnée.,-
argargablar.TimberLapse.CameraConfig.AddCameraTip,Ajouter une nouvelle caméra,-
argargablar.TimberLapse.CameraConfig.RemoveCameraTip,Supprimez l'appareil photo sélectionné.,-
argargablar.TimberLapse.CameraFoV,Champ de vision,-
argargablar.TimberLapse.CameraFreeMode,Mode Caméra Libre : ACTIVÉ || Brouillard : DÉSACTIVÉ,-
argargablar.TimberLapse.KeyBinding.AllManual,Capture d'écran (Toutes les caméras),-
