ID,Text,Comment
LV.OB.KeyBindingOpen,Omnibar : Ouvrir,-
LV.OB.KeyBindingUp,Omnibar : Monter,-
LV.OB.KeyBindingDown,Omnibar : Descendre,-
LV.OB.KeyBindingOpenToDo,Omnibar : Gérer la liste de tâches,-
LV.OB.Cursor,Outil de curseur,-
LV.OB.TodoList,Liste de tâches,-
LV.OB.TodoListEmpty,Aucun accès,-
LV.OB.ManageTodo,Gérer,-
LV.OB.TodoListAdd,Ajouter nouveau,-
LV.OB.TodoListRemove,Retirer,-
LV.OB.TodoListCompleted,Terminé,-
LV.OB.TodoListCompletedNote,Cochez pour marquer cet élément comme terminé.,-
LV.OB.TodoListPinned,Épinglé,-
LV.OB.TodoListPinnedNote,Vérifiez pour afficher cet élément sur votre liste.,-
LV.OB.ClearCompleted,Terminé clair,-
LV.OB.NoItemSelected,Veuillez sélectionner une entrée.,-
LV.OB.RemoveConfirm,Êtes-vous sûr de vouloir supprimer cette entrée ?,-
LV.OB.ClearCompletedConfirm,Êtes-vous sûr de vouloir effacer les entrées complétées ?,-
LV.OB.NewEntryTitle,Sans titre,-
LV.OB.TodoTitle,Titre,-
LV.OB.TodoNote,Remarque,-
LV.OB.TodoTimer,Minuteur,-
LV.OB.TodoTimerReset,Réinitialiser le minuteur,-
LV.OB.TodoBuilding,Bâtiment,-
LV.OB.TodoBuildingQuantity,Quantité :,-
LV.OB.TodoBuildings,Bâtiments,-
LV.OB.TodoShowBuildingDetails,Afficher les détails du bâtiment,-
LV.OB.Total,Total,-
LV.OB.Delete,Supprimer,-
LV.OB.AddToTodoList,Créer une entrée de tâche,-
LV.OB.AppendToTodoList,Ajouter à l'entrée de tâche existante,-
LV.OB.CommandAddTodo,Ajouter à la liste de tâches,-
LV.OB.BatchControlDesc,Ouvrez la gestion des règlements {0},-
LV.OB.CommandDescManage,Ouvrir la gestion des établissements (par exemple /manage Housing),-
LV.OB.CommandDescMath,Calculatrice rapide dans le jeu (par exemple =1+2^3),-
LV.OB.CommandDescFind,"Trouvez un castor, un bot ou quoi que ce soit par nom. Peut être utilisé avec le mod ""More Naming"".",-
LV.OB.CommandDescTodo,Ajouter un élément à la liste de tâches. Syntaxe : {0} [{1}] [Titre de la tâche],-
