ID,Text,Comment
LV.HF.HydroFormaGroup,HydroForma™ Corp.,-
LV.HF.HydroFormaGroupDesc,Une méga-entreprise pionnière remodelant les paysages avec des merveilles de l'hydro-ingénierie à la pointe de la technologie.,-
LV.HF.DamUpgrade,Module de Contrôle de Pression,-
LV.HF.DamUpgradeEff,"Permet aux barrages d'être complètement fermés manuellement, arrêtant ainsi tout écoulement d'eau.",-
LV.HF.DamUpgradeLore,"Intégration transparente de la technologie FlowLock™ brevetée de HydroForma™, car le contrôle est essentiel.",-
LV.HF.LeveeUpgrade,Noyau de conduction électrique,-
LV.HF.LeveeUpgradeEff,Permet aux levées de transmettre de l'énergie.,-
LV.HF.LeveeUpgradeLore,"« Quelques barres de cuivre et beaucoup d'ingéniosité. Maintenant, le courant circule là où la rivière ne le peut pas. » — Wattson Longtooth",-
LV.HF.FloodgateUpgrade,Unité d'auto-régulation,-
LV.HF.FloodgateUpgradeEff,Ajuste automatiquement la hauteur du portail en fonction des conditions météorologiques.,-
LV.HF.FloodgateUpgradeLore,"On dirait automatique, mais c'est juste Snips Mudwhistle en garde avec un levier et un graphique.",-
LV.HF.SluiceUpgrade,Capteur au niveau de la source,-
LV.HF.SluiceUpgradeEff,Ouvre automatiquement la vanne en fonction du niveau d'eau en amont.,-
LV.HF.SluiceUpgradeLore,"Le bijou de la couronne de l'ingénierie HydroForma™ - car un vrai contrôle ne demande pas, il décide.",-
LV.HF.ImpermeableFloorUpgrade,Forfait de parrainage R&D™,-
LV.HF.ImpermeableFloorUpgradeEff,"<YellowHighlight>Actuellement, n'a aucun effet.</YellowHighlight> Les premiers soutiens débloquent cette amélioration à un coût scientifique réduit avant sa sortie future.",-
LV.HF.ImpermeableFloorUpgradeLore,"« Votre soutien ouvre la voie — littéralement. Les fonctionnalités finales sont susceptibles de changer. Aucun remboursement. Et oui, ""Sponsorship"" est une marque déposée. » — Département PR de HydroForma™",-
LV.HF.DirtExcavatorUpgrade,Système BurrowBot™,-
LV.HF.DirtExcavatorUpgradeEff,Réduit la main-d'œuvre nécessaire pour faire fonctionner ce bâtiment à seulement 1.,-
LV.HF.DirtExcavatorUpgradeLore,'J'ai remercié mon dernier pelleteur. La machine ne mâche jamais les bâtons au travail.' — Claye Broadtail,-
LV.HF.TerrainBlockUpgrade1,Cadre d'Ancrage Profond,-
LV.HF.TerrainBlockUpgradeEff,{0:+0} blocs de terrain non pris en charge maximum.,-
LV.HF.TerrainBlockUpgrade1Lore,"« Parfaitement sûr. Rigoureusement testé. Maintenant, veuillez signer cette décharge avant d'acheter. » — HydroForma™ Légal",-
LV.HF.TerrainBlockUpgrade2,Système d'extension de contrainte substratataire,-
LV.HF.TerrainBlockUpgrade2Lore,'Sans rapport avec l'incident du dernier cycle.' — Division de la confiance et de la transparence HydroForma™,-
LV.HF.BarrierUpgrade,Revêtement d'accès Surface™,-
LV.HF.BarrierUpgradeEff,Permet de construire des chemins sous les barrières de contamination et d'irrigation.,-
LV.HF.BarrierUpgradeLore,'SURFACE Access Coating ? Plus comme une sardine souterraine. <b>*Bonk*</b>' — Un visiteur malheureusement grand,-
LV.HF.StreamGaugeUpgrade,Array DepthSense™,-
LV.HF.StreamGaugeUpgradeEff,Les jauges de débit détectent désormais la profondeur de l'eau jusqu'au sol sous leur propre tuile et peuvent mesurer le volume.,-
LV.HF.StreamGaugeUpgradeLore,La technologie DepthSense™ de HydroForma™ voit sous la surface - aucune autorisation requise.,-
LV.HF.Closed,Fermé,-
LV.HF.DamSync,Synchroniser avec les barrages adjacents,-
LV.HF.FloodgateSetOnHaz,Définir la hauteur sur les conditions météorologiques dangereuses,-
LV.HF.FloodgateSetOnNewCycle,Définir la hauteur sur le nouveau cycle,-
LV.HF.SluiceOpenUpstream,Ouvrir la profondeur en amont ci-dessus :,-
LV.HF.SluiceUpstreamDepth,Profondeur en amont :,-
LV.HF.SGBottomDepth,Profondeur du sol : {0:0.00} m ({1:0.00} m par rapport à la base Z = {2}),-
LV.HF.SGMeasureVolume,Mesurer le volume :,-
LV.HF.SGMeasureVolumeFullCube,Utilisez une stratégie de mesure de réservoir.,-
LV.HF.SGMeasureVolumeResult,"Volume : {0:0.00}m³, compté à partir de {1} cubes il y a {2} jours",-
