ID,Text,Comment
Good.EcologicalPlank.PluralDisplayName,板を製造し、木くずを回収する,-
Good.Dust.PluralDisplayName,土を生産する,-
Grease.CriticalDescription,作業にはグリースが必要です。,-
Need.Grease.DeathMessage,グリース不足で錆びた,-
Building.NaturalOverhang1.Description,突き出た岩のプラットフォームで、橋や他の建物の基礎として機能することができます。,-
Building.NaturalOverhang12.Description,他の建物の基礎として機能する突き出た岩。水漏れを防ぎます。,-
Building.NaturalOverhang1x11.DisplayName,石の壁 1x1,-
Building.NaturalOverhang2x11.DisplayName,石の張り出し 2x1,-
Building.NaturalOverhang3x11.DisplayName,ストーンオーバーハング 3x1,-
Building.NaturalOverhang4x11.DisplayName,ストーンオーバーハング 4x1,-
Building.LumberMill.ToggleLabel,レシピ：,-
