ID,Text,Comment
MapMakerPlants.GiantSequoia.DisplayName,3x3ジャイアントセコイア,-
MapMakerPlants.2X2treePlaceholder1.DisplayName,2x2の木,-
MapMakerPlants.Brambles.DisplayName,イバラ,-
MapMakerPlants.NewVineV.DisplayName,ツタ（縦）,-
MapMakerPlants.NewVineH.DisplayName,つる植物（水平）,-
MapMakerPlants.Waterbamboo.DisplayName,2x2 W.バンブー,-
MapMakerPlants.Baobab.DisplayName,5x5 バオバブ,-
MapMakerPlants.LemonTree.DisplayName,レモンツリー,-
MapMakerPlants.PinkBirch.DisplayName,エバー ブロッサム,-
MapMakerPlants.RuinedPath.DisplayName,壊れた道,-
MapMakerPlants.BrokenHouse.DisplayName,壊れた家（丸太）,-
MapMakerPlants.PlankRuin.DisplayName,壊れた家（板）,-
NaturalResource.PinkBirch.DisplayName,エバーブロッサム,-
Good.Pumpkin.DisplayName,かぼちゃ,-
NaturalResource.Waterbamboo.DisplayName,信じられないほど高い竹,-
Lapantouflemagic.NewVineH.DisplayName,ブドウのつる,-
MapMakerPlants.CrystalSupport.Description,"Zレベル1以上に浮遊クリスタルを配置するために必要なサポート。
自己スタッカブル
プレイ中は不可視で、ヒットボックスはありません。",-
MapMakerPlants.CrystalSupport.DisplayName,クリスタルサポート,-
MPME.FloatingRock.DisplayName,浮遊するクリスタル,-
MPME.FloatingRock.Description,空の島を支える浮遊物は、理解できない理由で何かに頼る必要があり、その支えを使用してください。,-
MPME.FloatingRock.FlavorDescription,"「それはどう機能するの？」  
ああ？ああ、今？何年も経った後で？何度もゲームを重ねた後で？今になって私にそれがどう機能するのか尋ねるの？",-
MapMakerPlants.GearsRuin.DisplayName,壊れた建物（ギア）,-
Building.SkyBadwaterSource.DisplayName,スカイ バッドウォーター ソース,-
Building.SkyWaterSource.DisplayName,空の水源,-
Building.VoidSinkHole.DisplayName,シンクホールスカイブロック,-
Building.VoidSinkHole.Description,"それの下の地面を視覚的に消去します。  
島から落ちる水を消去するネガティブな水源として機能します。  
ゲーム内では旗は表示されません。",-
MapMakerPlants.VoidTile.DisplayName,スカイブロック,-
MapMakerPlants.VoidTile.Description,視覚的にその下の地面を消去します。水が見えることなど決して想像しない場所のために。,-
MapMakerPlants.VoidTileLarge.DisplayName,スカイブロック 9x9,-
