ID,Text,Comment
Good.Stew.PluralDisplayName,シチュー,-
Faction.waterbeavers.DisplayName,ホワイトパウズ,-
Faction.waterbeavers.Description,"真のビーバー道の信者たちにとって、すべてが家です。彼らの人口はしばしば制御不能に膨れ上がり、食糧と水は尽き、科学は贅沢品となり、あなたの敗北は避けられません。

他の派閥が教えたことを忘れ、あなたの最もピンクな悪夢へようこそ。
<color=red>ビルボードを必ずチェックしてください！</color>

<color=black>ビーバーのアートとテクスチャはWolfessによるもので、大いに感謝します！多くのアイコンはThorlakによるもので、こちらにも大いに感謝します！</color>",-
trashdump.DisplayName,壊れた探検用カート,-
trashdump.Description,あなたの最初の地区センター、そう呼べるならば。より良いタウンセンターを建設した後でのみ解体してください。,-
trashdump.FlavorDescription,"「これ以上進むことはできませんが、ここに留まることはできます」  
-探検隊の隊長",-
Luc.Primitivemine.DisplayName,原始採掘,-
Luc.Primitivemine.Description,"鉱物資源を得るための小さくて非効率な方法  
<color=green>地下2レベルを目指す必要があります</color>",-
Luc.Primitivemine.FlavorDescription,ビーバーは岩を掘るために生まれたわけではありません。,-
Lapantouflemagic.Mediummine.DisplayName,中型鉱山,-
Lapantouflemagic.Mediummine.Description,"より大きく深い鉱山は、より豊かな鉱床を利用できるだけでなく、希少な元素にもアクセスできます。
愚かな小さな子供が転落して怪我をしないように、アクセス階段と障壁が付いています。
<color=green>4深さの穴に設置する必要があります！
鉱山とフェンスは堅固な地面に置かなければなりません！
土の部分に階段を置き、アクセスランプを完成させてください</color>",-
Lapantouflemagic.Mediummine.FlavorDescription,"「私は幽霊やモンスターを信じていません。そもそもグルーとは何なんでしょうか？」 
 - マイナー・ゾーク、最後の言葉",-
Lapantouflemagic.Primitivesmetler.DisplayName,原始溶鉱炉,-
Lapantouflemagic.Primitivesmetler.Description,鉄鉱石と石炭の混合物を土の坩堝に入れて火をつける。<color=#FF6EC7>労働者なしで機能することができます。</color>,-
Lapantouflemagic.Primitivesmetler.FlavorDescription,「レシピは確かですか？」,-
Lapantouflemagic.Woodburner.DisplayName,ウッドバーナー,-
Lapantouflemagic.Woodburner.Description,木を炭にするための特別な火鉢です。<color=#FF6EC7>作業員なしで機能します。</color>,-
Lapantouflemagic.Woodburner.FlavorDescription,「ああ、それは...うーん...木くずを処理する素晴らしい方法になるだろう！そう、木くず...もちろん。」 - ジャック・ザ・ノーワー,-
Lapantouflemagic.Screwpress.DisplayName,スクリュー プレス,-
Lapantouflemagic.Screwpress.Description,"ひまわりの種から油を抽出するための強力なプレス。
<color=#00FFFF>堤防として機能します</color>",-
Lapantouflemagic.Screwpress.FlavorDescription,「サンフラワーオイルは、サラダと機械の両方に欠かせない」,-
Lapantouflemagic.Alchemist.DisplayName,錬金術師,-
Lapantouflemagic.Alchemist.Description,"基本的な化学反応を準備するための居心地の良いラボです。  
<color=#00FFFF>堤防として機能します</color>",-
Lapantouflemagic.Alchemist.FlavorDescription,「爆発しないことを願っています」,-
Lapantouflemagic.Handicrafter.DisplayName,障害者工房のロッジ,-
Lapantouflemagic.Handicrafter.FlavorDescription,「たくさんは必要ない限り…」,-
Lapantouflemagic.Copistlodge.DisplayName,写字生宿舎,-
Lapantouflemagic.Copistlodge.Description,"既存の設計図をコピーするためのタウンハウス。  
<color=#00FFFF>堤防として機能します</color>",-
Lapantouflemagic.Copistlodge.FlavorDescription,「だから私の仕事の最初の部分は、これらの馬鹿げた飾りを取り除くことです。」 - コピーストビーバー,-
Lapantouflemagic.Artsylodge.DisplayName,アーチスト・ロッジ,-
Lapantouflemagic.Artsylodge.Description,"装飾用にコピーされた設計図のタウンハウス。
<color=#00FFFF>堤防として機能します</color>",-
Lapantouflemagic.Artsylodge.FlavorDescription,"「はい、青写真は使えるために派手でなければなりません」  
 -アーティストのビーバー",-
Lapantouflemagic.Builderslodge.DisplayName,ビルダー・ロッジ,-
Lapantouflemagic.Builderslodge.Description,"2人の追加の建設作業員のためのタウンハウス。  
<color=#00FFFF>堤防として機能します</color>",-
Lapantouflemagic.Builderslodge.FlavorDescription,「やっと自分のスペースができた！」,-
Luc.Lodge.Description,"運搬ビーバーのための小さな家。
<color=#00FFFF>堤防として機能します</color>",-
Lapantouflemagic.primitivedam.DisplayName,原始のダム,-
Lapantouflemagic.primitivedam.Description,古代のビーバーが使っていたように建てられた半不水構造。,-
Lapantouflemagic.primitivedamupgrade.DisplayName,原始ダムのアップグレード,-
Lapantouflemagic.primitivedamupgrade.Description,以前のダムの上に建てられた高いダム。,-
Lapantouflemagic.primitivedamupgrade.FlavorDescription,「これで生き延びるかもしれません。」,-
Lapantouflemagic.primitivedamUtility.DisplayName,ユーティリティダム,-
Lapantouflemagic.primitivedamUtility.Description,ビーバーが一方向に通過できる十字型ダムの改良版で、もう一方には動力シャフトを含んでいます。,-
Lapantouflemagic.primitivedamUtility.FlavorDescription,かなり便利ですね！,-
Lapantouflemagic.LogstairsWB.DisplayName,ログ階段,-
Lapantouflemagic.logstairsWB.DisplayName,茶色のログ階段,-
Lapantouflemagic.BirchlogstairsWB.DisplayName,バーチログ階段,-
Lapantouflemagic.ScramblelogstairsWB.DisplayName,スクランブルログ階段,-
Lapantouflemagic.logstairsWB.Description,原始の階段のように並べられた一束の丸太。,-
Lapantouflemagic.logstairsWB.FlavorDescription,"「そして<i>それが</i>私たちに教育が必要な理由です」  
- 科学者のビーバー",-
Lapantouflemagic.CrappyplatformWB.DisplayName,クソプラットフォーム,-
Lapantouflemagic.CrappyplatformWB_brown.DisplayName,ブラウンクソプラットフォーム,-
Lapantouflemagic.CrappyplatformWB_birch.DisplayName,バーチクラッピープラットフォーム,-
Lapantouflemagic.CrappyplatformWB_scramble.DisplayName,スクランブルクソプラットフォーム,-
Lapantouflemagic.CrappyplatformWB.Description,ビーバーの仲間にとって恥ずかしいプラットフォームの情けない言い訳。,-
Lapantouflemagic.CrappyplatformWB.FlavorDescription,「そして<i>それも</i>、私たちに教育が必要な理由です」 - 科学者のビーバー,-
Luc.crappyWaterWheel.DisplayName,クソみたいな水車,-
Luc.crappyWaterWheel.Description,粗製ながらも簡単に作れる水車。,-
Luc.crappyWaterWheel.FlavorDescription,"「こんなに摩擦があれば、火がつかなかったのはラッキーだ！」  
- 錬金術師のビーバー",-
Lapantouflemagic.Crappywindmill3.DisplayName,クソ風車 H3,-
Lapantouflemagic.Crappywindmill3.Description,低い位置にあるため、非常に少ない量の電力しか生成できない小さな風車です。地面から少なくとも<color=red>3メートル</color>の高さに設置する必要があります。,-
Lapantouflemagic.Crappywindmill3.FlavorDescription,"「これは何だ？私たちは水ビーバーというあだ名を付けられているのに、風ビーバーではない！」  
-探検隊の隊長",-
Lapantouflemagic.Crappywindmill6.DisplayName,クソ風車 H6,-
Lapantouflemagic.Crappywindmill6.Description,適度な高さのため、そこそこの量の電力を生成する小さな風車。地面から少なくとも<color=red>6メートル</color>の高さに設置する必要があります。,-
