ID,Text,Comment
Tobbert.TrackStraight.DisplayName,真っ直ぐな鉄道線路,-
Tobbert.TrackStraight.Description,真っ直ぐなトラックピース。クリックしてトグルを使用することで、一方通行の信号に変更できます。一方通行の間にトラックセクションを作成し、1台の列車がその上にいることを可能にします（色で示されます）。,-
Tobbert.TrackStraight.FlavorDescription,チューチュー！,-
Tobbert.TrackOneWay.DisplayName,一方向信号トラック,-
Tobbert.TrackOneWay.Description,列車には緑の側しか通れないことを伝えます。クリックしてトグルを使うことで、直線の線路に戻すことができます。一方向間に1つの列車が乗れる線路区間を作成します（色で示されています）。,-
Tobbert.TrackOneWay.FlavorDescription,あなたは… 通過します…,-
Tobbert.TrackCrossing.DisplayName,踏切,-
Tobbert.TrackCrossing.Description,ビーバーはここで線路を渡ることができます。衝突はパフォーマンスが著しく低下するため、実装されません。,-
Tobbert.TrackCrossing.FlavorDescription,その列車は非常に速く接近しています-,-
Tobbert.TrackHillStart.DisplayName,スロープトラック,-
Tobbert.TrackHillStart.Description,列車が上下することができるレール。,-
Tobbert.TrackHillStart.FlavorDescription,電車は重すぎませんか？,-
Tobbert.TrackCorner1x1.DisplayName,コーナー1x1の鉄道トラック,-
Tobbert.TrackCorner1x1.Description,角を曲がるトラックの部品。,-
Tobbert.TrackCorner1x1.FlavorDescription,少し窮屈かもしれません。,-
Tobbert.TrackCorner2x2.DisplayName,コーナー2x2トレインレール,-
Tobbert.TrackCorner2x2.Description,大きなコーナーに沿ったトラックピース。,-
Tobbert.TrackCorner2x2.FlavorDescription,なんて素敵な曲線でしょう。,-
Tobbert.TrackTIntersection1x1.DisplayName,T字交差点 鉄道 線路 1x1,-
Tobbert.TrackTIntersection1x1.Description,列車用のT字型の交差点。,-
Tobbert.TrackTIntersection1x1.FlavorDescription,どの道を行けばいいですか？,-
Tobbert.TrackTIntersection2x3.DisplayName,T字型交差点 鉄道トラック 2x3,-
Tobbert.TrackTIntersection2x3.Description,T字型の交差点（列車用）。,-
Tobbert.TrackTIntersection2x3.FlavorDescription,それらの道はどこに通じるのでしょうか？,-
Tobbert.TrackXIntersection1x1.DisplayName,X交差点 鉄道 線路1x1,-
Tobbert.TrackXIntersection1x1.Description,電車のためのXの形をした交差点。,-
Tobbert.TrackXIntersection1x1.FlavorDescription,多くの選択肢があります！,-
Tobbert.TrackXIntersection3x3.DisplayName,X 交差点 鉄道トラック 3x3,-
Tobbert.TrackXIntersection3x3.Description,列車用のXの形をした交差点。,-
Tobbert.TrackXIntersection3x3.FlavorDescription,どこに行くか決められない…,-
Tobbert.TrackRIntersection2x3.DisplayName,切り替え線路 2x3,-
Tobbert.TrackRIntersection2x3.Description,列車用のRの形をしたスイッチ。,-
Tobbert.TrackRIntersection2x3.FlavorDescription,どこに行くの？,-
Tobbert.GoodsStation.DisplayName,貨物駅,-
Tobbert.GoodsStation.Description,貨物を列車で輸送することができます。貨物は駅で送信または受信することができます。受け取った貨物は、取得するように設定された保管場所にのみ移動されます。,-
Tobbert.GoodsStation.FlavorDescription,それが持つことができるすべての品物を見てください。,-
Tobbert.PassengerStation.DisplayName,乗 passenger 駅,-
Tobbert.PassengerStation.Description,この駅ではビーバーが電車に乗って、互いに接続された別の駅へ移動できます。,-
Tobbert.PassengerStation.FlavorDescription,ビーバー列車！,-
Tobbert.PassengerStation.DistrictObjectToggle,地区を越えて行く：,-
Tobbert.PassengerStation.DistrictObject,有効にすると、ビーバーはこの設定が有効で、他の地区にある乗客駅にのみ行けるようになります。,-
Tobbert.PassengerStation.EmptyStation,現在、待機中の乗客はいません。,-
Tobbert.WaitingStation.DisplayName,待機所,-
Tobbert.WaitingStation.Description,列車は特に何もすることがないときにここで待機できます。これにより、列車が線路を占有するのを防ぎます。列車はこれを回避できないため、重要な経路には置かないようにしてください。,-
Tobbert.WaitingStation.FlavorDescription,いつまた行けますか？,-
Tobbert.TrainYard.DisplayName,トレインヤード,-
Tobbert.TrainYard.Description,列車を作る建物。,-
Tobbert.TrainYard.FlavorDescription,ここが列車が生まれる場所です。,-
Tobbert.TrainYard.CostOfTrain,1台の電車の費用：,-
Tobbert.TrainYard.CreateTrain,列車を建設する,-
Tobbert.Train.PrefabName,電車,-
Tobbert.Wagon.PrefabName,ワゴン,-
Tobbert.TrainModel.TrainModel,トレインモデル：,-
Tobbert.TrainModel.SmallLog,小さなログ,-
Tobbert.TrainModel.BigWooden,大きな木製,-
Tobbert.WagonModel.WagonModel,ワゴンモデル：,-
Tobbert.WagonModel.BoxWagon,ボックスワゴン,-
Tobbert.WagonModel.TankWagon,タンクワゴン,-
Tobbert.WagonModel.FlatWagon,フラットワゴン,-
Tobbert.WagonModel.FlipperWagon,ゴンドラワゴン,-
Tobbert.WagonModel.MetalCart,金属製のカート,-
Tobbert.WagonModel.PassengerWagon,客車,-
Tobbert.BatchControl.Trains,電車,-
Tobbert.Train.Length,列車の長さ：,-
Tobbert.Train.Destroy,この列車を破壊してもいいですか？,-
Tobbert.GoodsStation.Distribution.Header,配布された商品,-
Tobbert.GoodsStation.Distribution.Disabled.Info,配布設定により配布が無効になっています。,-
Tobbert.GoodsStation.Distribution.Sending.Info,配布設定によって送信の設定が行われます。,-
Tobbert.GoodsStation.Distribution.Receiving.Info,配布設定によって受信するように設定された配布。,-
Tobbert.BatchControl.GoodsStation,貨物駅,-
Tobbert.BatchControl.DistributionDisabledAll,すべての配布を無効にする,-
Tobbert.BatchControl.DistributionDisabled,配布が無効になっています,-
Tobbert.BatchControl.DistributionDisabled.Description,この駅でのこの商品の配布を完全に停止してください。,-
Tobbert.BatchControl.DistributionSendingAll,すべての商品の発送を許可します。,-
Tobbert.BatchControl.DistributionSending,送信を許可する,-
Tobbert.BatchControl.DistributionSending.Description,ステーションはこの商品を他のステーションに送ることができます。ステーション内に入れることができる最大量は、右側の量によって決まります。,-
Tobbert.BatchControl.DistributionReceivingAll,すべての商品の受け取りを許可する,-
Tobbert.BatchControl.DistributionReceiving,受信を許可する,-
Tobbert.BatchControl.DistributionReceiving.Description,駅は他の駅から送られるこの商品を受け取ることができます。駅内に入ることができる最大の量は右側の量によって決まります。,-
Tobbert.BatchControl.DecreaseMaximum,商品の最大量を減らす,-
Tobbert.BatchControl.DecreaseMaximum.Description,駅内に入る最大量を減らしてください。クリックは-1、シフトを押しながらは-10です。最大容量は200です。,-
Tobbert.BatchControl.IncreaseMaximum,商品の最大数量を増やす,-
Tobbert.BatchControl.IncreaseMaximum.Description,駅内に入れる最大数を増やしてください。クリックで+1、Shiftを押しながらで+10です。最大容量は200です。,-
Tobbert.TrackSystem.ToggleSectionDivider,セクションを分ける：,-
Tobbert.TrackSystem.ButtonChangeDirection,方向を変える,-
Tobbert.TrackSystem.CollidingSectionDividers,2つのセクションディバイダーを接続できません。,-
Tobbert.ToolGroup.Trains,電車,-
Tobbert.TrainYard.PreviewErrorMessage,トレインヤードは1つだけ建設できます。,-
Tobbert.Trains.UnlockPrompt,{0}を解除する必要があります。{1}を作成するために。,-
Tobbert.DistributionTrain.MinimumOfItemsToMove,移動するアイテムの最小数：,-
Tobbert.TrainNavigation.Unstuck,振り向いてください,-
Tobbert.TrainNavigation.NoWaitingStation,利用可能な待機所が見つかりませんでした。,-
Tobbert.TrainNavigation.NoWaitingStationShort,待機所なし,-
Tobbert.TrainDestination.UnconnectedWarning,駅は他の駅に接続されていません。,-
Tobbert.TrainDestination.UnconnectedWarningShort,接続されていない駅,-
Tobbert.ChooChooSettings.Header,チューチュー！,-
Tobbert.ChooChooSettings.DefaultTrainModel,デフォルトのトレインモデル：,-
Tobbert.ChooChooSettings.DefaultWagonModel,デフォルトワゴンモデル：,-
Tobbert.ChooChoo.KeyBindingGroup.ChooChoo,チューチュー！,-
Tobbert.ChooChoo.KeyBinding.GoodsStationDistributionControlTab,貨物駅タブを開く,-
