ID,Text,Comment
LV.LGP.ScienceOverdrive,グローバルサイエンス2パワー™️ (S2P) オーバードライブ,-
LV.LGP.CurrentMul,現在のオーバードライブ: x{0}P の {1}S/h,-
LV.LGP.SetMul,ターゲットオーバードライブ: x{0}Pで{1}S/h,-
LV.LGP.PrevCost,前: x{0}P コスト: {1}S/h,-
LV.LGP.NextCost,次: x{0}P コスト: {1}S/h,-
LV.LGP.NoPrev,最小乗算に達しています,-
LV.LGP.NoNext,次：すでに最大の倍増に達しています。,-
LV.LGP.NoScience,科学が不十分です！,-
LV.LGP.BaseCost,基本科学のコスト,-
LV.LGP.BaseCostDesc,計算のための基本科学コスト。カスタムフィボナッチ数列の開始値です。デフォルト：10。ケチらないでください :P,-
LV.LGP.MaxMul,最大の掛け算,-
LV.LGP.MaxMulDesc,適用できる最大パワー倍率。デフォルト: 10。,-
