ID,Text,Comment
LV.TI.EnableFreeCamera,無料カメラを有効にする,-
LV.TI.EnableFreeCameraDesc,ゲームのカメラ制限を解除してください。,-
LV.TI.DisableFog,霧を無効にする,-
LV.TI.DisableFogDesc,ゲーム内の霧を取り除いてください。,-
LV.TI.PauseBadWeather,悪天候を一時停止する,-
LV.TI.PauseBadWeatherDesc,悪天候（干ばつや悪潮）が始まったら、ゲームを一時停止してください。,-
LV.TI.ShowCoords,座標を表示する,-
LV.TI.ShowCoordsDesc,ブロック座標を右上隅に表示します。Zは高さです。まだ更新7には利用できません。,-
LV.TI.CoordsLabel,（X、Y、Z）：（{0}、{1}、{2}）,-
LV.TI.HeightLabel,高さ: {0},-
LV.TI.OnlyShowHeight,高さだけを表示してください。,-
LV.TI.OnlyShowHeightDesc,高さのみを表示し、全座標は表示しないでください。,-
LV.TI.PrioritizeRubbles,瓦礫を優先する,-
LV.TI.PrioritizeRubblesDesc,自動的にがれきの優先度を高に設定します。,-
LV.TI.AllDayLight,日照の変更なし,-
LV.TI.AllDayLightDesc,視覚/UIのみ。選択した昼光は、日中に変わることなく常にそのまま維持されます。,-
LV.TI.ShowGameTime,ゲーム時間を表示する,-
LV.TI.ShowGameTimeDesc,画面の右上に現在のゲーム時間を表示してください。,-
LV.TI.EnableSpeedS25,0.25倍速を有効にする [Shift+1],-
LV.TI.EnableSpeedS25Desc,ゲームで0.25倍速オプションを解除するには、Shift+1を押してください。通常、これはデバイザーモードでのみ利用可能です。,-
LV.TI.EnableSpeed4,30倍速を有効にする [4],-
LV.TI.EnableSpeed4Desc,ゲーム内で4を押して4番目のスピード30倍オプションを解除します。通常、これは開発モードでのみ利用可能です。,-
LV.TI.EnableSpeed5,99倍速を有効にします[5](!),-
LV.TI.EnableSpeed5Desc,ゲーム内で5を押すことで、5番目の速度99倍オプションをアンロックします。通常、これは開発モードでのみ利用可能です。この速度は不安定で、ゲームに問題を引き起こす可能性があるため、注意が必要です。誰かがビーバーが空腹や渇きのままでいる可能性があると言っていました。,-
LV.TI.StaticLight,静的日光,-
LV.TI.StaticLightDesc,ビジュアル/UIのみ。この昼間は常に同じままです。,-
LV.TI.LightSunrise,日の出,-
LV.TI.LightDay,日,-
LV.TI.LightSunset,夕日,-
LV.TI.LightNight,夜,-
LV.TI.QuickQuit,クイック/強制終了 [Ctrl + Shift + Q] (!),-
LV.TI.QuickQuitDesc,Ctrl + Shift + Q を押して、ゲームプロセスを強制終了して直ちにゲームを終了します。セーブもなく、ゲームの状態のクリーンアップもありません。注意してください！,-
LV.TI.BiggerBuildDragArea,より大きなビルドドラッグエリア (!),-
LV.TI.BiggerBuildDragAreaDesc,ダム（デフォルトは10x10）や道路（25）などの建物のビルドドラッグエリアを増やします。これにより、読み込み時間とメモリ使用量が大幅に増加するため、注意して使用してください。例：これを5に設定すると、ドラッグエリアは15x15のダムまたは30の道路になります。メインメニューでのみ変更できます。,-
LV.TI.AutoClearDeadTrees,枯れた切り株を取り除く,-
LV.TI.AutoClearDeadTreesDesc,"自動的に枯れた切り株や茂みを削除します（建物で即座に破壊できたもの）：
- いいえ：何も削除しない
- ツール：解体ツールを使用する際
- 自動：出現した瞬間に自動的に削除する",-
LV.TI.AutoClearDeadTreesNo,いいえ,-
LV.TI.AutoClearDeadTreesTool,ツール,-
LV.TI.AutoClearDeadTreesAuto,自動車,-
LV.TI.AddRealTimeClock,リアルタイム時計を追加する,-
LV.TI.AddRealTimeClockDesc,右上隅に時計を追加します。これは、プレイヤーがプレイ中に時間を把握するのに役立ちます。,-
LV.TI.DisableShadowRotation,シャドウの回転を無効にする,-
LV.TI.DisableShadowRotationDesc,これにより影が静的になり、太陽と共に回転しなくなります。,-
LV.TI.NewDayAction,新しい日が始まる,-
LV.TI.NewDayActionDesc,"新しい日にすることを選んでください：
- なし：何もしない
- 一時停止：ゲームを一時停止する
- スピード1：ゲームの速度を1倍に設定する",-
LV.TI.NewDayActionNone,なし,-
LV.TI.NewDayActionPause,一時停止,-
LV.TI.NewDayActionSpeed1,速度 1,-
LV.TI.NewDayAll,毎日,-
LV.TI.NewDayWarning,天候警報の日には,-
LV.TI.NewDayHazard,危険な天候が始まる日々,-
LV.TI.NewDayNewCycle,新しいサイクルの日に,-
