ID,Text,Comment
Knatte.WE_IrrigationExtractFuel.DisplayName,樹木促進による灌漑,-
Knatte.WE_IrrigationFuel.DisplayName,灌漑,-
Knatte.IrrigationTower.DisplayName,灌漑塔,-
Knatte.IrrigationTower.Description,周囲の土地に灌漑します。灌漑できないタイルには水を使用しません。,-
Knatte.IrrigationTower.Header,灌漑モード:,-
Knatte.IrrigationTower.FlavorDescription,地球の約三分の一しか水で覆われていないため、灌漑は必要不可欠になりました。,-
Knatte.IrrigationTowerV2_FT.DisplayName,効率的な灌漑タワー,-
Knatte.IrrigationTowerV2_FT.Description,周囲のより多くの土地を灌漑し、抽出物で樹木の成長を促進できます。灌漑できないタイルには水を使用しません。,-
Knatte.IrrigationTowerV2_IT.DisplayName,自動給水塔,-
Knatte.IrrigationTowerV2_IT.Description,労働者なしで周囲を灌漑します。より多くの水を使用するために、汚染を防ぐこともできます。灌漑できないタイルには水を使用しません。,-
Knatte.IrrigationTowerV2.FlavorDescription,地球の3分の1未満が水で覆われているため、灌漑は必要不可欠なものとなりました。,-
Knatte.BigIrrigationTower.DisplayName,大規模灌漑タワー,-
Knatte.BigIrrigationTowerIT.Description,"周囲の土地をより多く灌漑するために、より少ない水を使用します。  
青いパイプは灌漑の開始地点を示します。  
灌漑できないタイルには水を使用しません。",-
Knatte.BigIrrigationTowerFT.Description,"周囲のより多くの土地を、より少ない水で灌漑します。  
黄色のパイプが灌漑の開始点を示します。  
灌漑できないタイルには水を使用しません。",-
Knatte.BigIrrigationTower.FlavorDescription,滴滴落。,-
Knatte.IndWaterTank.DisplayName,産業用水タンク,-
Knatte.IndWaterTank.Description,もっと水を保持でき、スタッカブルですが、金属が必要です。,-
Knatte.Pipe5X.DisplayName,パイプ5ロング,-
Knatte.Pipe10X.DisplayName,パイプ10長,-
Knatte.Pipe15X.DisplayName,パイプ 15 ロング,-
Knatte.Pipe.Description,パイプの両側にレベルがあり、入力および出力パイプがあります。レベルは電源を供給する必要がありますが、同時に転送機能も果たします。出力パイプの上に六角形のレベルを置かないでください！クラッシュします！,-
Knatte.PipeU5X.DisplayName,地下パイプ 5 本長,-
Knatte.PipeU10X.DisplayName,地下パイプ 10 長,-
Knatte.PipeU15X.DisplayName,地下パイプ 15 ロング,-
Knatte.PipeU.Description,"パイプの両側に堤防があり、入力と出力のパイプがあります。
堤防の間を地下に通るパイプ。
堤防には電力が必要ですが、転送の役割も果たします。
出力パイプの上のヘックスには堤防を置かないでください！クラッシュします！",-
Knatte.CategoryPipe.DisplayName,ストレートパイプ,-
Knatte.CategoryPipe.Description,地上にあるパイプ,-
Knatte.CategoryPipeU.DisplayName,地下管道,-
Knatte.CategoryPipeU.Description,曲がり部分で地下に埋める必要のあるパイプ,-
Knatte.CategoryHideWE.DisplayName,未使用の水の延長,-
Knatte.Pipe1X.DisplayName,パイプ出口,-
Knatte.Pipe1X.Description,二つの水路と一つの入力および出力パイプがあります。水路は電源が必要ですが、同時に転送としても機能します。出力パイプの上の六角形には水路を配置しないでください！クラッシュします！,-
Knatte.PowerLevee.DisplayName,パワードリーブ,-
Knatte.PowerLevee.Description,ポンプを動かすためのシャフトがある堤防。水平と垂直の両方。,-
Knatte.DeepSeaPump.DisplayName,ディープシー水ポンプ,-
Knatte.DeepSeaPump.Description,海底用ポンプ,-
Knatte.DeepSeaPump.FlavorDescription,一口の新鮮な水があれば、あなたを元気づけるのに十分です。,-
Knatte.UPowerLevee.DisplayName,ユニバーサルパワードスリーブ,-
Knatte.UPowerLevee.Description,ポンプを動かすためのシャフトがある堤防。すべての側面に接続されています。,-
Knatte.PipeH1X.DisplayName,パイプアウトレット (H),-
Knatte.PipeH1X.Description,ハイボリュームポンプ、二つのレベル、入力パイプと出力パイプがあります。レベルは電力を供給する必要がありますが、同時に転送としても機能します。,-
Knatte.LargeWaterWheelLevee.DisplayName,大きな水車と堤防,-
Knatte.LargeWaterWheelLevee.Description,水車と傾斜のある堤防を備えており、水がチャネル内に留まり、あふれないようにするのに役立ちます。,-
Knatte.PipeHU5X.DisplayName,地下パイプ 5 ロング (H),-
Knatte.PipeHU10X.DisplayName,管地下10長（H）,-
Knatte.PipeHU15X.DisplayName,地下パイプ 15 ロング（H）,-
