ID,Text,Comment
LV.MW.WeatherStart,{0}が始まりました。,-
LV.MW.WeatherEnd,{0} が終了しました,-
LV.MW.WeatherApproaching,{0} 接近中,-
LV.MW.WeatherInProgress,{0} 進行中,-
LV.MW.EnableWeather,{0} 天気を有効にする,-
LV.MW.EnableWeatherDesc,{0}の天気を有効にする,-
LV.MW.StartCycle,{0} サイクルを開始します,-
LV.MW.StartCycleDesc,{0} が発生する最小サイクル,-
LV.MW.Chance,{0} のチャンス,-
LV.MW.ChanceDesc,{0}が発生する可能性,-
LV.MW.MinDay,{0} 最低日数,-
LV.MW.MinDayDesc,{0}が発生する最小の日,-
LV.MW.MaxDay,{0} 最大日,-
LV.MW.MaxDayDesc,{0}が発生する最大の日,-
LV.MW.HandicapPerc,{0} ハンディキャップパーセンテージ,-
LV.MW.HandicapPercDesc,この天候が初めて発生した時、その持続時間はこの割合で乗算されます。,-
LV.MW.HandicapCycles,{0} 障害者用自転車,-
LV.MW.HandicapCyclesDesc,気象がフル（100%）の期間に達するまでのサイクル数。,-
LV.MW.Rain,雨,-
LV.MW.Monsoon,モンスーン,-
LV.MW.ShortTemperate,がっかりさせるほど短い気温,-
LV.MW.ProgressiveTemperate,徐々に縮む温帯,-
LV.MW.SurprisinglyRefreshing,驚くほどさわやか,-
LV.MW.RainEffect,雨の効果を有効にする,-
LV.MW.RainEffectDesc,マップに雨のエフェクトを有効にしてください。,-
LV.MW.MonsoonMultiplier,モンスーン最大乗数,-
LV.MW.MonsoonMultiplierDesc,"モンスーン天候の最大追加倍率（ハンデなし）。  
この値は、持続時間などのハンデによって影響を受けます。  
デフォルト値：2.5（250%）、これはハンデが適用されないとき（デフォルトサイクル5）、すべての水源の強さが350%であることを意味します。",-
LV.MW.Profiles,プロフィール,-
LV.MW.ProfilesDesc,サポートされているモディファイ可能な天候の設定をエクスポートおよびインポートする,-
LV.MW.ProfileImport,インポート,-
LV.MW.ProfileExport,エクスポート,-
LV.MW.ProfileError,エラーが発生しました: {0},-
