ID,Text,Comment
LV.HF.HydroFormaGroup,ハイドロフォーマ™社,-
LV.HF.HydroFormaGroupDesc,先駆的なメガコーポレーションが最先端の水力工学の驚異で風景を再構築しています。,-
LV.HF.DamUpgrade,圧力ゲートモジュール,-
LV.HF.DamUpgradeEff,ダムを完全に手動で閉じることができ、すべての水の流れを停止します。,-
LV.HF.DamUpgradeLore,制御がすべてだから、HydroForma™の特許取得済みFlowLock™技術のシームレスな統合。,-
LV.HF.LeveeUpgrade,電力伝導コア,-
LV.HF.LeveeUpgradeEff,河川堤防が電力を送ることを許可する。,-
LV.HF.LeveeUpgradeLore,「いくつかの銅の棒と多くの創意工夫。今、川が流れないところに電流が流れる。」 — ワットソン・ロングトゥース,-
LV.HF.FloodgateUpgrade,オートレギュレーターユニット,-
LV.HF.FloodgateUpgradeEff,気象条件に応じてフラッドゲートの高さを自動調整します。,-
LV.HF.FloodgateUpgradeLore,見た目は自動的ですが、実際にはスニップス・マッドホイッスルがレバーとチャートを使って監視しています。,-
LV.HF.SluiceUpgrade,ソースレベルセンサー,-
LV.HF.SluiceUpgradeEff,上流の水位に基づいて自動的にスルースを開きます。,-
LV.HF.SluiceUpgradeLore,HydroForma™エンジニアリングの最高の宝石 - 本当のコントロールは尋ねることなく、決定するのです。,-
LV.HF.ImpermeableFloorUpgrade,R&Dスポンサーシップ™パッケージ,-
LV.HF.ImpermeableFloorUpgradeEff,<YellowHighlight>現在のところ効果はありません。</YellowHighlight> 早期サポーターは、将来のリリース前にこのアップグレードを割引価格で解放します。,-
LV.HF.ImpermeableFloorUpgradeLore,「あなたのサポートが道を開きます — 文字通り。最終的な機能は変更される可能性があります。返金はありません。そして、はい、「スポンサーシップ」は商標登録されています。」 — HydroForma™ 広報部門,-
LV.HF.DirtExcavatorUpgrade,バロウボット™ システム,-
LV.HF.DirtExcavatorUpgradeEff,この建物を運営するために必要な労働力をわずか1人に削減します。,-
LV.HF.DirtExcavatorUpgradeLore,「最後の掘削機をクビにした。仕事中に機械が棒を噛み砕くことはなかった。」 — クレイ・ブロードテイル,-
LV.HF.TerrainBlockUpgrade1,ディープアンカー・フレームワーク,-
LV.HF.TerrainBlockUpgradeEff,{0:+0} 最大未対応地形ブロック。,-
LV.HF.TerrainBlockUpgrade1Lore,「完全に安全です。厳密にテストされています。さあ、購入する前にこの免責事項にサインしてください。」— ハイドロフォーマ™ 法律,-
LV.HF.TerrainBlockUpgrade2,基盤ストレスエクステンダー,-
LV.HF.TerrainBlockUpgrade2Lore,「前回のサイクルの事件とは無関係です。」 — HydroForma™ 信頼と透明性部門,-
LV.HF.BarrierUpgrade,サーフェス™ アクセスコーティング,-
LV.HF.BarrierUpgradeEff,汚染および灌漑バリアの下にパスを構築できるようにします。,-
LV.HF.BarrierUpgradeLore,「SURFACEアクセスコーティング？もっと地下のサーディンのようなものだ。<b>*ボンク*</b>」— 不運にも背の高い訪問者,-
LV.HF.StreamGaugeUpgrade,DepthSense™アレイ,-
LV.HF.StreamGaugeUpgradeEff,ストリームゲージは、現在、自身のタイルの下の土壌までの水深を検出し、体積を測定できます。,-
LV.HF.StreamGaugeUpgradeLore,HydroForma™のDepthSense™は表面の下を見通します - 権限は不要です。,-
LV.HF.Closed,閉鎖された,-
LV.HF.DamSync,隣接するダムと同期する,-
LV.HF.FloodgateSetOnHaz,危険な天候時の高さを設定する,-
LV.HF.FloodgateSetOnNewCycle,新しいサイクルの高さを設定する,-
LV.HF.SluiceOpenUpstream,上流の深さを開く：,-
LV.HF.SluiceUpstreamDepth,上流の深さ：,-
LV.HF.SGBottomDepth,土壌からの深さ: {0:0.00}m ({1:0.00}m、基準Z = {2}から),-
LV.HF.SGMeasureVolume,体積を測定する：,-
LV.HF.SGMeasureVolumeFullCube,貯水池測定戦略を使用する,-
LV.HF.SGMeasureVolumeResult,ボリューム: {0:0.00}m³、{1}個のキューブから計算された {2}日前,-
