ID,Text,Comment
Knatte.WE_IrrigationExtractFuel.DisplayName,木のブーストによる灌漑,-
Knatte.WE_IrrigationFuel.DisplayName,灌漑,-
Knatte.IrrigationTower.DisplayName,灌漑塔,-
Knatte.IrrigationTower.Description,周囲の土地を灌漑します。灌漑できないタイルには水を使用しません。,-
Knatte.IrrigationTower.Header,灌漑モード：,-
Knatte.IrrigationTower.FlavorDescription,地球の三分の一未満が水で覆われているため、灌漑が必要不可欠になりました。,-
Knatte.IrrigationTowerV2_FT.DisplayName,効率的な灌漑タワー,-
Knatte.IrrigationTowerV2_FT.Description,周囲の土地をより多く灌漑し、抽出物で木の成長を促進することができます。灌漑できないタイルには水を使用しません。,-
Knatte.IrrigationTowerV2_IT.DisplayName,動力灌漑タワー,-
Knatte.IrrigationTowerV2_IT.Description,周囲を労働者なしで灌漑します。水の使用を増やすために、汚染を防ぐ役割も果たします。灌漑できないタイルには水を使用しません。,-
Knatte.IrrigationTowerV2.FlavorDescription,地球の三分の一未満しか水で覆われていないため、灌漑は必要不可欠になりました。,-
Knatte.BigIrrigationTower.DisplayName,大きな灌漑塔,-
Knatte.BigIrrigationTowerIT.Description,周囲の土地をさらに多く灌漑するために、より少ない水を使用します。青いパイプは灌漑の開始点を示します。灌漑できないタイルには水を使用しません。,-
Knatte.BigIrrigationTowerFT.Description,"周囲の土地をより多く灌漑するために、より少ない水を使用します。  
黄色のパイプは灌漑の開始点を示します。  
灌漑できないタイルには水を使用しません。",-
Knatte.BigIrrigationTower.FlavorDescription,ポタポタドロップ。,-
Knatte.IndWaterTank.DisplayName,産業用水タンク,-
Knatte.IndWaterTank.Description,より多くの水を保持し、スタッカブルですが金属を必要とします。,-
Knatte.Pipe5X.DisplayName,パイプ5ロング,-
Knatte.Pipe10X.DisplayName,パイプ10ロング,-
Knatte.Pipe15X.DisplayName,パイプ15長,-
Knatte.Pipe.Description,パイプの両側に堤防があり、入力と出力のパイプがあります。堤防には電力が必要ですが、同時に転送も行う必要があります。出力パイプの上にヘックスに堤防を設置しないでください！クラッシュします！,-
Knatte.PipeU5X.DisplayName,地下パイプ5ロング,-
Knatte.PipeU10X.DisplayName,地下10メートルのパイプ,-
Knatte.PipeU15X.DisplayName,地下15メートルのパイプ,-
Knatte.PipeU.Description,パイプの両側に堤防があり、入力と出力のパイプがあります。堤防の間を地下のパイプが通っています。堤防は電源が必要ですが、転送機能も果たさなければなりません！出力パイプの上に堤防を配置しないでください！クラッシュします！,-
Knatte.CategoryPipe.DisplayName,ストレートパイプ,-
Knatte.CategoryPipe.Description,地上にあるパイプ,-
Knatte.CategoryPipeU.DisplayName,地下パイプ,-
Knatte.CategoryPipeU.Description,曲がり部分で地下に埋める必要のある配管,-
Knatte.CategoryHideWE.DisplayName,未使用の水の延長,-
Knatte.Pipe1X.DisplayName,パイプアウトレット,-
Knatte.Pipe1X.Description,"2つのレベルと入力および出力パイプ。レベルには電源が必要ですが、転送も行います。
出力パイプの上に六角形でレベルを配置しないでください！クラッシュします！",-
Knatte.PowerLevee.DisplayName,パワードリーブ,-
Knatte.PowerLevee.Description,ポンプを動かすためのシャフトを持つ堤防。水平および垂直の両方。,-
Knatte.DeepSeaPump.DisplayName,ディープシー水ポンプ,-
Knatte.DeepSeaPump.Description,海底のポンプ,-
Knatte.DeepSeaPump.FlavorDescription,一口の新鮮な水があれば、あなたを元気にしてくれます。,-
Knatte.UPowerLevee.DisplayName,ユニバーサルパワードスリーブ,-
Knatte.UPowerLevee.Description,ポンプを動かすための軸がある堤防。全方向に接続されている。,-
Knatte.PipeH1X.DisplayName,パイプ出口 (H),-
Knatte.PipeH1X.Description,ハイボリュームポンプ、2つの堤防、および入力および出力パイプ。堤防は電力が必要ですが、同時に転送としても機能します。,-
