ID,Text,Comment
Knatte.Corner.DisplayName,デコレーションコーナー,-
Knatte.Corner.Description,ダムを追い詰めよう。,-
Knatte.Corner.FlavorDescription,水をブロックしません,-
//,Error,-
Knatte.SQCorner.DisplayName,装飾的な四隅,-
Knatte.SQCorner.Description,ダムを追い詰めよう。,-
Knatte.SQCorner.FlavorDescription,水をブロックしません,-
Knatte.Diagonal.DisplayName,装飾の対角線,-
Knatte.Diagonal.Description,ダムを横に移動させてください。,-
Knatte.Diagonal.FlavorDescription,水をブロックしません,-
Knatte.DiagonalS.DisplayName,装飾的な斜めサイドプラットフォーム,-
Knatte.DiagonalS.Description,ダムを横に移動させてプラットフォームを持たせてください。,-
Knatte.DiagonalS.FlavorDescription,水をブロックしません,-
Knatte.DiagonalW.DisplayName,リーブダイアゴナル,-
Knatte.DiagonalW.Description,ダムを横に行かせてください。,-
Knatte.DiagonalW.FlavorDescription,水は通りません。,-
Knatte.InvCorner.DisplayName,装飾内部コーナー,-
Knatte.InvCorner.Description,ダムを追い詰めよう。,-
Knatte.InvCorner.FlavorDescription,水をブロックしません。,-
Knatte.InvCornerW.DisplayName,内部のコーナーを離れる,-
Knatte.InvCornerW.Description,ダムを追い詰めよう。,-
Knatte.InvCornerW.FlavorDescription,水は通りません,-
Knatte.Slope.DisplayName,装飾スロープ,-
Knatte.Slope.Description,ダムを傾斜させましょう。,-
Knatte.Slope.FlavorDescription,水をブロックしない,-
Knatte.CornerSlope.DisplayName,装飾傾斜コーナー,-
Knatte.CornerSlope.Description,ダムを追い詰めよう。,-
Knatte.CornerSlope.FlavorDescription,水を防ぎません,-
Knatte.Square.DisplayName,デコレーションキューブ,-
Knatte.Square.Description,ダム・ザ・スクエア,-
Knatte.Square.FlavorDescription,水をブロックしない,-
Knatte.Square2W.DisplayName,堤防 2x2,-
Knatte.Square3W.DisplayName,堤防 3x3,-
Knatte.SquareW.Description,大きくなれ。,-
Knatte.SquareW.FlavorDescription,水は通らないでしょう。,-
Knatte.SquareW1x2.DisplayName,堤防 1x2,-
Knatte.SquareW1x3.DisplayName,レヴェ 1x3,-
Knatte.SquareW2x1.DisplayName,レヴェ2x1,-
Knatte.SquareW2x3.DisplayName,レヴェ2x3,-
Knatte.SquareW3x1.DisplayName,レヴェ3x1,-
Knatte.SquareW3x2.DisplayName,レベル 3x2,-
Knatte.HighDam.DisplayName,ハイダム,-
Knatte.HighDam.Description,"水をブロックしますが、上部のオーバーフローから85%しか通過させません。  
洪水のリスクが高いです！",-
Knatte.HighDam.FlavorDescription,水は通りません,-
Knatte.Corner2X.DisplayName,"デコレーションコーナー  
ダブルハイト",-
Knatte.Corner2X.Description,ダムを追い詰めよう。,-
Knatte.Corner2X.FlavorDescription,水をブロックしない,-
Knatte.SQCorner2X.DisplayName,"装飾用四角コーナー  
ダブルハイト",-
Knatte.SQCorner2X.Description,ダムを追い込もう。,-
Knatte.SQCorner2X.FlavorDescription,水をブロックしない,-
Knatte.Diagonal2X.DisplayName,"装飾対角線  
二重の高さ",-
Knatte.Diagonal2X.Description,ダムを横に行かせてください。,-
Knatte.Diagonal2X.FlavorDescription,水をブロックしません,-
Knatte.InvCornerS2X.DisplayName,装飾内部コーナーサイドプラットフォームダブルハイト,-
Knatte.InvCornerS2X.Description,ダムを横に移動させて、プラットフォームを作りましょう。,-
Knatte.InvCornerS2X.FlavorDescription,水をブロックしない,-
Knatte.InvCorner2X.DisplayName,"装飾内部コーナー  
ダブルハイト",-
Knatte.InvCorner2X.Description,ダムを追い詰めよう。,-
Knatte.InvCorner2X.FlavorDescription,水をブロックしません,-
Knatte.InvCornerW2X.DisplayName,"リーブ内部コーナー  
ダブルハイト",-
Knatte.InvCornerW2X.Description,ダムを追い詰めよう。,-
Knatte.InvCornerW2X.FlavorDescription,水は通りません,-
Knatte.Slope2X.DisplayName,"装飾の傾斜  
二重の高さ",-
Knatte.Slope2X.Description,ダムを傾斜させてください。,-
Knatte.Slope2X.FlavorDescription,水をブロックしません,-
Knatte.CornerSlope2X.DisplayName,"装飾スロープコーナー  
ダブルハイト",-
Knatte.CornerSlope2X.Description,ダムを追い詰めよう。,-
Knatte.CornerSlope2X.FlavorDescription,水をブ lock しません,-
Knatte.Corner3X.DisplayName,デコレーションコーナー トリプルハイト,-
Knatte.Corner3X.Description,ダムを追い詰めよう。,-
Knatte.Corner3X.FlavorDescription,水をブロックしません,-
Knatte.InvCorner3X.DisplayName,"内角装飾  
トリプルハイト",-
Knatte.InvCorner3X.Description,ダムを追い詰めよう。,-
Knatte.InvCorner3X.FlavorDescription,水をブロックしない,-
Knatte.Slope3X.DisplayName,装飾スロープ三重高,-
Knatte.Slope3X.Description,ダムを傾斜にしましょう。,-
Knatte.Slope3X.FlavorDescription,水をブロックしません,-
Knatte.InvCornerW3X.DisplayName,リーブ内部コーナー三重高さ,-
Knatte.InvCornerW3X.Description,ダムを追い詰める。,-
Knatte.InvCornerW3X.FlavorDescription,水は通りません,-
Knatte.SlopeW_1.DisplayName,堤防斜面,-
Knatte.SlopeW_2.DisplayName,"堤防の傾斜  
二重の高さ",-
Knatte.SlopeW_3.DisplayName,"堤防の傾斜  
三重の高さ",-
Knatte.SlopeW.Description,ブロックの水を完全にブロックする傾斜,-
Knatte.SlopeW.FlavorDescription,水は通りません,-
Knatte.SlopeS.DisplayName,装飾階段,-
Knatte.SlopeS.Description,ダムを踏みつけさせてください。,-
Knatte.SlopeS.FlavorDescription,水をブロックしません,-
Knatte.DiagPath.DisplayName,対角線の道,-
Knatte.DiagPath.Description,装飾や堤防を斜めに移動するための道。通常の道路と同じ長さの経路が必要ですが、見た目が良くなります。,-
Knatte.DiagPath.FlavorDescription,「ビーバースラローム」—幸せなビーバー,-
Knatte.ToolGroup.DecorationBlocks,装飾ブロック,-
Knatte.CategoryDam.DisplayName,木の装飾,-
Knatte.CategoryDam.Des,水をブロックしません,-
Knatte.CategoryLevees.DisplayName,形状付き堤防,-
Knatte.CategoryLeveesSQ.DisplayName,四角堤防,-
Knatte.CategoryDam2.DisplayName,木製装飾,-
Knatte.CategoryDam2.Des,水をブロックしません,-
Knatte.DoubleInvSlope.DisplayName,ダブルインバーテッドスロープ,-
Knatte.DoubleInvSlope.Description,レベルと逆斜面のコンボ,-
Knatte.DoubleInvSlope.FlavorDescription,橋を架けよう。,-
Knatte.Square1x2.DisplayName,デコレーションキューブ 1x2,-
Knatte.Square1x3.DisplayName,デコレーションキューブ 1x3,-
Knatte.Square_B.Description,水をブロックせずに突き出せる四角形。,-
Knatte.Square_B.FlavorDescription,見て、浮いているよ。,-
Knatte.InvSlope1x1.DisplayName,逆勾配 1x1,-
Knatte.InvSlope1x2.DisplayName,逆スロープ 1x2,-
Knatte.InvSlope1x3.DisplayName,逆スロープ 1x3,-
Knatte.InvSlope2x1.DisplayName,逆斜面 2x1,-
Knatte.InvSlope.Description,水を妨げることなく突き出すことができる四角形。,-
Knatte.InvSlope.FlavorDescription,外に出ましょう,-
Knatte.InvTrapezium1x1.DisplayName,逆台形 1x1,-
Knatte.BlockDecoration.DisplaynameLocKey,美しいダム,-
Knatte.InvSlopeW1x1.DisplayName,逆勾配堤防 1x1,-
Knatte.InvSlopeW1x2.DisplayName,インバーテッドレヴィースロープ 1x2,-
Knatte.InvSlopeW1x3.DisplayName,逆傾斜レベルスロープ 1x3,-
Knatte.InvSlopeW2x1.DisplayName,逆勾配堤防 2x1,-
Knatte.InvSlopeW.Description,"突起することができる四角形。  
すべての水を含む配置された六角ブロック、他のブロックは上下からのみ、 impermeable floor のように組み込まれています。",-
Knatte.InvSlopeW.FlavorDescription,出発します,-
Knatte.InvTrapeziumW1x1.DisplayName,逆台形堤防 1x1,-
Knatte.DoubleInvSlopeW.Description,両側に突き出た正方形。すべての水が流入する六角形ブロックの配置。その他のブロックは、上/下からのみ、防水床のように配置される。,-
Knatte.DoubleInvSlopeW.FlavorDescription,橋を建設しましょう。,-
