ID,Text,Comment
Building.PipeBox.DisplayName,パイプ付きの箱,-
Building.PipeStraight.DisplayName,パイプストレート,-
Building.PipeTurn.DisplayName,パイプの曲がり,-
Building.PipeTIntersection.DisplayName,パイプT字接続,-
Building.PipeXIntersection.DisplayName,パイプX交差点,-
Building.PipeUpward.DisplayName,上向きパイプ,-
Building.PipeVertical.DisplayName,垂直パイプ,-
Building.PipeDownward.DisplayName,下りパイプ,-
Building.PipeBox.Description,防水ブロック内のパイプ。,-
Building.PipeValve.DisplayName,パイプバルブ,-
Building.PipeValve.Description,水中に浸されていないときは水を排出してください。,-
Building.PipeWaterPump.DisplayName,水ポンプ付きの箱,-
Building.PipeWaterPump.Description,最大深度6までの電力を使用して水を移動させます。,-
Building.PipeWaterPump.TakeToPipe,水を配管に持って行ってください。,-
Building.PipeWaterPump.TakeFromPipe,パイプから水を取ってください。,-
Building.PipeGeneric.Description,水を移動させます。,-
Building.PipeGeneric.Blocked.Short,パイプが詰まっている,-
Building.PipeGeneric.Blocked,いくつかのパイプの入口は別の建物や地形によって塞がれています。別のパイプとだけ接続してください。,-
Building.WaterShield.DisplayName,水の盾,-
Building.WaterShield.Description,電源が入ると水を反発する強力な機械です。電源が切れた場合に水中に沈まないように注意してください。,-
