ID,Text,Comment
Floodgate.Triggers.EnableOnDroughtStarted,"Ustaw wysokość, gdy zaczyna się susza.",-
Floodgate.Triggers.EnableOnDroughtEnded,"Ustaw wysokość, gdy susza się skończy.",-
Floodgate.Schedule.Enable,Ustaw wysokość w harmonogramie,-
Floodgate.Schedule.DisableOnDrought,Wyłącz harmonogram podczas suszy,-
Floodgate.Schedule.DisableOnTemperate,Wyłącz harmonogram podczas temperatury.,-
Floodgate.Triggers.Time,Czas,-
Floodgate.Triggers.Height,Wysokość,-
Floodgate.Triggers.Basic,Podstawowy,-
Floodgate.Triggers.Timer,Zegar,-
Floodgate.Triggers.Advanced,Zaawansowany,-
Floodgate.Triggers.AttachToStreamGauge,Zainstaluj czujnik przepływu,-
Floodgate.Triggers.PickStreamGaugeTitle,Wybierz miernik przepływu,-
Floodgate.Triggers.PickStreamGaugeTip,"Nie, naprawdę, wybierz dowolny.",-
Floodgates.Triggers.NoLinks,Brak podłączonych mierników strumienia,-
Floodgates.Triggers.NoFloodgateLinks,Brak powiązanych obiektów,-
Floodgates.Triggers.LinkedFloodgates,Obiekty powiązane,-
Floodgates.Triggers.Threshold1,Próg dolny pomiaru strumienia,-
Floodgates.Triggers.Threshold2,Wysoki próg pomiaru strumienia,-
Floodgates.Triggers.HeightWhenBelowThreshold1,Wysokość zasuwy powodziowej poniżej niskiego progu,-
Floodgates.Triggers.HeightWhenAboveThreshold2,Wysokość wrót powodziowych powyżej wysokiego progu,-
Floodgate.Triggers.PauseOnDroughtStart,"Pauza, gdy zaczyna się susza.",-
Floodgate.Triggers.UnpauseOnDroughtStart,"Wznów, gdy zacznie się susza",-
Floodgate.Triggers.UnpauseOnTemperateStart,"Wznów, gdy zacznie się sezon temperaturowy.",-
Floodgate.Triggers.PauseOnTemperateStart,"Pauza, gdy zaczyna się temperatura",-
Floodgates.WaterpumpTrigger.Threshold1,Pauza,-
Floodgates.WaterpumpTrigger.Threshold2,Pauza >,-
Floodgates.WaterpumpTrigger.Threshold3,Wznów,-
Floodgates.WaterpumpTrigger.Threshold4,Wznów,-
Floodgates.WaterpumpTrigger.PauseStartTime,Pauza przy,-
Floodgates.WaterpumpTrigger.ResumeStartTime,Wznowić na,-
Floodgates.WaterpumpTrigger.DisableDuringDrought,Wyłączyć podczas suszy,-
Floodgates.WaterpumpTrigger.DisableDuringTemperate,Wyłącz podczas temperaturowego.,-
Floodgate.Triggers.PauseOnSchedule,Przerwa w harmonogramie,-
Floodgate.Triggers.EnableOnBadtideStarted,"Ustaw wysokość, gdy zaczyna się zła fala.",-
Floodgate.Triggers.EnableOnBadtideEnded,"Ustaw wysokość, gdy kończy się odpływ.",-
Floodgate.Schedule.DisableOnBadtide,Wyłącz harmonogram podczas złej pływy.,-
Floodgates.WaterpumpTrigger.DisableDuringBadtide,Wyłącz podczas złej pływy,-
Floodgate.Triggers.PauseOnBadtideStart,"Zatrzymaj się, gdy zacznie się zły przypływ.",-
Floodgate.Triggers.UnpauseOnBadtideStart,"Wznów, gdy zacznie się zła fala",-
Floodgates.Triggers.ContaminationThresholdLow,Niski próg zanieczyszczenia,-
Floodgates.Triggers.ContaminationThresholdHigh,Wysoki próg zanieczyszczenia,-
Floodgates.Triggers.HeightWhenBelowContaminationThresholdLow,Ustaw wysokość poniżej niskiego zanieczyszczenia,-
Floodgates.Triggers.HeightWhenAboveContaminationThresholdHigh,Ustaw wysokość powyżej wysokiej kontaminacji,-
Floodgates.Triggers.Depth,Głębokość,-
Floodgates.Triggers.Contamination,Zanieczyszczenie,-
Floodgates.WaterSourceRegulator.Threshold1,Zamknij <,-
Floodgates.WaterSourceRegulator.Threshold2,Zamknij >,-
Floodgates.WaterSourceRegulator.Threshold3,Otwórz <,-
Floodgates.WaterSourceRegulator.Threshold4,Otwórz >,-
Floodgates.WaterSourceRegulator.CloseStartTime,Zamknij o,-
Floodgates.WaterSourceRegulator.OpenStartTime,Otwórz o,-
Floodgates.WaterSourceRegulator.DisableDuringDrought,Wyłącz w czasie suszy,-
Floodgates.WaterSourceRegulator.DisableDuringTemperate,Wyłącz podczas temperaturowych.,-
Floodgate.WaterSourceRegulator.CloseOnDroughtStart,"Zamknij, gdy zaczyna się susza.",-
Floodgate.WaterSourceRegulator.OpenOnDroughtStart,"Otwórz, gdy zaczyna się susza",-
Floodgate.WaterSourceRegulator.OpenOnTemperateStart,"Otwórz, gdy zacznie się temperatura.",-
Floodgate.WaterSourceRegulator.CloseOnTemperateStart,"Zamknij, gdy temperatura zaczyna się podnosić.",-
Floodgate.WaterSourceRegulator.OpenOnBadtideStart,"Otwórz, gdy zacznie się zła fala",-
Floodgate.WaterSourceRegulator.CloseOnBadtideStart,"Zamknij, gdy zaczyna się zły przypływ.",-
Floodgate.Schedule.CloseOnSchedule,Zamknij/Otwórz zgodnie z harmonogramem,-
Floodgates.WaterSourceRegulator.DisableDuringBadtide,Wyłącz podczas złej pływy,-
Floodgates.Triggers.Empty,Error,-
