ID,Text,Comment
Faction.Emberpelts.DisplayName,Emberpelty,-
Faction.Charcoal.DisplayName,Węgiel drzewny,-
Faction.Emberpelts.Description,"Emberpelty mają zamiłowanie do koloru czerwonego i lubią być ciepłe. Czasami po prostu lubią patrzeć, jak rzeczy płoną. Nie lubią, gdy ich futro jest mokre. Ich motto: <i>Serca ognia.</i>",-
Bot.DisplayName.Emberpelts,Emberbot {0},-
Good.Brick.DisplayName,Cegła,-
Good.Brick.PluralDisplayName,Cegły,-
Good.Clay.DisplayName,Glina,-
Good.Clay.PluralDisplayName,Gliny,-
Good.Coal.DisplayName,Węgiel drzewny,-
Good.Coal.PluralDisplayName,Węgiel drzewny,-
Good.Apple.DisplayName,Jabłko,-
Good.Apple.PluralDisplayName,Jabłka,-
Good.AppleJuice.DisplayName,sok jabłkowy,-
Good.AppleJuice.PluralDisplayName,Sok jabłkowy,-
Good.Radish.DisplayName,Rzodkiewka,-
Good.Radish.PluralDisplayName,Rzodkiewki,-
Good.Tomato.DisplayName,Pomidor,-
Good.Tomato.PluralDisplayName,Pomidory,-
Good.TomatoJuice.DisplayName,Sok pomidorowy,-
Good.TomatoJuice.PluralDisplayName,Sok pomidorowy,-
Good.Beetroot.DisplayName,Burak,-
Good.Beetroot.PluralDisplayName,Buraki,-
Good.RedJuice.DisplayName,Sok z buraka i rzodkwi,-
Good.RedJuice.PluralDisplayName,Sok z buraka i rzodkwi,-
Good.CornJuice.DisplayName,sok kukurydziany,-
Good.CornJuice.PluralDisplayName,Sok kukurydziany,-
Good.Pepper.DisplayName,Papryka,-
Good.Pepper.PluralDisplayName,Papryka,-
Good.Cornmeal.DisplayName,Mąka kukurydziana,-
Good.Cornmeal.PluralDisplayName,Mąka kukurydziana,-
Good.GrilledCorn.DisplayName,Grillowana kukurydza,-
Good.GrilledCorn.PluralDisplayName,Grillowana kukurydza,-
Good.GrilledPepper.DisplayName,Grilowana papryka,-
Good.GrilledPepper.PluralDisplayName,Grillowane papryki,-
Good.ApplePie.DisplayName,Szarlotka,-
Good.ApplePie.PluralDisplayName,Szarlotki,-
Good.Cornbread.DisplayName,Chleb kukurydziany,-
Good.Cornbread.PluralDisplayName,Chleb kukurydziany,-
Good.BakedBeetroot.DisplayName,Pieczone buraki,-
Good.BakedBeetroot.PluralDisplayName,Pieczone buraczki,-
Good.StuffedPepper.DisplayName,Faszerowana papryka,-
Good.StuffedPepper.PluralDisplayName,Faszerowane papryki,-
Good.Fuel.DisplayName,Paliwo,-
Good.Fuel.PluralDisplayName,Paliwo,-
Good.Lubricant.DisplayName,Smar,-
