ID,Text,Comment
Knatte.WaterAlarm.DisplayName,Alarm wodny,-
Knatte.WaterAlarm.Description,"Zintegrowany wskaźnik poziomu wody i alarm wodny, który ostrzeże, jeśli nie ma wody.",-
Knatte.WaterAlarm.FlavorDescription,Dzwon Dzwon,-
//,Error,-
Knatte.WaterAlarm11.DisplayName,Wskaźnik strumienia 11 Wysoki,-
Knatte.WaterAlarm11.Description,Duża miernik przepływu.,-
Knatte.WaterAlarm11.FlavorDescription,Mario Skok,-
Knatte.MetalFloodgate.DisplayName,Bramka zalewowa metalowa,-
Knatte.MetalFloodgate.Description,"Większa, lepsza brama przeciwpowodziowa, na którą można układać przedmioty.",-
Knatte.Floodgate.DisplayName,Bramy przeciwpowodziowe metalowe,-
Knatte.MetalFloodgate2.DisplayName,Metalowa brama przeciwpowodziowa 2 wysoka,-
Knatte.MetalFloodgate3.DisplayName,Metalowa brama przeciwwodna 3 Wysoka,-
Knatte.MetalFloodgate4.DisplayName,Metalowa zapora przeciwpowodziowa 4 Wysoka,-
Knatte.MetalFloodgate5.DisplayName,Metalowa brama przeciwwodna 5 Wysoka,-
Knatte.MetalFloodgate6.DisplayName,Metalowa brama powodziowa 6 wysoka,-
Knatte.MetalFloodgate7.DisplayName,Bramka przeciwpowodziowa metalowa 7 wysoka,-
Knatte.MetalFloodgate8.DisplayName,Metalowa brama przeciwpowodziowa 8 wysoka,-
Knatte.MetalFloodgate9.DisplayName,Brama przeciwpowodziowa metalowa 9 wysoka,-
Knatte.MetalFloodgate10.DisplayName,Metalowa brama przeciwpowodziowa 10 wysoka,-
Knatte.Aqueduct_MetalFloodgate.DisplayName,Metalowa brama powodziowa akweduktu 1 Wysoka,-
Knatte.Aqueduct_MetalFloodgate.Description,"Większa, lepsza brama przeciwpowodziowa, na której można układać rzeczy w temacie akweduktu.",-
Knatte.Aqueduct_Floodgate.DisplayName,Metalowe wrót przeciwpowodziowe w stylu akweduktu,-
Knatte.Aqueduct_MetalFloodgate2.DisplayName,Metalowa brama przeciwpowodziowa Aqueduct 2 wysoka,-
Knatte.Aqueduct_MetalFloodgate3.DisplayName,Wrota metalowe akweduktu 3 wysokie,-
Knatte.Aqueduct_MetalFloodgate4.DisplayName,Kratka metalowa wodociągowa 4 wysoka,-
Knatte.Aqueduct_MetalFloodgate5.DisplayName,Metalowa brama powodziowa akweduktu 5 Wysoka,-
Knatte.Aqueduct_MetalFloodgate6.DisplayName,Wrota metalowe akweduktu 6 wysokie,-
Knatte.Aqueduct_MetalFloodgate7.DisplayName,Metalowa brama powodziowa 7 Wysoka akweduktu,-
Knatte.Aqueduct_MetalFloodgate8.DisplayName,Konstrukcja metalowa przepustu 8 wysokości,-
Knatte.Aqueduct_MetalFloodgate9.DisplayName,Metalowa brama zalewowa akweduktu 9 wysokości,-
Knatte.Aqueduct_MetalFloodgate10.DisplayName,Metalowa brama powodziowa 10 wysoka aqueduktu,-
