ID,Text,Comment
Battery.PowerShaftExtensions.ToolGroups.ShaftBridges.DisplayName,Mosty szybowe,-
Battery.PowerShaftExtensions.ToolGroups.ShaftTunnels.DisplayName,Tunele szybowe,-
Battery.PowerShaftExtensions.PowerShaftBridgex3.DisplayName,Mostek wału napędowego (1-przęsłowy),-
Battery.PowerShaftExtensions.PowerShaftBridgex3.Description,"Mostek wałowy, który przepina szczelinę o długości 1 bloku",-
Battery.PowerShaftExtensions.PowerShaftBridgex4.DisplayName,Mostek wału mocy (2-rdzeniowy),-
Battery.PowerShaftExtensions.PowerShaftBridgex4.Description,"Mostek wału napędowego, który rozciąga się nad luką o długości dwóch bloków",-
Battery.PowerShaftExtensions.PowerShaftBridgex5.DisplayName,Mostek wałowy (3-przęsłowy),-
Battery.PowerShaftExtensions.PowerShaftBridgex5.Description,"Mostek wałowy, który obejmuje przerwę o długości 3 bloków",-
Battery.PowerShaftExtensions.PowerShaftBridgex6.DisplayName,Mostek napędowy (4-przęsłowy),-
Battery.PowerShaftExtensions.PowerShaftBridgex6.Description,"Mostek wałowy, który rozciąga się nad 4-blokową przerwą",-
Battery.PowerShaftExtensions.PowerShaftBridgex7.DisplayName,Most powyższy most wałowy (5-przęsłowy),-
Battery.PowerShaftExtensions.PowerShaftBridgex7.Description,"Mostek wału mocy, który rozciąga się nad luką o długości 5 bloków",-
Battery.PowerShaftExtensions.PowerShaftBridgex8.DisplayName,Most na wale napędowym (6-przęsłowy),-
Battery.PowerShaftExtensions.PowerShaftBridgex8.Description,"Mostek wałowy, który pokrywa lukę o sześciu blokach",-
Battery.PowerShaftExtensions.PowerShaftBridgex9.DisplayName,Mostek wałowy (7-przęsłowy),-
Battery.PowerShaftExtensions.PowerShaftBridgex9.Description,"Mostek wałowy, który rozciąga się na 7-kratek przerwy",-
Battery.PowerShaftExtensions.PowerShaftBridgex10.DisplayName,Mostek wałka napędowego (8-przęsłowy),-
Battery.PowerShaftExtensions.PowerShaftBridgex10.Description,"Mostek wału mocy, który rozciąga się na 8-klockową lukę",-
Battery.PowerShaftExtensions.PowerShaftBridgex11.DisplayName,Most Żerdziowy (9-przęsłowy),-
Battery.PowerShaftExtensions.PowerShaftBridgex11.Description,"Mostek napędowy, który rozciąga się nad dziesięcioma blokami.",-
Battery.PowerShaftExtensions.PowerShaftBridgex12.DisplayName,Mostek wałowy (10-przęsłowy),-
Battery.PowerShaftExtensions.PowerShaftBridgex12.Description,"Mostek wału napędowego, który rozciąga się na 10 bloków przerwy.",-
Battery.PowerShaftExtensions.PowerShaftTunnelx3.DisplayName,Tunel wału napędowego (1-długi),-
Battery.PowerShaftExtensions.PowerShaftTunnelx3.Description,"Głęboki tunel szybu zasilającego, który wkopuje się pod ziemię. Rozciąga się na 1 blok.",-
Battery.PowerShaftExtensions.PowerShaftTunnelx4.DisplayName,Tunel wału napędowego (2-długi),-
Battery.PowerShaftExtensions.PowerShaftTunnelx4.Description,"Głęboki tunel silosowy, który wnika w ziemię. Rozciąga się na 2 bloki.",-
Battery.PowerShaftExtensions.PowerShaftTunnelx5.DisplayName,Tunel wału mocy (3-długi),-
Battery.PowerShaftExtensions.PowerShaftTunnelx5.Description,"Głęboki tunel szybu energetycznego, który wykopuje się pod ziemią. Rozciąga się na 3 ulice.",-
Battery.PowerShaftExtensions.PowerShaftTunnelx6.DisplayName,Tunel wałka napędowego (4-długi),-
Battery.PowerShaftExtensions.PowerShaftTunnelx6.Description,"Głęboki tunel szybów energetycznych, który wnika pod ziemię. Rozciąga się na 4 bloki.",-
Battery.PowerShaftExtensions.PowerShaftTunnelx7.DisplayName,Tunel Wału Napędowego (5-długości),-
Battery.PowerShaftExtensions.PowerShaftTunnelx7.Description,"Głęboki tunel szybów energetycznych, który wchodzi pod ziemię. Rozciąga się na 5 bloków.",-
Battery.PowerShaftExtensions.PowerShaftTunnelx8.DisplayName,Tunel wału mocy (6-długi),-
Battery.PowerShaftExtensions.PowerShaftTunnelx8.Description,"Głęboki tunel szybu energetycznego, który wchodzi pod ziemię. Rozciąga się na 6 bloków.",-
Battery.PowerShaftExtensions.PowerShaftTunnelx9.DisplayName,Tunel wału mocy (7-długo),-
Battery.PowerShaftExtensions.PowerShaftTunnelx9.Description,"Głęboki tunel szybu energetycznego, który przemyka pod ziemią. Rozciąga się na 7 bloków.",-
Battery.PowerShaftExtensions.PowerShaftTunnelx10.DisplayName,Tunel wału napędowego (8-długo),-
Battery.PowerShaftExtensions.PowerShaftTunnelx10.Description,"Głęboki tunel szybu energetycznego, który wchodzi pod ziemię. Rozciąga się na 8 bloków.",-
Battery.PowerShaftExtensions.PowerShaftTunnelx11.DisplayName,Tunel wału napędowego (9-dł.),-
Battery.PowerShaftExtensions.PowerShaftTunnelx11.Description,"Głęboki tunel szybu energetycznego, który zagłębia się pod ziemią. Rozciąga się na 9 bloków.",-
Battery.PowerShaftExtensions.PowerShaftTunnelx12.DisplayName,Tunel wału napędowego (10 długi),-
Battery.PowerShaftExtensions.PowerShaftTunnelx12.Description,"Głęboki tunel szybowy, który wydrążono pod ziemią. Rozciąga się na 10 bloków.",-
