ID,Text,Comment
CG.TreeGrowthRate,Wzrost drzewa,-
CG.TreeGrowthRateDesc,"Mnożnik czasu wzrostu drzew, takich jak sosny czy dęby (1 dla domyślnych ustawień gry). Można ustawić poniżej 1, aby gra była trudniejsza.",-
CG.CropGrowthRate,Współczynnik wzrostu roślin,-
CG.CropGrowthRateDesc,"Mnożnik dla czasu wzrostu roślin, takich jak marchewki czy ziemniaki (1 dla domyślnej wartości w grze). Można ustawić poniżej 1, aby utrudnić grę.",-
CG.GatherableGrowthRate,Wzrost produktu,-
CG.GatherableGrowthRateDesc,"Mnożnik dla czasu wzrostu produktów takich jak żywica sosnowa lub jagody (1 to domyślna wartość w grze). Można go ustawić poniżej 1, aby gra była trudniejsza.",-
CG.ReproducibleChanceMultiplier,Reproduktywna mnożnik szans,-
CG.ReproducibleChanceMultiplierDesc,"Zmień prawdopodobieństwo reprodukcji drzew. Każde drzewo, co godzinę, ma 1-3% szans na reprodukcję, w zależności od rodzaju. Ustawienie tego na 1 utrzymuje ustawienia gry, a 0 oznacza brak reprodukcji.",-
CG.SpreadDistance,Odległość rozprzestrzenienia,-
CG.SpreadDistanceDesc,"Odległość (w blokach), na jaką drzewo może się rozprzestrzenić na nowy blok. 0 oznacza brak rozprzestrzeniania. Domyślna wartość gry: 1",-
CG.SpreadVertically,Może rozprzestrzeniać się pionowo.,-
CG.SpreadVerticallyDesc,"Jeśli włączone, drzewa mogą rozprzestrzeniać się na bloki powyżej lub poniżej nich (używając odległości rozprzestrzenienia). Domyślna wartość w grze: wyłączone.",-
