ID,Text,Comment
LV.CTZ.TubewaySpeed,Bonus prędkość Tubeway,-
LV.CTZ.TubewaySpeedDesc,Prędkość bonusowa tuby (Domyślna w grze: 300%),-
LV.CTZ.ZiplineSpeed,Prędkość bonusowa zjeżdżalni,-
LV.CTZ.ZiplineSpeedDesc,Prędkość zjazdu na linie (Domyślna w grze: 150%),-
LV.CTZ.ZiplineSpeedMaxCon,Maksymalne połączenie zipline,-
LV.CTZ.ZiplineSpeedMaxConDesc,"Maksymalna liczba połączeń, jakie może mieć zjazd tyrolski (domyślna wartość w grze: 2)",-
LV.CTZ.ZiplineSpeedMaxDistance,Maksymalna odległość zjazdu na linie,-
LV.CTZ.ZiplineSpeedMaxDistanceDesc,"Maksymalna długość, jaką może mieć zjazd na linie (domyślnie w grze: 30)",-
LV.CTZ.ZiplineSpeedMaxInclination,Maksymalne nachylenie liny zjazdowej,-
LV.CTZ.ZiplineSpeedMaxInclinationDesc,Maksymalne nachylenie kabla zjazdowego (domyślna wartość w grze: 50),-
LV.CTZ.ZiplineThroughObstacles,Zjazd na linie przez przeszkody,-
LV.CTZ.ZiplineThroughObstaclesDesc,Zezwól na przechodzenie lin zip przez przeszkody (Domyślnie w grze: wyłączone),-
LV.CTZ.ZiplineForIronTeeth,Zjazd na linie dla Żelaznych Zębów,-
LV.CTZ.ZiplineForIronTeethDesc,Niech Żelazne Zęby zbudują zjazdy linowe (Domyślnie w grze: fałsz),-
LV.CTZ.TubewayForFolktails,Tubeway dla Folktails,-
LV.CTZ.TubewayForFolktailsDesc,Niech Folktails zbudują Tubeways (domyślnie w grze: fałsz),-
LV.CTZ.NoWaterPenalty,Brak kary za prędkość w wodzie,-
LV.CTZ.NoWaterPenaltyDesc,Brak kary za prędkość podczas poruszania się w wodzie (Domyślne ustawienie gry: fałsz),-
