ID,Text,Comment
LV.CH.MaxBeaverMul,Mnożnik Maxa Beaversa,-
LV.CH.MaxBeaverMulDesc,"Pomnóż maksymalną liczbę bobrów, które może mieć dom, przez tę wartość, zaokrąglając w dół, ale minimum to 1. Domyślna wartość w grze: 1.",-
LV.CH.SleepMult,Mnożnik Satysfakcji Ze Snu,-
LV.CH.SleepMultDesc,"Pomnóż zaspokojenie potrzeb snu przez tę wartość. Domyślna wartość w grze: 1, więc przy +0,2 za godzinę (Bóbr może mieć od -0,2 do 0,8 snu, -0,6 dziennie)",-
LV.CH.ShelterMult,Mnożnik satysfakcji z schronienia,-
LV.CH.ShelterMultDesc,"Pomnóż zaspokojenie potrzeby schronienia przez tę wartość. Domyślna wartość w grze: 1, więc przy +0,3 na godzinę (Bóbr może mieć od -0,2 do 0,8 schronienia, -0,3 na dzień).",-
LV.CH.MoveEntranceFloor,Przenieś wejścia do piętra,-
LV.CH.MoveEntranceFloorDesc,Przenieś wszystkie wejścia na pierwsze piętro (jak w Double Lodges). Zastosuj również do domów dodanych przez mody. Brak zmian graficznych. Domyślnie w grze: nie,-
LV.CH.AddOtherFaction,Dodaj domy innych frakcji,-
LV.CH.AddOtherFactionDesc,Bajki mogą budować domy Żelaznych Zębów i odwrotnie. Nie pracują dla domów dodanych przez mody. Domy domyślne w grze: nie.,-
LV.CH.AddProcreation,Dodaj prokreację do wszystkich mieszkań,-
LV.CH.AddProcreationDesc,"Dodaj rozmnażanie do wszystkich mieszkań, aby Folktails mogły się rozmnażać w mieszkaniach Iron Teeth.",-
LV.CH.RemoveProcreation,Usuń prokreację ze wszystkich mieszkań.,-
LV.CH.RemoveProcreationDesc,"Usuń prokreację ze wszystkich lokali, aby Żelazne Zęby nie mogły się rozmnażać w lokalach Folktails.",-
