ID,Text,Comment
LV.BPSP.PowersGroup,Moc,-
LV.BPSP.PowersGroupDesc,"Projekty, które poprawiają generację energii",-
LV.BPSP.WaterWheelUp1,Delikatny strumień mgły,-
LV.BPSP.WaterWheelUpEff,Moc wyjściowa koła wodnego wzrasta z {0:+#%} do {1:+#%} w ciągu dnia.,-
LV.BPSP.WaterWheelUp1Lore,"Lekka mgła unosi nasze koła wystarczająco, aby szumieć przez cały dzień.",-
LV.BPSP.WaterWheelUp2,Stały Wzrost Mgiełki,-
LV.BPSP.WaterWheelUp2Lore,"„Zobacz, jak mgła się zaciąga – koła praktycznie śpiewają o zmierzchu!” — Misttail Spinner",-
LV.BPSP.WaterWheelUp3,Konsolidowana dynamo mgły,-
LV.BPSP.WaterWheelUp3Eff,Moc Koła Wodnego jest trwale zwiększona o {0:+#%} przez cały dzień.,-
LV.BPSP.WaterWheelUp3Lore,"Skondensowaliśmy mgłę w stałą siłę, napędzając koła zawsze z maksymalną mocą.",-
LV.BPSP.WaterWheelUpBuffDesc,Technologia mgły wspiera nasze koła wodne.,-
LV.BPSP.WaterWheelFlowUp1,Stabilizator przepływu termicznego,-
LV.BPSP.WaterWheelFlowUp1Eff,"Moc koła wodnego nigdy nie spada poniżej {0:+#%}, o ile jest woda, nawet bez prądu. Nie działa, jeśli twoja obecna moc jest już wyższa.",-
LV.BPSP.WaterWheelFlowUp1Lore,"Gorące źródła bulgoczą poniżej, nęcąc koła do sprzeciwienia się leniwym nastrojom rzeki.",-
LV.BPSP.WaterWheelFlowUp2,Zwiększenie na parę,-
LV.BPSP.WaterWheelFlowUp2Eff,Stabilizator przepływu termicznego zapewnia dodatkowe {0:+#%} minimum na poziom.,-
LV.BPSP.WaterWheelFlowUp2Cost,[Koszt] na poziom za koło wodne,-
LV.BPSP.WaterWheelFlowUp2Lore,"„Więcej ciepła, więcej pary — koła nie zsuną się poniżej solidnego pchnięcia!” — Boilertail Steamwright",-
LV.BPSP.WaterWheelFlowUpBuffDesc,"Technologie termiczne pomagają naszym kołom wodnym wytwarzać energię nawet wtedy, gdy nie ma prądu.",-
LV.BPSP.PowerOutputMulEff,{0:+#%} moc wyjściowa,-
LV.BPSP.PowerOutputMulDayEff,{0:+#%} moc wyjściowa (od {1:+#%} do {2:+#%}),-
LV.BPSP.PowerOutputFlatEff,{0:+#}Moc wyjściowa HP z {1},-
LV.BPSP.GeneratorStrMinEff,"{0:+#%} Minimal moc wyjściowy, gdy jest woda z {1}",-
LV.BPSP.WheelWorkerUp,Synchronizacja pracy zmiany biegów,-
LV.BPSP.WheelWorkerUpEff,"Zmniejsza potrzebę dużego operatora wózków zasilających o {0}, utrzymując pełną moc wyjściową.",-
LV.BPSP.WheelWorkerUpLore,"""Zębatki tańczą teraz same — mniej ogonów, ten sam grzmiący obrót!"" — Nadzorca Clanktail",-
LV.BPSP.WheelBotUp,Osie zintegrowane z botem,-
LV.BPSP.WheelBotUpEff,Pozwala botom na obsługę Power Wheels zamiast tylko bobrów.,-
LV.BPSP.WheelBotUpLore,'Boty kręcą się lepiej niż ogony kiedykolwiek mogły - efektywność to nasza gra!' — Mistrz Botów Boltwhirr,-
LV.BPSP.WindmillHeightUp,Harnais do podmuchów na dużych wysokościach,-
LV.BPSP.WindmillHeightUpEff,Wiatraki (zwykłe i duże) otrzymują {0:+#%} więcej mocy za każdy poziom wysokości na ich najwyższym punkcie.,-
LV.BPSP.WindmillHeightUpLore,"'Na niebie ptakujemy, popijając podmuchy, których zazdroszczą nam korony drzew!' — Liścik, Opiekun Powiewów",-
LV.BPSP.WindmillHeightBuffEff,{0:+#%} moc na poziomie wysokości,-
LV.BPSP.WindmillSizeUp,Kompaktowe żagle wiatrowe,-
LV.BPSP.WindmillSizeUpEff,Wiatraki zajmują teraz tylko obszar 1x1 zamiast 3x3.,-
LV.BPSP.WindmillSizeUpLore,"Bajki tkane z witek wierzbowych mocniej wypełniały żagle — mniej zajętej ziemi, więcej szeptów wiatru.",-
LV.BPSP.SparePowerScience,Mocowy Flux Thinkatron,-
LV.BPSP.SparePowerScienceEff,"Każda niewykorzystana energia w twojej kolonii jest przekształcana w naukę. Stawka konwersji: {0}HP-godzina na 1 naukę, zaokrąglone w dół. Akumulatory nie są uwzględniane i nie wpływają na żadne obliczenia tego projektu.",-
LV.BPSP.SparePowerScienceLore,'Extra waty brzęczą wokół? Teraz wkraczają prosto do naszych najcleverniejszych pomysłów!' — Sparkchew Thinkatron,-
