ID,Text,Comment
LV.T4Mods.EnableAll,Włącz wszystko,-
LV.T4Mods.DisableAll,Wyłącz wszystko,-
LV.T4Mods.ConfirmEnableAll,Czy na pewno chcesz włączyć wszystkie mody?,-
LV.T4Mods.ConfirmDisableAll,Czy na pewno chcesz wyłączyć wszystkie mody?,-
LV.T4Mods.LoadProfile,Załaduj profil,-
LV.T4Mods.SaveProfile,Zapisz profil,-
LV.T4Mods.RestartGame,OK i uruchom ponownie grę,-
LV.T4Mods.Enabled,Włączone,-
LV.T4Mods.Disabled,Niepełnosprawny,-
LV.T4Mods.CheckForIssue,Sprawdź problemy,-
LV.T4Mods.NoIssue,Nie znaleziono żadnych problemów z twoją włączoną listą modów.,-
LV.T4Mods.IssueObsolete,Mod {0} jest przestarzały i powinien zostać usunięty.,-
LV.T4Mods.IssueObsoleteWRep,Mod {0} jest przestarzały i powinien zostać usunięty. Użyj zamiast tego {1}.,-
LV.T4Mods.IssueObsoleteWRepUrl,Mod {0} jest przestarzały i powinien zostać usunięty. Użyj zamiast tego {1}. Czy chcesz otworzyć stronę moda?,-
LV.T4Mods.IssueIncomp,Mod {0} jest niekompatybilny z {1}. Powód: {2}.,-
LV.T4Mods.IncompReasonUnknown,Nieznany,-
LV.T4Mods.IncompReasonReplace,Nowszy mod go zastępuje.,-
LV.T4Mods.IncompReasonConflict,Konflikty ze sobą,-
LV.T4Mods.AuthorNote,Notatka autora moda: {0},-
