ID,Text,Comment
LV.CWk.BuildingShift,Specyficzna zmiana w miejscu pracy,-
LV.CWk.BuildingShiftDesc,Włącz ustawienie konkretnej zmiany dla tego miejsca pracy.,-
LV.CWk.MaxWorkerMul,Maksymalny mnożnik pracowników,-
LV.CWk.MaxWorkerMulDesc,"Pomnóż maksymalną liczbę pracowników przez tę wartość. Zaokrąglone w dół, ale minimum 1.",-
LV.CWk.BotEverywhere,Bot wszędzie,-
LV.CWk.BotEverywhereDesc,Boty będą mogły pracować w każdym miejscu pracy.,-
LV.CWk.EnableShift,Zmiana specyficzna dla budynku,-
LV.CWk.ShiftHours,Godziny zmianowe:,-
LV.CWk.LunchBreakStart,Pauza na lunch zaczyna się:,-
LV.CWk.LunchBreakEnd,Koniec przerwy na lunch:,-
